mr_new,psuedo_mr,text,da,entity,num_hops,num_triples
Jackie Chan rating highly rated. Jackie Chan date of birth 1954. Jackie Chan domain actor.,Jackie Chan Highly Rated 1954,Jackie Chan is a highly rated actor born in 1954.,inform,movie actors,1,3
Brad Garrett domain actor.,Brad Garrett,Brad Garrett is an actor.,inform,movie actors,1,1
Natalie Portman awards received Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Leading Role. Natalie Portman date of birth 1981. Natalie Portman cast member of Léon: The Professional. Natalie Portman domain actor.,Natalie Portman 'Screen Actors Guild Award For Outstanding Performance By A Female Actor In A Leading Role' 1981 'Léon: The Professional',Natalie Portman is an actor born in 1981. She won a Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Leading Role and was part of the cast of Léon: The Professional.,inform,movie actors,1,4
Anne Hathaway spouse Adam Shulman. Anne Hathaway awards received Academy Award for Best Supporting Actress. Anne Hathaway height taller. Anne Hathaway rating moderately rated. Anne Hathaway date of birth 1982. Anne Hathaway domain actor.,Anne Hathaway Adam Shulman 'Academy Award For Best Supporting Actress' Taller Moderately Rated 1982," Anne Hathaway is a moderately rated actor, born in 1982, who is taller than average. She is married to Adam Shulman and won an Academy Award for Best Supporting Actress.",inform,movie actors,1,6
Sophia Loren rating top rated. Sophia Loren awards received Academy Award for Best Actress. Sophia Loren domain actor.,Sophia Loren Top Rated 'Academy Award For Best Actress',Sophia Loren is a top rated actor who won an Academy Award for Best Actress.,inform,movie actors,1,3
"Farrah Fawcett height taller. Farrah Fawcett awards received star on Hollywood Walk of Fame. Farrah Fawcett spouse Lee Majors. Farrah Fawcett date of birth 1947. Farrah Fawcett cast member of ""Charlies Angels"". Farrah Fawcett rating highly rated. Farrah Fawcett domain actor.","Farrah Fawcett Taller 'Star On Hollywood Walk Of Fame' Lee Majors 1947 ""Charlie'S Angels"" Highly Rated"," Farrah Fawcett is a highly rated actor who was born in 1947. She is taller than average and is best known for her starring role in ""Charlie's Angels"". She married Lee Majors and received a star on the Hollywood Walk of Fame.",inform,movie actors,1,7
Marilyn Monroe rating highly rated. Marilyn Monroe cast member of The Seven Year Itch. Marilyn Monroe date of birth 1926. Marilyn Monroe domain actor.,Marilyn Monroe Highly Rated 'The Seven Year Itch' 1926,Marilyn Monroe is a highly rated actor born in 1926. She is best known for her role in The Seven Year Itch.,inform,movie actors,1,4
Stan Lee rating highly rated. Stan Lee cast member of Marvel Comics. Stan Lee domain actor.,Stan Lee Highly Rated 'Marvel Comics',Stan Lee is a highly rated actor best known for his role in Marvel Comics.,inform,movie actors,1,3
Ronald Reagan height taller. Ronald Reagan occupation character actor. Ronald Reagan domain actor.,Ronald Reagan Taller 'Character Actor',Ronald Reagan was a tall character actor.,inform,movie actors,1,3
Liam Neeson rating highly rated. Liam Neeson height taller. Liam Neeson gender male. Liam Neeson date of birth 1952. Liam Neeson place of birth Ballymena. Liam Neeson domain actor.,Liam Neeson Highly Rated Taller Male 1952 Ballymena,Liam Neeson is a highly rated male actor who is taller than average. He was born in 1952 in Ballymena.,inform,movie actors,1,6
Chris Pratt rating moderately rated. Chris Pratt domain actor.,Chris Pratt Moderately Rated,Chris Pratt is a moderately rated actor.,inform,movie actors,1,2
Anthony Perkins place of birth New York City. Anthony Perkins gender male. Anthony Perkins spouse Berry Berenson. Anthony Perkins occupation stage actor. Anthony Perkins cast member of Psycho. Anthony Perkins date of birth 1932. Anthony Perkins height taller. Anthony Perkins domain actor.,Anthony Perkins New York City Male Berry Berenson 'Stage Actor' 'Psycho' 1932 Taller," Anthony Perkins was a male stage actor born in New York City in 1932. He was taller than average, married to Berry Berenson, and best known for his role in Psycho.",inform,movie actors,1,8
Bryan Cranston cast member of Malcolm in the Middle. Bryan Cranston occupation film actor. Bryan Cranston awards received Drama League Award. Bryan Cranston place of birth Hollywood. Bryan Cranston gender male. Bryan Cranston domain actor.,Bryan Cranston 'Malcolm In The Middle' 'Film Actor' 'Drama League Award' Hollywood Male,Bryan Cranston is a male film actor from Hollywood. He was a cast member of Malcolm in the Middle and has won a Drama League Award.,inform,movie actors,1,6
"Marilyn Monroe rating highly rated. Marilyn Monroe awards received ""Targa dOro"". Marilyn Monroe date of birth 1926. Marilyn Monroe place of birth Los Angeles. Marilyn Monroe height average. Marilyn Monroe domain actor.","Marilyn Monroe Highly Rated ""Targa D'Oro"" 1926 Los Angeles Average",Marilyn Monroe is a highly rated actor born in Los Angeles in 1926. She was of average height and received the Targa d'Oro award.,inform,movie actors,1,6
Rekhā height taller. Rekhā date of birth 1954. Rekhā place of birth Chennai. Rekhā spouse Vinod Mehra. Rekhā cast member of Khubsoorat. Rekhā gender female. Rekhā domain actor.,Rekhā Taller 1954 Chennai Vinod Mehra 'Khubsoorat' Female," Rekhā is a female actor who is taller than average, born in 1954 in Chennai. She is married to Vinod Mehra and is best known for her role in Khubsoorat.",inform,movie actors,1,7
Madonna occupation performing artist. Madonna place of birth Bay City. Madonna rating top rated. Madonna gender female. Madonna spouse Guy Ritchie. Madonna cast member of Holiday. Madonna date of birth 1958. Madonna domain actor.,Madonna 'Performing Artist' Bay City Top Rated Female Guy Ritchie 'Holiday' 1958,Madonna is a top rated female performing artist born in 1958 in Bay City. She is married to Guy Ritchie and was part of the cast of Holiday.,inform,movie actors,1,8
Johnny Depp rating highly rated. Johnny Depp place of birth Owensboro. Johnny Depp height average. Johnny Depp spouse Lori Allison. Johnny Depp cast member of Pirates of the Caribbean. Johnny Depp gender male. Johnny Depp awards received Golden Globe Award. Johnny Depp domain actor.,Johnny Depp Highly Rated Owensboro Average Lori Allison 'Pirates Of The Caribbean' Male 'Golden Globe Award',Johnny Depp is a highly rated male actor born in Owensboro. He is of average height and is best known for his role in Pirates of the Caribbean. He is married to Lori Allison and has received a Golden Globe Award.,inform,movie actors,1,8
Johnny Cash height taller. Johnny Cash domain actor.,Johnny Cash Taller,Johnny Cash was a taller than average actor.,inform,movie actors,1,2
Johnny Cash cast member of Ring of Fire. Johnny Cash awards received Library of Congress Living Legend. Johnny Cash rating highly rated. Johnny Cash domain actor.,Johnny Cash 'Ring Of Fire' 'Library Of Congress Living Legend' Highly Rated,Johnny Cash is a highly rated actor best known for his role in Ring of Fire. He was also named a Library of Congress Living Legend.,inform,movie actors,1,4
Liam Neeson awards received Drama League Award. Liam Neeson date of birth 1952. Liam Neeson height taller. Liam Neeson place of birth Ballymena. Liam Neeson domain actor.,Liam Neeson 'Drama League Award' 1952 Taller Ballymena,Liam Neeson is a taller than average actor born in 1952 in Ballymena. He has won a Drama League Award.,inform,movie actors,1,5
Zachary Levi place of birth Lake Charles. Zachary Levi cast member of Chuck. Zachary Levi domain actor.,Zachary Levi Lake Charles 'Chuck',Zachary Levi is an actor from Lake Charles best known for his role in Chuck.,inform,movie actors,1,3
Liam Neeson rating highly rated. Liam Neeson gender male. Liam Neeson spouse Natasha Richardson. Liam Neeson cast member of Darkman. Liam Neeson occupation voice actor. Liam Neeson height taller. Liam Neeson place of birth Ballymena. Liam Neeson domain actor.,Liam Neeson Highly Rated Male Natasha Richardson 'Darkman' 'Voice Actor' Taller Ballymena,Liam Neeson is a highly rated male voice actor from Ballymena. He is taller than average and is best known for his role in Darkman. He married Natasha Richardson.,inform,movie actors,1,8
Anthony Perkins cast member of Psycho. Anthony Perkins rating highly rated. Anthony Perkins date of birth 1932. Anthony Perkins spouse Berry Berenson. Anthony Perkins gender male. Anthony Perkins occupation film actor. Anthony Perkins domain actor.,Anthony Perkins 'Psycho' Highly Rated 1932 Berry Berenson Male 'Film Actor',Anthony Perkins is a highly rated male film actor born in 1932. He was part of the cast of Psycho and was married to Berry Berenson.,inform,movie actors,1,7
Marilyn Monroe occupation film producer. Marilyn Monroe awards received David di Donatello. Marilyn Monroe rating highly rated. Marilyn Monroe date of birth 1926. Marilyn Monroe cast member of Gentlemen Prefer Blondes. Marilyn Monroe spouse James Dougherty. Marilyn Monroe domain actor.,Marilyn Monroe 'Film Producer' 'David Di Donatello' Highly Rated 1926 'Gentlemen Prefer Blondes' James Dougherty,Marilyn Monroe is a highly rated film producer and actor born in 1926. She is best known for her role in Gentlemen Prefer Blondes and has received the David di Donatello award. She was married to James Dougherty.,inform,movie actors,1,7
Johnny Depp occupation film actor. Johnny Depp height average. Johnny Depp cast member of Pirates of the Caribbean. Johnny Depp spouse Lori Allison. Johnny Depp gender male. Johnny Depp place of birth Owensboro. Johnny Depp domain actor.,Johnny Depp 'Film Actor' Average 'Pirates Of The Caribbean' Lori Allison Male Owensboro," Johnny Depp is a male film actor of average height, born in Owensboro. He was part of the cast of Pirates of the Caribbean and is married to Lori Allison.",inform,movie actors,1,7
Michael Jackson gender male. Michael Jackson domain actor.,Michael Jackson Male,Michael Jackson is a male actor.,inform,movie actors,1,2
Bea Arthur cast member of The Golden Girls. Bea Arthur date of birth 1922. Bea Arthur rating highly rated. Bea Arthur domain actor.,Bea Arthur 'The Golden Girls' 1922 Highly Rated," Bea Arthur is a highly rated actor best known for her role in The Golden Girls, born in 1922.",inform,movie actors,1,4
Ryan Reynolds height taller. Ryan Reynolds place of birth Vancouver. Ryan Reynolds date of birth 1976. Ryan Reynolds domain actor.,Ryan Reynolds Taller Vancouver 1976,Ryan Reynolds is a taller than average actor born in 1976 in Vancouver.,inform,movie actors,1,4
Rita Hayworth gender female. Rita Hayworth awards received star on Hollywood Walk of Fame. Rita Hayworth occupation film actor. Rita Hayworth domain actor.,Rita Hayworth Female 'Star On Hollywood Walk Of Fame' 'Film Actor',Rita Hayworth is a female film actor who was awarded a star on the Hollywood Walk of Fame.,inform,movie actors,1,4
Niecy Nash cast member of Claws. Niecy Nash domain actor.,Niecy Nash 'Claws',Niecy Nash is an actor best known for her role in Claws.,inform,movie actors,1,2
Bea Arthur place of birth New York City. Bea Arthur rating highly rated. Bea Arthur awards received Disney Legends. Bea Arthur occupation activist. Bea Arthur spouse Robert Alan Aurthur. Bea Arthur date of birth 1922. Bea Arthur gender female. Bea Arthur domain actor.,Bea Arthur New York City Highly Rated 'Disney Legends' 'Activist' Robert Alan Aurthur 1922 Female," Bea Arthur is a highly rated female actor, activist, and spouse of Robert Alan Aurthur who was born in 1922 in New York City. She has received the Disney Legends award.",inform,movie actors,1,8
Brad Garrett place of birth Woodland Hills. Brad Garrett date of birth 1960. Brad Garrett awards received Primetime Emmy Award for Outstanding Supporting Actor in a Comedy Series. Brad Garrett occupation screenwriter. Brad Garrett domain actor.,Brad Garrett Woodland Hills 1960 'Primetime Emmy Award For Outstanding Supporting Actor In A Comedy Series' 'Screenwriter',Brad Garrett is an actor and screenwriter born in 1960 in Woodland Hills. He has won a Primetime Emmy Award for Outstanding Supporting Actor in a Comedy Series.,inform,movie actors,1,5
Bruce Lee cast member of Way of the Dragon. Bruce Lee rating moderately rated. Bruce Lee gender male. Bruce Lee place of birth San Francisco Chinese Hospital. Bruce Lee domain actor.,Bruce Lee 'Way Of The Dragon' Moderately Rated Male San Francisco Chinese Hospital,Bruce Lee was a moderately rated male actor from San Francisco Chinese Hospital. He is best known for his role in Way of the Dragon.,inform,movie actors,1,5
Brad Garrett occupation actor. Brad Garrett place of birth Woodland Hills. Brad Garrett cast member of Biker Mice from Mars. Brad Garrett gender male. Brad Garrett date of birth 1960. Brad Garrett rating lower rated. Brad Garrett domain actor.,Brad Garrett 'Actor' Woodland Hills 'Biker Mice From Mars' Male 1960 Lower Rated,Brad Garrett is a lower rated male actor born in Woodland Hills in 1960. He was a cast member of Biker Mice from Mars.,inform,movie actors,1,7
Sara Gilbert spouse Linda Perry. Sara Gilbert domain actor.,Sara Gilbert Linda Perry,Sara Gilbert is an actor married to Linda Perry.,inform,movie actors,1,2
Ronald Reagan date of birth 1911. Ronald Reagan occupation television actor. Ronald Reagan gender male. Ronald Reagan awards received Francis Boyer Award. Ronald Reagan place of birth Tampico. Ronald Reagan height taller. Ronald Reagan cast member of Tear down this wall!. Ronald Reagan domain actor.,Ronald Reagan 1911 'Television Actor' Male 'Francis Boyer Award' Tampico Taller 'Tear Down This Wall!'," Ronald Reagan was a male television actor born in 1911 in Tampico. He was taller than average and is best known for the role in ""Tear down this wall!"". He received the Francis Boyer Award.",inform,movie actors,1,8
Chris Pratt height taller. Chris Pratt awards received Saturn Award. Chris Pratt domain actor.,Chris Pratt Taller 'Saturn Award',Chris Pratt is a taller than average actor who has received a Saturn Award.,inform,movie actors,1,3
Phil Collins gender male. Phil Collins height shorter. Phil Collins domain actor.,Phil Collins Male Shorter,Phil Collins is a male actor known for his shorter stature.,inform,movie actors,1,3
Farrah Fawcett spouse Lee Majors. Farrah Fawcett height taller. Farrah Fawcett domain actor.,Farrah Fawcett Lee Majors Taller,Farrah Fawcett is a taller than average actor who was married to Lee Majors.,inform,movie actors,1,3
Jenna Jameson date of birth 1974. Jenna Jameson awards received AVN Award for Best Actress. Jenna Jameson spouse Brad Armstrong. Jenna Jameson gender female. Jenna Jameson cast member of How to Make Love Like a Porn Star. Jenna Jameson domain actor.,Jenna Jameson 1974 'Avn Award For Best Actress' Brad Armstrong Female 'How To Make Love Like A Porn Star',Jenna Jameson is a female actor born in 1974 who won an AVN Award for Best Actress. She is married to Brad Armstrong and is known for her role in How to Make Love Like a Porn Star.,inform,movie actors,1,6
Liam Neeson height taller. Liam Neeson awards received Volpi Cup for Best Actor. Liam Neeson spouse Natasha Richardson. Liam Neeson cast member of Taken. Liam Neeson gender male. Liam Neeson rating highly rated. Liam Neeson occupation association football player. Liam Neeson domain actor.,Liam Neeson Taller 'Volpi Cup For Best Actor' Natasha Richardson 'Taken' Male Highly Rated 'Association Football Player'," Liam Neeson is a highly rated male actor, association football player, and spouse of Natasha Richardson. He is taller than average and won a Volpi Cup for Best Actor. He is best known for his role in Taken.",inform,movie actors,1,8
Dwayne Johnson height taller. Dwayne Johnson gender male. Dwayne Johnson rating moderately rated. Dwayne Johnson awards received Wrestling Observer Newsletter Hall of Fame. Dwayne Johnson date of birth 1972. Dwayne Johnson domain actor.,Dwayne Johnson Taller Male Moderately Rated 'Wrestling Observer Newsletter Hall Of Fame' 1972," Dwayne Johnson is a moderately rated male actor, taller than average, born in 1972. He has been inducted into the Wrestling Observer Newsletter Hall of Fame.",inform,movie actors,1,6
Chris Pratt awards received Saturn Award. Chris Pratt rating moderately rated. Chris Pratt cast member of The Lego Movie. Chris Pratt place of birth Virginia. Chris Pratt date of birth 1979. Chris Pratt occupation voice actor. Chris Pratt domain actor.,Chris Pratt 'Saturn Award' Moderately Rated 'The Lego Movie' Virginia 1979 'Voice Actor',Chris Pratt is a moderately rated voice actor born in 1979 in Virginia. He has received a Saturn Award and is best known for his role in The Lego Movie.,inform,movie actors,1,7
Liam Neeson date of birth 1952. Liam Neeson height taller. Liam Neeson occupation voice actor. Liam Neeson domain actor.,Liam Neeson 1952 Taller 'Voice Actor',Liam Neeson is a tall voice actor born in 1952.,inform,movie actors,1,4
Angelina Jolie place of birth Los Angeles. Angelina Jolie cast member of Gia. Angelina Jolie rating top rated. Angelina Jolie domain actor.,Angelina Jolie Los Angeles 'Gia' Top Rated,Angelina Jolie is a top rated actor born in Los Angeles and is best known for her role in Gia.,inform,movie actors,1,4
Jenna Jameson gender female. Jenna Jameson domain actor.,Jenna Jameson Female,Jenna Jameson is a female actor.,inform,movie actors,1,2
Ian Holm cast member of Chariots of Fire. Ian Holm domain actor.,Ian Holm 'Chariots Of Fire',Ian Holm is an actor best known for his role in Chariots of Fire.,inform,movie actors,1,2
Anne Hathaway date of birth 1982. Anne Hathaway spouse Adam Shulman. Anne Hathaway occupation stage actor. Anne Hathaway gender female. Anne Hathaway domain actor.,Anne Hathaway 1982 Adam Shulman 'Stage Actor' Female,Anne Hathaway is a female stage actor born in 1982. She is married to Adam Shulman.,inform,movie actors,1,5
Phil Collins height shorter. Phil Collins gender male. Phil Collins cast member of Another Day in Paradise. Phil Collins date of birth 1951. Phil Collins spouse Andrea Bertorelli. Phil Collins place of birth Chiswick. Phil Collins domain actor.,Phil Collins Shorter Male 'Another Day In Paradise' 1951 Andrea Bertorelli Chiswick," Phil Collins is a male actor of shorter stature, born in 1951 in Chiswick. He was part of the cast of Another Day in Paradise and is married to Andrea Bertorelli.",inform,movie actors,1,7
Patty Duke date of birth 1946. Patty Duke awards received Primetime Emmy Award for Outstanding Lead Actress in a Miniseries or a Movie. Patty Duke gender female. Patty Duke rating highly rated. Patty Duke place of birth Queens. Patty Duke height shorter. Patty Duke occupation television actor. Patty Duke domain actor.,Patty Duke 1946 'Primetime Emmy Award For Outstanding Lead Actress In A Miniseries Or A Movie' Female Highly Rated Queens Shorter 'Television Actor',Patty Duke is a highly rated female television actor born in Queens in 1946. She won a Primetime Emmy Award for Outstanding Lead Actress in a Miniseries or a Movie and is known for her shorter stature.,inform,movie actors,1,8
Christina Ricci domain actor.,Christina Ricci,Christina Ricci is an actor.,inform,movie actors,1,1
Marilyn Monroe gender female. Marilyn Monroe domain actor.,Marilyn Monroe Female,Marilyn Monroe is a female actor.,inform,movie actors,1,2
Candice Bergen rating highly rated. Candice Bergen gender female. Candice Bergen place of birth Beverly Hills. Candice Bergen spouse Louis Malle. Candice Bergen domain actor.,Candice Bergen Highly Rated Female Beverly Hills Louis Malle,Candice Bergen is a highly rated female actor born in Beverly Hills. She is married to Louis Malle.,inform,movie actors,1,5
Niecy Nash spouse Jessica Betts. Niecy Nash occupation film actor. Niecy Nash cast member of Claws. Niecy Nash gender female. Niecy Nash domain actor.,Niecy Nash Jessica Betts 'Film Actor' 'Claws' Female,Niecy Nash is a female film actor and spouse of Jessica Betts. She is best known for her role in Claws.,inform,movie actors,1,5
Michael Jackson rating top rated. Michael Jackson place of birth Gary. Michael Jackson spouse Debbie Rowe. Michael Jackson date of birth 1958. Michael Jackson domain actor.,Michael Jackson Top Rated Gary Debbie Rowe 1958," Michael Jackson was a top rated actor born in 1958 in Gary, Indiana. He was married to Debbie Rowe.",inform,movie actors,1,5
Johnny Depp height average. Johnny Depp occupation actor. Johnny Depp domain actor.,Johnny Depp Average 'Actor',Johnny Depp is an actor of average height.,inform,movie actors,1,3
Rekhā rating top rated. Rekhā date of birth 1954. Rekhā occupation musician. Rekhā domain actor.,Rekhā Top Rated 1954 'Musician',Rekhā is a top rated musician born in 1954.,inform,movie actors,1,4
George Hamilton gender male. George Hamilton spouse Alana Stewart. George Hamilton date of birth 1939. George Hamilton domain actor.,George Hamilton Male Alana Stewart 1939,George Hamilton is a male actor born in 1939. He is married to Alana Stewart.,inform,movie actors,1,4
Lena Dunham spouse Luis Felber. Lena Dunham rating highly rated. Lena Dunham place of birth New York City. Lena Dunham gender female. Lena Dunham height shorter. Lena Dunham domain actor.,Lena Dunham Luis Felber Highly Rated New York City Female Shorter,Lena Dunham is a highly rated female actor from New York City. She is of shorter stature and is married to Luis Felber.,inform,movie actors,1,6
Ronald Reagan cast member of Tear down this wall!. Ronald Reagan place of birth Tampico. Ronald Reagan domain actor.,Ronald Reagan 'Tear Down This Wall!' Tampico," Ronald Reagan was an actor born in Tampico, best known for his role in the film Tear Down This Wall!.",inform,movie actors,1,3
Taika Waititi gender male. Taika Waititi cast member of Boy. Taika Waititi domain actor.,Taika Waititi Male 'Boy',Taika Waititi is a male actor best known for his role in Boy.,inform,movie actors,1,3
Ken Watanabe cast member of The Sea and Poison. Ken Watanabe height taller. Ken Watanabe occupation street sweeper. Ken Watanabe gender male. Ken Watanabe domain actor.,Ken Watanabe 'The Sea And Poison' Taller 'Street Sweeper' Male,Ken Watanabe is a male actor and street sweeper who is taller than average. He is best known for his role in The Sea and Poison.,inform,movie actors,1,5
Jessica Walter occupation television actor. Jessica Walter height taller. Jessica Walter awards received Screen Actors Guild Award. Jessica Walter spouse Ron Leibman. Jessica Walter domain actor.,Jessica Walter 'Television Actor' Taller 'Screen Actors Guild Award' Ron Leibman,Jessica Walter is a taller than average television actor who has won a Screen Actors Guild Award. She is married to Ron Leibman.,inform,movie actors,1,5
Patty Duke spouse Harry Falk. Patty Duke height shorter. Patty Duke awards received Golden Globe Award for New Star of the Year – Actress. Patty Duke cast member of The Patty Duke Show. Patty Duke domain actor.,Patty Duke Harry Falk Shorter 'Golden Globe Award For New Star Of The Year – Actress' 'The Patty Duke Show'," Patty Duke is a shorter actor, married to Harry Falk. She won a Golden Globe Award for New Star of the Year – Actress and was part of the cast of The Patty Duke Show.",inform,movie actors,1,5
Kajol awards received Filmfare Award for Best Actress. Kajol gender female. Kajol date of birth 1974. Kajol cast member of Devi. Kajol place of birth Mumbai. Kajol spouse Ajay Devgn. Kajol occupation film actor. Kajol domain actor.,Kajol 'Filmfare Award For Best Actress' Female 1974 'Devi' Mumbai Ajay Devgn 'Film Actor'," Kajol is a female film actor from Mumbai, born in 1974. She won a Filmfare Award for Best Actress and has acted in the movie Devi. She is married to Ajay Devgn.",inform,movie actors,1,8
Zachary Levi rating lower rated. Zachary Levi occupation voice actor. Zachary Levi cast member of Tangled. Zachary Levi awards received Theatre World Award. Zachary Levi height shorter. Zachary Levi gender male. Zachary Levi domain actor.,Zachary Levi Lower Rated 'Voice Actor' 'Tangled' 'Theatre World Award' Shorter Male,Zachary Levi is a lower rated male voice actor and was part of the cast of Tangled. He has won the Theatre World Award and is known for his shorter stature.,inform,movie actors,1,7
Johnny Cash place of birth Kingsland. Johnny Cash gender male. Johnny Cash spouse Vivian Liberto. Johnny Cash date of birth 1932. Johnny Cash domain actor.,Johnny Cash Kingsland Male Vivian Liberto 1932,Johnny Cash was a male actor born in 1932 from Kingsland. He was married to Vivian Liberto.,inform,movie actors,1,5
Bea Arthur gender female. Bea Arthur awards received Disney Legends. Bea Arthur spouse Robert Alan Aurthur. Bea Arthur occupation activist. Bea Arthur height taller. Bea Arthur domain actor.,Bea Arthur Female 'Disney Legends' Robert Alan Aurthur 'Activist' Taller," Bea Arthur is a female actor, activist and spouse of Robert Alan Aurthur. She is taller than average and has received a Disney Legends award.",inform,movie actors,1,6
"Farrah Fawcett spouse Lee Majors. Farrah Fawcett cast member of ""Charlies Angels"". Farrah Fawcett rating highly rated. Farrah Fawcett occupation model. Farrah Fawcett gender female. Farrah Fawcett awards received star on Hollywood Walk of Fame. Farrah Fawcett domain actor.","Farrah Fawcett Lee Majors ""Charlie'S Angels"" Highly Rated 'Model' Female 'Star On Hollywood Walk Of Fame'"," Farrah Fawcett is a highly rated female model and actor, married to Lee Majors. She is best known for her role in ""Charlie's Angels"" and has received a star on the Hollywood Walk of Fame.",inform,movie actors,1,7
Brad Garrett awards received Primetime Emmy Award for Outstanding Supporting Actor in a Comedy Series. Brad Garrett occupation film producer. Brad Garrett gender male. Brad Garrett height taller. Brad Garrett cast member of Planes. Brad Garrett date of birth 1960. Brad Garrett domain actor.,Brad Garrett 'Primetime Emmy Award For Outstanding Supporting Actor In A Comedy Series' 'Film Producer' Male Taller 'Planes' 1960,Brad Garrett is a male actor and film producer born in 1960. He won a Primetime Emmy Award for Outstanding Supporting Actor in a Comedy Series and is taller than average. He was part of the cast of Planes.,inform,movie actors,1,7
Marilyn Monroe awards received Henrietta Award. Marilyn Monroe gender female. Marilyn Monroe spouse James Dougherty. Marilyn Monroe domain actor.,Marilyn Monroe 'Henrietta Award' Female James Dougherty,Marilyn Monroe was a female actor who married James Dougherty and received the Henrietta Award.,inform,movie actors,1,4
Brad Garrett cast member of Biker Mice from Mars. Brad Garrett domain actor.,Brad Garrett 'Biker Mice From Mars',Brad Garrett is an actor best known for his role in Biker Mice from Mars.,inform,movie actors,1,2
Madonna cast member of Material Girl. Madonna rating top rated. Madonna gender female. Madonna awards received Golden Raspberry Award for Worst Actress. Madonna height average. Madonna place of birth Bay City. Madonna domain actor.,Madonna 'Material Girl' Top Rated Female 'Golden Raspberry Award For Worst Actress' Average Bay City,Madonna is a top rated female actor from Bay City. She is of average height and is best known for her role in Material Girl. She has also won a Golden Raspberry Award for Worst Actress.,inform,movie actors,1,7
Bea Arthur height taller. Bea Arthur place of birth New York City. Bea Arthur awards received Primetime Emmy Award for Outstanding Lead Actress in a Comedy Series. Bea Arthur cast member of All in the Family. Bea Arthur spouse Robert Alan Aurthur. Bea Arthur date of birth 1922. Bea Arthur occupation singer. Bea Arthur domain actor.,Bea Arthur Taller New York City 'Primetime Emmy Award For Outstanding Lead Actress In A Comedy Series' 'All In The Family' Robert Alan Aurthur 1922 'Singer'," Bea Arthur was a taller than average actor, singer, and spouse of Robert Alan Aurthur, born in New York City in 1922. She won a Primetime Emmy Award for Outstanding Lead Actress in a Comedy Series and was part of the cast of All in the Family.",inform,movie actors,1,8
Ken Watanabe height taller. Ken Watanabe cast member of Tampopo. Ken Watanabe date of birth 1959. Ken Watanabe rating highly rated. Ken Watanabe place of birth Uonuma. Ken Watanabe gender male. Ken Watanabe spouse Kaho Minami. Ken Watanabe domain actor.,Ken Watanabe Taller 'Tampopo' 1959 Highly Rated Uonuma Male Kaho Minami,Ken Watanabe is a highly rated male actor who was born in Uonuma in 1959. He is taller than average and is best known for his role in Tampopo. He married Kaho Minami.,inform,movie actors,1,8
"Arnold Schwarzenegger awards received ""Nickelodeon Kids Choice Awards"". Arnold Schwarzenegger place of birth Thal. Arnold Schwarzenegger date of birth 1947. Arnold Schwarzenegger rating top rated. Arnold Schwarzenegger domain actor.","Arnold Schwarzenegger ""Nickelodeon Kids' Choice Awards"" Thal 1947 Top Rated",Arnold Schwarzenegger is a top rated actor born in Thal in 1947. He has won the Nickelodeon Kids Choice Awards.,inform,movie actors,1,5
James Cromwell gender male. James Cromwell cast member of Babe. James Cromwell height taller. James Cromwell occupation actor. James Cromwell domain actor.,James Cromwell Male 'Babe' Taller 'Actor',James Cromwell is a male actor who is taller than average and is best known for his role in Babe.,inform,movie actors,1,5
Mila Kunis cast member of Family Guy. Mila Kunis height shorter. Mila Kunis date of birth 1983. Mila Kunis place of birth Chernivtsi. Mila Kunis awards received Marcello Mastroianni Award. Mila Kunis rating moderately rated. Mila Kunis gender female. Mila Kunis domain actor.,Mila Kunis 'Family Guy' Shorter 1983 Chernivtsi 'Marcello Mastroianni Award' Moderately Rated Female,Mila Kunis is a moderately rated female actor born in 1983 in Chernivtsi. She is of shorter stature and is best known for her role in Family Guy. She has won the Marcello Mastroianni Award.,inform,movie actors,1,8
Donnie Yen date of birth 1963. Donnie Yen occupation taekwondo athlete. Donnie Yen place of birth Guangzhou. Donnie Yen rating highly rated. Donnie Yen domain actor.,Donnie Yen 1963 'Taekwondo Athlete' Guangzhou Highly Rated,Donnie Yen is a highly rated actor and taekwondo athlete born in Guangzhou in 1963.,inform,movie actors,1,5
George Clooney date of birth 1961. George Clooney spouse Amal Clooney. George Clooney place of birth Lexington. George Clooney rating top rated. George Clooney height taller. George Clooney domain actor.,George Clooney 1961 Amal Clooney Lexington Top Rated Taller,George Clooney is a top rated actor born in 1961 in Lexington. He is known for his taller stature and is married to Amal Clooney.,inform,movie actors,1,6
Dwayne Johnson awards received Wrestling Observer Newsletter Hall of Fame. Dwayne Johnson rating moderately rated. Dwayne Johnson height taller. Dwayne Johnson spouse Lauren Hashian. Dwayne Johnson domain actor.,Dwayne Johnson 'Wrestling Observer Newsletter Hall Of Fame' Moderately Rated Taller Lauren Hashian,Dwayne Johnson is a moderately rated actor who is taller than average. He has received the Wrestling Observer Newsletter Hall of Fame award and is married to Lauren Hashian.,inform,movie actors,1,5
Dwayne Johnson occupation executive producer. Dwayne Johnson rating moderately rated. Dwayne Johnson place of birth Hayward. Dwayne Johnson spouse Lauren Hashian. Dwayne Johnson domain actor.,Dwayne Johnson 'Executive Producer' Moderately Rated Hayward Lauren Hashian,Dwayne Johnson is a moderately rated actor and executive producer born in Hayward. He is married to Lauren Hashian.,inform,movie actors,1,5
