mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
Jesse Williams place of birth Chicago. Jesse Williams domain tv actor.,Jesse Williams Chicago, Jesse Williams is a tv actor from Chicago.,inform,tv actors,1,2
Josh Dallas spouse Ginnifer Goodwin. Josh Dallas height average. Josh Dallas domain tv actor.,Josh Dallas Ginnifer Goodwin Average," Josh Dallas is a tv actor of average height, married to Ginnifer Goodwin.",inform,tv actors,1,3
William H. Macy date of birth 1950. William H. Macy awards received Movie or a Dramatic Special. William H. Macy place of birth Miami. William H. Macy spouse Felicity Huffman. William H. Macy height average. William H. Macy rating top rated. William H. Macy gender male. William H. Macy domain tv actor.,William H. Macy 1950 Movie Or A Dramatic Special' Miami Felicity Huffman Average Top Rated Male, William H. Macy is a top rated male tv actor born in 1950 in Miami. He is of average height and married to Felicity Huffman. He won a Movie or a Dramatic Special.,inform,tv actors,1,8
Viola Davis height average. Viola Davis gender female. Viola Davis place of birth St. Matthews. Viola Davis spouse Julius Tennon. Viola Davis date of birth 1965. Viola Davis domain tv actor.,Viola Davis Average Female St. Matthews Julius Tennon 1965," Viola Davis is a female tv actor born in St. Matthews in 1965, of average height. She is married to Julius Tennon.",inform,tv actors,1,6
Nick Offerman gender male. Nick Offerman spouse Megan Mullally. Nick Offerman place of birth Joliet. Nick Offerman awards received TCA Awards. Nick Offerman domain tv actor.,Nick Offerman Male Megan Mullally Joliet 'Tca Awards'," Nick Offerman is a male tv actor from Joliet, married to Megan Mullally. He has received the TCA Awards.",inform,tv actors,1,5
Lauren German gender female. Lauren German cast member of Lucifer. Lauren German height average. Lauren German date of birth 1978. Lauren German rating lower rated. Lauren German place of birth Huntington Beach. Lauren German domain tv actor.,Lauren German Female 'Lucifer' Average 1978 Lower Rated Huntington Beach," Lauren German is a lower rated female tv actor, born in 1978 in Huntington Beach with an average height. She is a cast member of Lucifer.",inform,tv actors,1,7
Sterling K. Brown domain tv actor.,Sterling K. Brown, Sterling K. Brown is a TV actor.,inform,tv actors,1,1
Melissa McBride height average. Melissa McBride gender female. Melissa McBride awards received Saturn Award. Melissa McBride place of birth Lexington. Melissa McBride date of birth 1965. Melissa McBride domain tv actor.,Melissa Mcbride Average Female 'Saturn Award' Lexington 1965, Melissa McBride is a female tv actor born in Lexington in 1965 of average height. She won a Saturn Award.,inform,tv actors,1,6
Tobias Menzies place of birth London. Tobias Menzies height average. Tobias Menzies gender male. Tobias Menzies domain tv actor.,Tobias Menzies London Average Male, Tobias Menzies is a male tv actor of average height from London.,inform,tv actors,1,4
Rami Malek gender male. Rami Malek domain tv actor.,Rami Malek Male, Rami Malek is a male tv actor.,inform,tv actors,1,2
Ginnifer Goodwin spouse Josh Dallas. Ginnifer Goodwin place of birth Memphis. Ginnifer Goodwin gender female. Ginnifer Goodwin domain tv actor.,Ginnifer Goodwin Josh Dallas Memphis Female," Ginnifer Goodwin is a female tv actor from Memphis, married to Josh Dallas.",inform,tv actors,1,4
Kevin Alejandro gender male. Kevin Alejandro place of birth San Antonio. Kevin Alejandro height average. Kevin Alejandro domain tv actor.,Kevin Alejandro Male San Antonio Average, Kevin Alejandro is a male tv actor from San Antonio of average height.,inform,tv actors,1,4
Emilia Clarke gender female. Emilia Clarke rating top rated. Emilia Clarke date of birth 1986. Emilia Clarke height average. Emilia Clarke domain tv actor.,Emilia Clarke Female Top Rated 1986 Average, Emilia Clarke is a top rated female tv actor born in 1986 with an average height.,inform,tv actors,1,5
Ted Danson rating top rated. Ted Danson height taller. Ted Danson gender male. Ted Danson spouse Mary Steenburgen. Ted Danson domain tv actor.,Ted Danson Top Rated Taller Male Mary Steenburgen," Ted Danson is a top rated taller male tv actor, married to Mary Steenburgen.",inform,tv actors,1,5
William H. Macy spouse Felicity Huffman. William H. Macy awards received Movie or a Dramatic Special. William H. Macy gender male. William H. Macy place of birth Miami. William H. Macy height average. William H. Macy date of birth 1950. William H. Macy domain tv actor.,William H. Macy Felicity Huffman Movie Or A Dramatic Special' Male Miami Average 1950, William H. Macy is a male tv actor born in 1950 in Miami with an average height. He is married to Felicity Huffman and won a Movie or a Dramatic Special.,inform,tv actors,1,7
Norman Reedus gender male. Norman Reedus cast member of The Walking Dead. Norman Reedus date of birth 1969. Norman Reedus place of birth Hollywood. Norman Reedus height average. Norman Reedus domain tv actor.,Norman Reedus Male 'The Walking Dead' 1969 Hollywood Average, Norman Reedus is an average height male tv actor born in 1969 in Hollywood. He is a cast member of The Walking Dead.,inform,tv actors,1,6
Jeffrey Dean Morgan cast member of The Walking Dead. Jeffrey Dean Morgan date of birth 1966. Jeffrey Dean Morgan gender male. Jeffrey Dean Morgan domain tv actor.,Jeffrey Dean Morgan 'The Walking Dead' 1966 Male, Jeffrey Dean Morgan is a male tv actor born in 1966 and is a cast member of The Walking Dead.,inform,tv actors,1,4
Pedro Pascal awards received Back Stage Garland Awards. Pedro Pascal domain tv actor.,Pedro Pascal 'Back Stage Garland Awards', Pedro Pascal is a tv actor who won the Back Stage Garland Awards.,inform,tv actors,1,2
Emilia Clarke height average. Emilia Clarke date of birth 1986. Emilia Clarke domain tv actor.,Emilia Clarke Average 1986, Emilia Clarke is a tv actor born in 1986 of average height.,inform,tv actors,1,3
Jeffrey Dean Morgan height average. Jeffrey Dean Morgan cast member of The Walking Dead. Jeffrey Dean Morgan date of birth 1966. Jeffrey Dean Morgan domain tv actor.,Jeffrey Dean Morgan Average 'The Walking Dead' 1966, Jeffrey Dean Morgan is a tv actor born in 1966 of average height and a cast member of The Walking Dead.,inform,tv actors,1,4
Finn Wolfhard height average. Finn Wolfhard domain tv actor.,Finn Wolfhard Average, Finn Wolfhard is a tv actor of average height.,inform,tv actors,1,2
Danai Gurira place of birth Grinnell. Danai Gurira cast member of The Walking Dead. Danai Gurira awards received OkayAfrica 100 Women. Danai Gurira date of birth 1978. Danai Gurira height average. Danai Gurira rating highly_rated. Danai Gurira domain tv actor.,Danai Gurira Grinnell 'The Walking Dead' 'Okayafrica 100 Women' 1978 Average Highly Rated, Danai Gurira is a highly rated tv actor born in 1978 in Grinnell. She is an average height cast member of The Walking Dead and has won the OkayAfrica 100 Women award.,inform,tv actors,1,7
Peter Dinklage place of birth Morristown. Peter Dinklage gender male. Peter Dinklage spouse Erica Schmidt. Peter Dinklage domain tv actor.,Peter Dinklage Morristown Male Erica Schmidt," Peter Dinklage is a male tv actor from Morristown, married to Erica Schmidt.",inform,tv actors,1,4
Sandra Oh date of birth 1971. Sandra Oh spouse Alexander Payne. Sandra Oh awards received Golden Globe Award for Best Supporting Actress – Series. Sandra Oh height average. Sandra Oh domain tv actor.,Sandra Oh 1971 Alexander Payne 'Golden Globe Award For Best Supporting Actress – Series Average," Sandra Oh is a tv actor born in 1971, of average height and married to Alexander Payne. She has won a Golden Globe Award for Best Supporting Actress – Series.",inform,tv actors,1,5
Aziz Ansari place of birth Columbia. Aziz Ansari height average. Aziz Ansari date of birth 1983. Aziz Ansari awards received Primetime Emmy Award for Outstanding Writing for a Comedy Series. Aziz Ansari rating highly_rated. Aziz Ansari domain tv actor.,Aziz Ansari Columbia Average 1983 'Primetime Emmy Award For Outstanding Writing For A Comedy Series' Highly Rated, Aziz Ansari is a highly rated tv actor born in 1983 in Columbia with an average height. He won the Primetime Emmy Award for Outstanding Writing for a Comedy Series.,inform,tv actors,1,6
Ellen Pompeo rating top rated. Ellen Pompeo gender female. Ellen Pompeo awards received Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series. Ellen Pompeo place of birth Everett. Ellen Pompeo height average. Ellen Pompeo domain tv actor.,Ellen Pompeo Top Rated Female 'Screen Actors Guild Award For Outstanding Performance By An Ensemble In A Drama Series' Everett Average, Ellen Pompeo is a top rated female TV actor born in Everett with an average height. She received the Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series.,inform,tv actors,1,6
Kevin Alejandro gender male. Kevin Alejandro height average. Kevin Alejandro date of birth 1976. Kevin Alejandro rating moderately rated. Kevin Alejandro place of birth San Antonio. Kevin Alejandro domain tv actor.,Kevin Alejandro Male Average 1976 Moderately Rated San Antonio, Kevin Alejandro is a moderately rated male tv actor born in 1976 in San Antonio of average height.,inform,tv actors,1,6
Emilia Clarke gender female. Emilia Clarke date of birth 1986. Emilia Clarke place of birth London. Emilia Clarke height average. Emilia Clarke awards received Poppy Awards. Emilia Clarke rating top rated. Emilia Clarke domain tv actor.,Emilia Clarke Female 1986 London Average 'Poppy Awards' Top Rated, Emilia Clarke is a top rated female tv actor born in London in 1986 of average height. She won the Poppy Awards.,inform,tv actors,1,7
Matt Bomer gender male. Matt Bomer domain tv actor.,Matt Bomer Male, Matt Bomer is a male tv actor.,inform,tv actors,1,2
Norman Reedus gender male. Norman Reedus place of birth Hollywood. Norman Reedus date of birth 1969. Norman Reedus cast member of The Walking Dead. Norman Reedus domain tv actor.,Norman Reedus Male Hollywood 1969 'The Walking Dead', Norman Reedus is a male tv actor born in Hollywood in 1969 and is a cast member of The Walking Dead.,inform,tv actors,1,5
Finn Wolfhard date of birth 2002. Finn Wolfhard domain tv actor.,Finn Wolfhard 2002, Finn Wolfhard is a tv actor born in 2002.,inform,tv actors,1,2
Aziz Ansari date of birth 1983. Aziz Ansari rating highly_rated. Aziz Ansari height average. Aziz Ansari awards received Primetime Emmy Award for Outstanding Writing for a Comedy Series. Aziz Ansari domain tv actor.,Aziz Ansari 1983 Highly Rated Average 'Primetime Emmy Award For Outstanding Writing For A Comedy Series', Aziz Ansari is a highly rated tv actor born in 1983 with an average height. He won the Primetime Emmy Award for Outstanding Writing for a Comedy Series.,inform,tv actors,1,5
Kit Harington place of birth Acton. Kit Harington date of birth 1986. Kit Harington gender male. Kit Harington spouse Rose Leslie. Kit Harington rating highly rated. Kit Harington height average. Kit Harington domain tv actor.,Kit Harington Acton 1986 Male Rose Leslie Highly Rated Average, Kit Harington is a highly rated male tv actor born in 1986 in Acton with an average height. He is married to Rose Leslie.,inform,tv actors,1,7
Emmy Rossum spouse Sam Esmail. Emmy Rossum rating highly rated. Emmy Rossum gender female. Emmy Rossum place of birth New York City. Emmy Rossum date of birth 1986. Emmy Rossum height average. Emmy Rossum domain tv actor.,Emmy Rossum Sam Esmail Highly Rated Female New York City 1986 Average, Emmy Rossum is a highly rated female tv actor born in 1986 in New York City with an average height. She is married to Sam Esmail.,inform,tv actors,1,7
Mandy Moore rating top rated. Mandy Moore awards received star on Hollywood Walk of Fame. Mandy Moore date of birth 1984. Mandy Moore gender female. Mandy Moore height taller. Mandy Moore place of birth Nashua. Mandy Moore domain tv actor.,Mandy Moore Top Rated 'Star On Hollywood Walk Of Fame' 1984 Female Taller Nashua," Mandy Moore is a top rated female tv actor from Nashua, born in 1984. She is taller and has a star on the Hollywood Walk of Fame.",inform,tv actors,1,7
Timothy Olyphant gender male. Timothy Olyphant date of birth 1968. Timothy Olyphant awards received Theatre World Award. Timothy Olyphant height average. Timothy Olyphant place of birth Honolulu. Timothy Olyphant domain tv actor.,Timothy Olyphant Male 1968 'Theatre World Award' Average Honolulu, Timothy Olyphant is a male tv actor born in 1968 in Honolulu with an average height. He received a Theatre World Award.,inform,tv actors,1,6
David Harbour place of birth White Plains. David Harbour domain tv actor.,David Harbour White Plains, David Harbour is a tv actor from White Plains.,inform,tv actors,1,2
Jesse Williams place of birth Chicago. Jesse Williams rating highly rated. Jesse Williams spouse Aryn Drake-Lee. Jesse Williams domain tv actor.,Jesse Williams Chicago Highly Rated Aryn Drake-Lee, Jesse Williams is a highly rated tv actor from Chicago. He is married to Aryn Drake-Lee.,inform,tv actors,1,4
Aimee Garcia place of birth Chicago. Aimee Garcia date of birth 1978. Aimee Garcia height average. Aimee Garcia gender female. Aimee Garcia cast member of Lucifer. Aimee Garcia rating moderately rated. Aimee Garcia domain tv actor.,Aimee Garcia Chicago 1978 Average Female 'Lucifer' Moderately Rated, Aimee Garcia is a moderately rated female tv actor born in Chicago in 1978 of average height. She is a cast member of Lucifer.,inform,tv actors,1,7
Lauren German gender female. Lauren German date of birth 1978. Lauren German domain tv actor.,Lauren German Female 1978, Lauren German is a female tv actor born in 1978.,inform,tv actors,1,3
Aimee Garcia date of birth 1978. Aimee Garcia rating moderately rated. Aimee Garcia place of birth Chicago. Aimee Garcia gender female. Aimee Garcia cast member of Lucifer. Aimee Garcia domain tv actor.,Aimee Garcia 1978 Moderately Rated Chicago Female 'Lucifer', Aimee Garcia is a moderately rated female tv actor born in Chicago in 1978. She is a cast member of Lucifer.,inform,tv actors,1,6
Tom Ellis cast member of Lucifer. Tom Ellis spouse Meaghan Oppenheimer. Tom Ellis date of birth 1978. Tom Ellis place of birth Cardiff. Tom Ellis rating moderately rated. Tom Ellis domain tv actor.,Tom Ellis 'Lucifer' Meaghan Oppenheimer 1978 Cardiff Moderately Rated," Tom Ellis is a moderately rated tv actor born in 1978 in Cardiff. He is a cast member of ""Lucifer"" and is married to Meaghan Oppenheimer.",inform,tv actors,1,6
Timothy Olyphant date of birth 1968. Timothy Olyphant rating highly_rated. Timothy Olyphant gender male. Timothy Olyphant domain tv actor.,Timothy Olyphant 1968 Highly Rated Male, Timothy Olyphant is a highly rated male tv actor born in 1968.,inform,tv actors,1,4
Lesley-Ann Brandt rating lower rated. Lesley-Ann Brandt domain tv actor.,Lesley-Ann Brandt Lower Rated, Lesley-Ann Brandt is a lower rated tv actor.,inform,tv actors,1,2
Lana Parrilla spouse Nadie. Lana Parrilla domain tv actor.,Lana Parrilla Nadie, Lana Parrilla is a tv actor married to Nadie.,inform,tv actors,1,2
Danai Gurira height average. Danai Gurira gender female. Danai Gurira rating highly_rated. Danai Gurira awards received OkayAfrica 100 Women. Danai Gurira date of birth 1978. Danai Gurira domain tv actor.,Danai Gurira Average Female Highly Rated 'Okayafrica 100 Women' 1978," Danai Gurira is a highly rated female tv actor of average height, born in 1978. She was awarded the OkayAfrica 100 Women.",inform,tv actors,1,6
Millie Bobby Brown awards received Saturn Award for Best Performance by a Younger Actor in a Television Series. Millie Bobby Brown height average. Millie Bobby Brown place of birth Marbella. Millie Bobby Brown gender female. Millie Bobby Brown rating top rated. Millie Bobby Brown date of birth 2004. Millie Bobby Brown domain tv actor.,Millie Bobby Brown 'Saturn Award For Best Performance By A Younger Actor In A Television Series' Average Marbella Female Top Rated 2004, Millie Bobby Brown is a top rated female tv actor born in 2004 in Marbella with an average height. She won the Saturn Award for Best Performance by a Younger Actor in a Television Series.,inform,tv actors,1,7
Jim Parsons rating top rated. Jim Parsons height taller. Jim Parsons domain tv actor.,Jim Parsons Top Rated Taller, Jim Parsons is a top rated tv actor who is taller in height.,inform,tv actors,1,3
Chandra Wilson awards received Theatre World Award. Chandra Wilson rating top rated. Chandra Wilson gender female. Chandra Wilson height shorter. Chandra Wilson domain tv actor.,Chandra Wilson 'Theatre World Award' Top Rated Female Shorter, Chandra Wilson is a top rated female tv actor of shorter height who received the Theatre World Award.,inform,tv actors,1,5
Timothy Olyphant place of birth Honolulu. Timothy Olyphant rating highly_rated. Timothy Olyphant date of birth 1968. Timothy Olyphant awards received Theatre World Award. Timothy Olyphant domain tv actor.,Timothy Olyphant Honolulu Highly Rated 1968 'Theatre World Award', Timothy Olyphant is a highly rated tv actor born in 1968 in Honolulu. He won the Theatre World Award.,inform,tv actors,1,5
Rami Malek gender male. Rami Malek rating top rated. Rami Malek height average. Rami Malek date of birth 1981. Rami Malek place of birth Los Angeles. Rami Malek domain tv actor.,Rami Malek Male Top Rated Average 1981 Los Angeles," Rami Malek is a top rated male tv actor of average height, born in 1981 in Los Angeles.",inform,tv actors,1,6
"Jim Parsons place of birth St. Joseph Medical Center (Houston, Texas). Jim Parsons rating top rated. Jim Parsons cast member of The Normal Heart. Jim Parsons awards received Theatre World Award. Jim Parsons date of birth 1973. Jim Parsons gender male. Jim Parsons domain tv actor.","Jim Parsons St. Joseph Medical Center (Houston, Texas) Top Rated 'The Normal Heart' 'Theatre World Award' 1973 Male"," Jim Parsons is a top rated male tv actor born in 1973 at St. Joseph Medical Center (Houston, Texas). He is a cast member of The Normal Heart and won the Theatre World Award.",inform,tv actors,1,7
Kristen Bell gender female. Kristen Bell cast member of Frozen. Kristen Bell date of birth 1980. Kristen Bell height shorter. Kristen Bell spouse Dax Shepard. Kristen Bell domain tv actor.,Kristen Bell Female 'Frozen' 1980 Shorter Dax Shepard, Kristen Bell is a female tv actor born in 1980 who is the cast member of Frozen and is shorter in height. She is married to Dax Shepard.,inform,tv actors,1,6
Jeffrey Dean Morgan awards received MTV Movie Award for Best Villain. Jeffrey Dean Morgan rating highly_rated. Jeffrey Dean Morgan height average. Jeffrey Dean Morgan place of birth Seattle. Jeffrey Dean Morgan gender male. Jeffrey Dean Morgan spouse Hilarie Burton. Jeffrey Dean Morgan cast member of The Walking Dead. Jeffrey Dean Morgan domain tv actor.,Jeffrey Dean Morgan 'Mtv Movie Award For Best Villain' Highly Rated Average Seattle Male Hilarie Burton 'The Walking Dead'," Jeffrey Dean Morgan is a highly rated male tv actor of average height from Seattle. He won the MTV Movie Award for Best Villain, is married to Hilarie Burton and is a cast member of The Walking Dead.",inform,tv actors,1,8
"Jim Parsons place of birth St. Joseph Medical Center (Houston, Texas). Jim Parsons rating top rated. Jim Parsons awards received Emmy Award. Jim Parsons gender male. Jim Parsons domain tv actor.","Jim Parsons St. Joseph Medical Center (Houston, Texas) Top Rated 'Emmy Award' Male"," Jim Parsons is a top rated male tv actor from St. Joseph Medical Center (Houston, Texas) who won an Emmy Award.",inform,tv actors,1,5
Lauren Cohan cast member of The Walking Dead. Lauren Cohan place of birth New Jersey. Lauren Cohan domain tv actor.,Lauren Cohan 'The Walking Dead' New Jersey, Lauren Cohan is a tv actor from New Jersey and a cast member of The Walking Dead.,inform,tv actors,1,3
Ginnifer Goodwin gender female. Ginnifer Goodwin date of birth 1978. Ginnifer Goodwin domain tv actor.,Ginnifer Goodwin Female 1978, Ginnifer Goodwin is a female tv actor born in 1978.,inform,tv actors,1,3
Melissa McBride gender female. Melissa McBride place of birth Lexington. Melissa McBride awards received Saturn Award. Melissa McBride cast member of The Walking Dead. Melissa McBride date of birth 1965. Melissa McBride rating highly_rated. Melissa McBride height average. Melissa McBride domain tv actor.,Melissa Mcbride Female Lexington 'Saturn Award' 'The Walking Dead' 1965 Highly Rated Average," Melissa McBride is a highly rated female tv actor born in 1965 in Lexington. She won a Saturn Award and is a cast member of The Walking Dead, with an average height.",inform,tv actors,1,8
Winona Ryder awards received Screen Actors Guild Award. Winona Ryder height shorter. Winona Ryder gender female. Winona Ryder rating top rated. Winona Ryder place of birth Winona. Winona Ryder date of birth 1971. Winona Ryder domain tv actor.,Winona Ryder 'Screen Actors Guild Award' Shorter Female Top Rated Winona 1971," Winona Ryder is a top rated female tv actor from Winona, born in 1971. She is shorter in height and won the Screen Actors Guild Award.",inform,tv actors,1,7
Milo Ventimiglia domain tv actor.,Milo Ventimiglia, Milo Ventimiglia is a tv actor.,inform,tv actors,1,1
Rami Malek height average. Rami Malek gender male. Rami Malek domain tv actor.,Rami Malek Average Male, Rami Malek is a male tv actor of average height.,inform,tv actors,1,3
Tom Ellis gender male. Tom Ellis cast member of Lucifer. Tom Ellis place of birth Cardiff. Tom Ellis date of birth 1978. Tom Ellis height average. Tom Ellis spouse Meaghan Oppenheimer. Tom Ellis rating moderately rated. Tom Ellis domain tv actor.,Tom Ellis Male 'Lucifer' Cardiff 1978 Average Meaghan Oppenheimer Moderately Rated," Tom Ellis is a moderately rated male tv actor, cast member of Lucifer, born in 1978 in Cardiff. He is of average height and married to Meaghan Oppenheimer.",inform,tv actors,1,8
Viola Davis gender female. Viola Davis domain tv actor.,Viola Davis Female, Viola Davis is a female TV actor.,inform,tv actors,1,2
Viola Davis height average. Viola Davis spouse Julius Tennon. Viola Davis awards received Drama Desk Award for Outstanding Actress in a Play. Viola Davis rating top rated. Viola Davis date of birth 1965. Viola Davis gender female. Viola Davis domain tv actor.,Viola Davis Average Julius Tennon 'Drama Desk Award For Outstanding Actress In A Play' Top Rated 1965 Female, Viola Davis is a top rated female tv actor born in 1965 with an average height. She is married to Julius Tennon and won the Drama Desk Award for Outstanding Actress in a Play.,inform,tv actors,1,7
Chandra Wilson height shorter. Chandra Wilson rating top rated. Chandra Wilson domain tv actor.,Chandra Wilson Shorter Top Rated, Chandra Wilson is a top rated tv actor who is shorter in height.,inform,tv actors,1,3
Matt Bomer place of birth Webster Groves. Matt Bomer date of birth 1977. Matt Bomer awards received Golden Globe Award. Matt Bomer domain tv actor.,Matt Bomer Webster Groves 1977 'Golden Globe Award', Matt Bomer is a tv actor born in 1977 in Webster Groves. He won the Golden Globe Award.,inform,tv actors,1,4
Lana Parrilla gender female. Lana Parrilla place of birth Brooklyn. Lana Parrilla date of birth 1977. Lana Parrilla spouse Nadie. Lana Parrilla rating lower rated. Lana Parrilla domain tv actor.,Lana Parrilla Female Brooklyn 1977 Nadie Lower Rated, Lana Parrilla is a lower rated female tv actor born in 1977 in Brooklyn. She is married to Nadie.,inform,tv actors,1,6
Ted Danson place of birth San Diego. Ted Danson rating top rated. Ted Danson gender male. Ted Danson awards received Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series. Ted Danson date of birth 1947. Ted Danson domain tv actor.,Ted Danson San Diego Top Rated Male 'Primetime Emmy Award For Outstanding Lead Actor In A Comedy Series' 1947, Ted Danson is a top rated male tv actor born in 1947 in San Diego. He won the Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series.,inform,tv actors,1,6
Amy Poehler height average. Amy Poehler rating highly_rated. Amy Poehler place of birth Newton. Amy Poehler awards received Golden Globe Award for Best Actress – Television Series Musical or Comedy. Amy Poehler date of birth 1971. Amy Poehler spouse Will Arnett. Amy Poehler domain tv actor.,Amy Poehler Average Highly Rated Newton 'Golden Globe Award For Best Actress – Television Series Musical Or Comedy' 1971 Will Arnett," Amy Poehler is a highly rated tv actor of average height, born in 1971 in Newton. She won the Golden Globe Award for Best Actress – Television Series Musical or Comedy and is married to Will Arnett.",inform,tv actors,1,7
Billy Bob Thornton spouse Connie Angland. Billy Bob Thornton awards received Academy Award for Best Writing. Billy Bob Thornton place of birth Hot Springs. Billy Bob Thornton height average. Billy Bob Thornton date of birth 1955. Billy Bob Thornton rating top rated. Billy Bob Thornton domain tv actor.,Billy Bob Thornton Connie Angland 'Academy Award For Best Writing Hot Springs Average 1955 Top Rated, Billy Bob Thornton is a top rated tv actor born in 1955 in Hot Springs. He is of average height and married to Connie Angland. He won an Academy Award for Best Writing.,inform,tv actors,1,7
Tom Ellis rating moderately rated. Tom Ellis gender male. Tom Ellis height average. Tom Ellis spouse Meaghan Oppenheimer. Tom Ellis cast member of Lucifer. Tom Ellis date of birth 1978. Tom Ellis place of birth Cardiff. Tom Ellis domain tv actor.,Tom Ellis Moderately Rated Male Average Meaghan Oppenheimer 'Lucifer' 1978 Cardiff," Tom Ellis is a moderately rated male tv actor from Cardiff, born in 1978 with an average height. He is married to Meaghan Oppenheimer and is cast member of Lucifer.",inform,tv actors,1,8
David Harbour gender male. David Harbour rating highly rated. David Harbour place of birth White Plains. David Harbour cast member of Stranger Things. David Harbour spouse Lily Allen. David Harbour date of birth 1975. David Harbour domain tv actor.,David Harbour Male Highly Rated White Plains 'Stranger Things' Lily Allen 1975," David Harbour is a highly rated male tv actor from White Plains, born in 1975 and married to Lily Allen. He is a cast member of Stranger Things.",inform,tv actors,1,7
Jodie Comer height taller. Jodie Comer place of birth Liverpool. Jodie Comer date of birth 1993. Jodie Comer gender female. Jodie Comer rating top rated. Jodie Comer awards received Primetime Emmy Award for Outstanding Lead Actress in a Drama Series. Jodie Comer domain tv actor.,Jodie Comer Taller Liverpool 1993 Female Top Rated 'Primetime Emmy Award For Outstanding Lead Actress In A Drama Series'," Jodie Comer is a top rated, taller female tv actor born in Liverpool in 1993. She won the Primetime Emmy Award for Outstanding Lead Actress in a Drama Series.",inform,tv actors,1,7
Sophie Turner rating highly rated. Sophie Turner gender female. Sophie Turner place of birth Northampton. Sophie Turner date of birth 1996. Sophie Turner height average. Sophie Turner domain tv actor.,Sophie Turner Highly Rated Female Northampton 1996 Average, Sophie Turner is a highly rated female tv actor born in 1996 in Northampton and of average height.,inform,tv actors,1,6
Johnny Galecki cast member of The Big Bang Theory. Johnny Galecki rating top rated. Johnny Galecki gender male. Johnny Galecki place of birth Bree. Johnny Galecki height average. Johnny Galecki awards received Theatre World Award. Johnny Galecki date of birth 1975. Johnny Galecki domain tv actor.,Johnny Galecki 'The Big Bang Theory' Top Rated Male Bree Average 'Theatre World Award' 1975," Johnny Galecki is a top rated male tv actor born in Bree in 1975. He is of average height and is a cast member of The Big Bang Theory, winning the Theatre World Award.",inform,tv actors,1,8
Nick Offerman awards received TCA Awards. Nick Offerman gender male. Nick Offerman domain tv actor.,Nick Offerman 'Tca Awards' Male, Nick Offerman is a male tv actor who has won the TCA Awards.,inform,tv actors,1,3
Kristen Bell place of birth Huntington Woods. Kristen Bell awards received Hollywood Walk of Fame. Kristen Bell date of birth 1980. Kristen Bell gender female. Kristen Bell height shorter. Kristen Bell rating top rated. Kristen Bell cast member of Forgetting Sarah Marshall. Kristen Bell domain tv actor.,Kristen Bell Huntington Woods 'Hollywood Walk Of Fame' 1980 Female Shorter Top Rated 'Forgetting Sarah Marshall'," Kristen Bell is a top rated female tv actor born in 1980 in Huntington Woods, who is shorter in height. She received a Hollywood Walk of Fame and was cast member of Forgetting Sarah Marshall.",inform,tv actors,1,8
Sophie Turner height average. Sophie Turner gender female. Sophie Turner spouse Joe Jonas. Sophie Turner domain tv actor.,Sophie Turner Average Female Joe Jonas," Sophie Turner is a female tv actor of average height, married to Joe Jonas.",inform,tv actors,1,4
Aziz Ansari height average. Aziz Ansari rating highly_rated. Aziz Ansari gender male. Aziz Ansari domain tv actor.,Aziz Ansari Average Highly Rated Male, Aziz Ansari is a highly rated male tv actor of average height.,inform,tv actors,1,4
Ginnifer Goodwin place of birth Memphis. Ginnifer Goodwin domain tv actor.,Ginnifer Goodwin Memphis, Ginnifer Goodwin is a tv actor from Memphis.,inform,tv actors,1,2
Maisie Williams rating highly rated. Maisie Williams domain tv actor.,Maisie Williams Highly Rated, Maisie Williams is a highly rated tv actor.,inform,tv actors,1,2
Milo Ventimiglia date of birth 1977. Milo Ventimiglia height average. Milo Ventimiglia gender male. Milo Ventimiglia place of birth Anaheim. Milo Ventimiglia domain tv actor.,Milo Ventimiglia 1977 Average Male Anaheim, Milo Ventimiglia is a male tv actor born in 1977 in Anaheim of average height.,inform,tv actors,1,5
Lana Parrilla rating lower rated. Lana Parrilla spouse Nadie. Lana Parrilla place of birth Brooklyn. Lana Parrilla domain tv actor.,Lana Parrilla Lower Rated Nadie Brooklyn, Lana Parrilla is a lower rated tv actor from Brooklyn. She is married to Nadie.,inform,tv actors,1,4
Winona Ryder height shorter. Winona Ryder date of birth 1971. Winona Ryder gender female. Winona Ryder awards received Golden Globe Award for Best Supporting Actress – Motion Picture. Winona Ryder rating top rated. Winona Ryder domain tv actor.,Winona Ryder Shorter 1971 Female 'Golden Globe Award For Best Supporting Actress – Motion Picture' Top Rated, Winona Ryder is a top rated female tv actor born in 1971. She is shorter in height and won a Golden Globe Award for Best Supporting Actress – Motion Picture.,inform,tv actors,1,6
Chandler Riggs rating moderately rated. Chandler Riggs gender male. Chandler Riggs height average. Chandler Riggs place of birth Atlanta. Chandler Riggs cast member of The Walking Dead. Chandler Riggs date of birth 1999. Chandler Riggs domain tv actor.,Chandler Riggs Moderately Rated Male Average Atlanta 'The Walking Dead' 1999, Chandler Riggs is a moderately rated male tv actor born in Atlanta in 1999 of average height. He is a cast member of The Walking Dead.,inform,tv actors,1,7
