,Unnamed: 0,index,mr_new,pseudo_mr,da,text,,num_hops,num_triples,shape,LM_prob,PPL,pseudo_bleu,scores,pred,criteria,
1383,1383,138,Dua Lipa country of citizenship Albania. Omer Nishani country of citizenship Albania. Rezart Dabulla country of citizenship Albania.,Dua Lipa Albania Omer Nishani Rezart Dabulla,inform,"
Dua Lipa, Omer Nishani, and Rezart Dabulla are all from Albania.",11,1,3,(X (X) (X) (X)),0.008152041748,122.6686554,10.22400368,0.9622434,give_opinion,all_scores_PPL,0
1396,1396,139,Kim Ryeowook genre K-pop. Rain genre K-pop. Kim Ryeowook record label SM Entertainment. Kim Ryeowook record label Label SJ. Kim Ryeowook date of birth 1987-06-21T00:00:00Z. Sakura Miyawaki genre K-pop.,Kim Ryeowook K-pop Rain SM Entertainment Label SJ 1987-06-21T00:00:00Z Sakura Miyawaki,inform," Kim Ryeowook and Rain, both K-pop artists, have record labels SM Entertainment and Label SJ. Kim Ryeowook was born on 1987-06-21T00:00:00Z. Sakura Miyawaki is also K-pop artist.",27,1,6,(X (X) (X) (X) (X) (X) (X)),0.02159825826,46.30002975,25.70505601,0.894926,inform,match_scores,1
1408,1408,140,Kate Bush record label Columbia Records. Music Box record label Columbia Records. Kate Bush country of citizenship United Kingdom. Kate Bush genre progressive pop. Kate Bush genre baroque pop. Paul Desmond record label Columbia Records.,Kate Bush Columbia Records Music Box United Kingdom progressive pop baroque pop Paul Desmond,inform," Kate Bush and Paul Desmond, both signed with Columbia Records, are progressive and baroque pop music artists from the United Kingdom.",21,1,6,(X (X) (X) (X) (X) (X) (X)),0.008492305986,117.7536469,7.205645835,0.8461932,inform,match_scores,1
1415,1415,141,Ricki-Lee genre contemporary R&B. Cassie Ventura genre contemporary R&B. Ricki-Lee country of citizenship Australia. Ricki-Lee record label Shock Records. Ricki-Lee country of citizenship Australia. Ricki-Lee: The Singles performer Ricki-Lee. Kim Jong-hyun genre contemporary R&B.,Ricki-Lee contemporary R&B Cassie Ventura Australia Shock Records Australia Ricki-Lee: The Singles Kim Jong-hyun,inform,Ricki-Lee and Cassie Ventura are both contemporary R&B artists from Australia. Ricki-Lee is signed to Shock Records and released an album titled The Singles. Kim Jong-hyun is another contemporary R&B artist.,31,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.02421901251,41.28987503,10.43436098,0.81651986,inform,match_scores,1
1426,1426,142,Allie X record label Universal Music Group. Teena Marie record label Universal Music Group. Allie X genre synth-pop. Cape God performer Allie X. Cape God performer Allie X. Cape God performer Allie X. Allie X genre synth-pop.,Allie X Universal Music Group Teena Marie synth-pop Cape God Cape God Cape God synth-pop,inform,Allie X is a synth-pop artist who signed with Universal Music Group and have a notable song called Cape God.,20,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.008418968552,118.7793961,10.27332782,0.75244147,inform,match_scores,1
1433,1433,143,Aaron Carter rating okay. Another Earthquake performer Aaron Carter. Another Earthquake record label Jive Records.,okay Aaron Carter Another Earthquake Jive Records,verify_attribute,You told me that Aaron Carter's Another Earthquake was just okay. Does it mean that you don't like Jive Records music?,21,1,3,(X (X) (X) (X)),0.006932499944,144.2481079,5.154337627,0.81229955,verify_attribute,match_scores,1
1446,1446,144,Selena Gomez genre rock music. Tina Turner genre rock music. Selena Gomez genre dance-pop. Selena Gomez genre dance-pop. Disturbed genre rock music.,Selena Gomez rock music Tina Turner dance-pop dance-pop Disturbed,inform,"
Selena Gomez is a versatile artist who excels at rock music, dance-pop, and rock music. Tina Turner is a rock music artist. Disturbed is a rock music artist.",28,1,5,(X (X) (X) (X) (X) (X)),0.04927318277,20.29501534,4.180647946,0.64858913,inform,match_scores,1
1458,1458,145,Dhurata Dora country of citizenship Kosovo. Ermal Fejzullahu country of citizenship Kosovo. Dhurata Dora country of citizenship Germany. Dhurata Dora genre reggae. Zemër performer Dhurata Dora. Dhurata Dora genre reggae.,Dhurata Dora Kosovo Ermal Fejzullahu Germany reggae Zemër reggae,inform,Dhurata Dora is a reggae artist from Kosovo and Germany who is a performer of the song Zemër. Ermal Fejzullahu is also a reggae artist from Kosovo.,27,1,6,(X (X) (X) (X) (X) (X) (X)),0.009828983398,101.7399216,4.457304914,0.8474253,inform,match_scores,1
1467,1467,146,Zendaya rating excellent. Zendaya award received Kids' Choice Award for Favorite TV Actress. Zendaya country of citizenship United States of America.,excellent Zendaya Kids' Choice Award for Favorite TV Actress United States of America,give_opinion," I think Zendaya is an excellent actress, she has won the Kids' Choice Award for Favorite TV Actress and is from the United States of America.",26,1,3,(X (X) (X) (X)),0.03048652561,32.80137634,30.21375397,0.89281166,give_opinion,match_scores,1
1472,1472,147,Kim Ryeowook rating okay. Kim Ryeowook record label Label SJ. Kim Ryeowook genre K-pop.,okay Kim Ryeowook Label SJ K-pop,give_opinion," Kim Ryeowook, signed with the record label Label SJ, is a okay K-pop artist.",14,1,3,(X (X) (X) (X)),0.00342538856,291.9376831,7.158561577,0.8581024,give_opinion,match_scores,1
1481,1481,148,Aaron Carter genre hip hop music. Stromae genre hip hop music. Aaron Carter date of birth 1987-12-07T00:00:00Z. Most Requested Hits performer Aaron Carter. Kelly Rowland genre hip hop music. Kelly Rowland genre hip hop music.,Aaron Carter hip hop music Stromae 1987-12-07T00:00:00Z Most Requested Hits Kelly Rowland Kelly Rowland,inform,Aaron Carter and Kelly Rowland are both hip hop music artists. Aaron Carter was born in 1987 and has a song on the album Most Requested Hits.,27,1,6,(X (X) (X) (X) (X) (X) (X)),0.01349481842,74.10251617,10.37319874,0.7036442,inform,match_scores,1
1492,1492,149,Franco Battiato genre opera. Hermann Zumpe genre opera. Franco Battiato country of citizenship Italy. Franco Battiato record label Philips. Franco Battiato record label EMI. Laci Boldemann genre opera. Leo Blech genre opera.,Franco Battiato opera Hermann Zumpe Italy Philips EMI Laci Boldemann Leo Blech,inform," Franco Battiato, Hermann Zumpe, Laci Boldemann, and Leo Blech are Italian opera musicians who have released records with Philips and EMI.",21,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.005680701676,176.0345917,6.524019201,0.89825845,inform,match_scores,1
1506,1506,150,Dua Lipa rating excellent. Dua Lipa genre contemporary R&B. Cheryl genre contemporary R&B.,excellent Dua Lipa contemporary R&B Cheryl,give_opinion,I think that Dua Lipa and Cheryl are both excellent contemporary R&B artists.,13,1,3,(X (X) (X) (X)),0.01418521998,70.49591064,19.5647515,0.8663816,give_opinion,match_scores,1
1510,1510,151,Elton John genre glam rock. Mika genre glam rock. Elton John award received Grammy Awards. Elton John genre rhythm and blues. Elton John country of citizenship United Kingdom. Elton John award received Rock and Roll Hall of Fame. Elton John genre rock music.,Elton John glam rock Mika Grammy Awards rhythm and blues United Kingdom Rock and Roll Hall of Fame rock music,inform," Elton John is a glam rock, rhythm and blues and rock music artist from the United Kingdom. He has received both the Grammy Awards and Rock and Roll Hall of Fame.",31,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.04683992146,21.34930992,23.54400787,0.90812767,inform,match_scores,1
1528,1528,152,Elvis Presley genre rock and roll. Peter Wolf genre rock and roll. Elvis Presley genre blues. Elvis Presley country of citizenship United States of America. Elvis Presley genre rock music. Elvis Presley genre rock music. Eric Burdon genre rock and roll.,Elvis Presley rock and roll Peter Wolf blues United States of America rock music rock music Eric Burdon,inform," Elvis Presley, Peter Wolf, and Eric Burdon are American musicians who specialize in rock and roll, blues, and rock music.",20,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.02879432549,34.72906494,10.43518573,0.8432218,inform,match_scores,1
1538,1538,153,Kevin Max genre Christian rock. Lacey Sturm genre Christian rock.,Kevin Max Christian rock Lacey Sturm,inform,"
Kevin Max and Lacey Sturm are both Christian rock musicians.",10,1,2,(X (X) (X)),0.005935882398,168.4669495,12.98267945,0.88236624,inform,match_scores_PPL,1
1542,1542,154,Beverley Craven record label Sony Music. Sıla Gençoğlu record label Sony Music.,Beverley Craven Sony Music Sıla Gençoğlu,suggest," Did you come across any Sony Music artists, such as Beverley Craven or Sıla Gençoğlu?",15,1,2,(X (X) (X)),0.006126361058,163.2290344,7.922250669,0.885033,suggest,match_scores,1
1551,1551,155,Terry Callier rating okay. Terry Callier record label Elektra. I Just Can't Help Myself performer Terry Callier.,okay Terry Callier Elektra I Just Can't Help Myself,verify_attribute,You said I Just Can't Help Myself was just okay. Do you feel the same about other works released by the Elektra label from Terry Callier?,26,1,3,(X (X) (X) (X)),0.008818531889,113.3975601,15.31024544,0.7740441,verify_attribute,match_scores,1
1567,1567,156,Jennifer Connelly award received BAFTA Award for Best Actress in a Supporting Role. Sigourney Weaver award received BAFTA Award for Best Actress in a Supporting Role. Karen performer Jennifer Connelly. Jennifer Connelly award received Broadcast Film Critics Association Award for Best Supporting Actress. Jennifer Connelly award received Academy Award for Best Supporting Actress.,Jennifer Connelly BAFTA Award for Best Actress in a Supporting Role Sigourney Weaver Karen Broadcast Film Critics Association Award for Best Supporting Actress Academy Award for Best Supporting Actress,inform,"
 Jennifer Connelly has won several awards, including the BAFTA Award for Best Actress in a Supporting Role, the Broadcast Film Critics Association Award for Best Supporting Actress, and the Academy Award for Best Supporting Actress for her role as Karen. Sigourney Weaver has also won the BAFTA Award for Best Actress in a Supporting Role.",56,1,5,(X (X) (X) (X) (X) (X)),0.1247187045,8.018043518,35.22052876,0.9520749,inform,match_scores,1
1571,1571,157,Beverley Craven genre pop rock. Bella Thorne genre pop rock. Beverley Craven country of citizenship United Kingdom. Beverley Craven record label Sony Music. Alanis Morissette genre pop rock.,Beverley Craven pop rock Bella Thorne United Kingdom Sony Music Alanis Morissette,inform,Beverley Craven and Alanis Morissette are both pop rock artists from the United Kingdom and Bella Thorne is a pop rock artist. Beverley Craven is signed to Sony Music record label.,31,1,5,(X (X) (X) (X) (X) (X)),0.02292627471,43.61807632,5.502042119,0.87595433,inform,match_scores,1
1583,1583,158,Clint Eastwood award received César Award. Charlotte Gainsbourg award received César Award. Clint Eastwood award received AFI Life Achievement Award.,Clint Eastwood César Award Charlotte Gainsbourg AFI Life Achievement Award,inform,"
Clint Eastwood and Charlotte Gainsbourg both received the César Award. Clint Eastwood also got the AFI Life Achievement Award.",19,1,3,(X (X) (X) (X)),0.03734959019,26.77405548,17.0010781,0.9057776,inform,match_scores,1
1595,1595,159,Kevin Max record label Northern Records. The Imposter record label Northern Records. The Blood performer Kevin Max. Kevin Max country of citizenship United States of America. Kevin Max date of birth 1967-08-17T00:00:00Z. Kevin Max date of birth 1967-08-17T00:00:00Z. The Blood performer Kevin Max.,Kevin Max Northern Records The Imposter The Blood United States of America 1967-08-17T00:00:00Z 1967-08-17T00:00:00Z The Blood,inform," Kevin Max, a U.S. citizen born on 1967-08-17T00:00:00Z, is signed to Northern Records. He has performed the song The Blood.",20,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.02028608719,49.29486847,27.2508836,0.8361494,inform,match_scores,1
1609,1609,160,Avishai Cohen rating okay. Avishai Cohen genre bebop.,okay Avishai Cohen bebop,give_opinion,Avishai Cohen is an okay bebop musician in my opinion.,10,1,2,(X (X) (X)),0.007222587868,138.4545288,8.913765521,0.8558488,give_opinion,match_scores,1
1619,1619,161,Madonna rating excellent. Madonna award received Golden Globe Award for Best Actress – Motion Picture Musical or Comedy.,excellent Madonna Golden Globe Award for Best Actress – Motion Picture Musical or Comedy,verify_attribute,I remember that you said Madonna is excellent. Do you think the same about other artists who received the Golden Globe Award for Best Actress – Motion Picture Musical or Comedy?,31,1,2,(X (X) (X)),0.01857437768,53.83760452,34.46704815,0.87594116,verify_attribute,match_scores,1
1625,1625,162,Donna Fargo genre country music. John Fogerty genre country music. Kenny Rogers genre country music.,Donna Fargo country music John Fogerty Kenny Rogers,inform," Donna Fargo, John Fogerty, and Kenny Rogers are country music artists.",11,1,3,(X (X) (X) (X)),0.008115901252,123.2149048,11.35935489,0.90814614,inform,match,1
1631,1631,163,Elvis Presley genre rock and roll. Cliff Richard genre rock and roll. Elvis Presley genre rhythm and blues. Elvis Presley genre rockabilly. Elvis Presley genre pop music. Brad Wilk genre rock and roll. Howard Kaylan genre rock and roll.,Elvis Presley rock and roll Cliff Richard rhythm and blues rockabilly pop music Brad Wilk Howard Kaylan,inform," Elvis Presley is a multi-genre musician who is good at rock and roll, rhythm and blues, rockabilly, and pop music. Other rock and roll musicians include Cliff Richard, Brad Wilk, and Howard Kaylan.",33,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.03860949611,25.90036392,9.13893057,0.86354625,inform,match_scores,1
1642,1642,164,Jennifer Lopez genre hip hop music. Nelly Furtado genre hip hop music. Jennifer Lopez genre Latin music. Jennifer Lopez genre rhythm and blues. Jennifer Lopez country of citizenship United States of America. Vanilla Ice genre hip hop music.,Jennifer Lopez hip hop music Nelly Furtado Latin music rhythm and blues United States of America Vanilla Ice,inform," Jennifer Lopez and Vanilla Ice are two hip hop music artists from the United States, while Nelly Furtado is also a hip hop music artist. Jennifer Lopez also has some Latin music and rhythm and blues genres.",37,1,6,(X (X) (X) (X) (X) (X) (X)),0.02881191516,34.70786285,9.001463883,0.8404509,inform,match_scores,1
1653,1653,165,Elton John rating excellent. Elton John record label DJM Records.,excellent Elton John DJM Records,give_opinion," I think Elton John is an excellent musician, he is signed with DJM Records.",14,1,2,(X (X) (X)),0.01407882324,71.02866364,7.314031827,0.81654656,give_opinion,match_scores,1
1666,1666,166,Elvis Presley rating good. Elvis Presley genre country music. John Fogerty genre country music.,good Elvis Presley country music John Fogerty,verify_attribute," Since you said Elvis Presley's country music was good, do you think the same about John Fogerty's country music?",19,1,3,(X (X) (X) (X)),0.04074992776,24.53992081,4.567211833,0.85689217,verify_attribute,match_scores,1
1673,1673,167,Lady Gaga award received Academy Award for Best Original Song. Burt Bacharach award received Academy Award for Best Original Song. Lady Gaga award received MTV Video Music Award for Best Direction. Lady Gaga award received Golden Globe Award for Best Actress – Miniseries or Television Film. Lady Gaga award received MTV Video Music Award for Best Art Direction. Lady Gaga award received Grammy Award for Best Music Video.,Lady Gaga Academy Award for Best Original Song Burt Bacharach MTV Video Music Award for Best Direction Golden Globe Award for Best Actress – Miniseries or Television Film MTV Video Music Award for Best Art Direction Grammy Award for Best Music Video,inform," Lady Gaga and Burt Bacharach have both received the Academy Award for Best Original Song, while Lady Gaga also has awards such as the MTV Video Music Award for Best Direction, Golden Globe Award for Best Actress – Miniseries or Television Film, MTV Video Music Award for Best Art Direction and the Grammy Award for Best Music Video.",58,1,6,(X (X) (X) (X) (X) (X) (X)),0.06872802141,14.55010605,51.56673137,0.9690706,inform,match_scores,1
1680,1680,168,Allie X record label Universal Music Group. Teena Marie record label Universal Music Group. CollXtion I performer Allie X. CollXtion I performer Allie X. Havana Brown record label Universal Music Group.,Allie X Universal Music Group Teena Marie CollXtion I CollXtion I Havana Brown,inform," Allie X, Teena Marie and Havana Brown are all part of Universal Music Group's artist roster. Allie X also has a collection of songs titled CollXtion I.",27,1,5,(X (X) (X) (X) (X) (X)),0.008507415072,117.5445175,5.552131483,0.8406604,inform,match,1
1697,1697,169,Madonna record label Sire. Lou Reed record label Sire.,Madonna Sire Lou Reed,inform,"
Madonna and Lou Reed were signed to the same record label, Sire.",12,1,2,(X (X) (X)),0.02871519169,34.82477188,6.754312829,0.77222586,give_opinion,all_scores,0
1709,1709,170,Lisa Marie Presley genre pop rock. Bella Thorne genre pop rock. Storm & Grace performer Lisa Marie Presley. You Ain't Seen Nothin' Yet performer Lisa Marie Presley.,Lisa Marie Presley pop rock Bella Thorne Storm & Grace You Ain't Seen Nothin' Yet,inform,Lisa Marie Presley is a pop rock artist whose notable work include Storm & Grace and You Ain't Seen Nothin' Yet.,21,1,4,(X (X) (X) (X) (X)),0.01085058532,92.16092682,28.57196256,0.7889655,inform,match_scores,1
1719,1719,171,Austin Butler genre pop music. Patrizio Buanne genre pop music.,Austin Butler pop music Patrizio Buanne,inform,"
Austin Butler and Patrizio Buanne are both pop music artists.",10,1,2,(X (X) (X)),0.001777717402,562.519104,12.98267945,0.8954171,give_opinion,all_scores_PPL,0
1725,1725,172,Eddie Holland genre rhythm and blues. Aretha Franklin genre rhythm and blues. Eddie Holland award received Johnny Mercer Award. I Couldn't Cry If I Wanted To performer Eddie Holland. Screamin' Jay Hawkins genre rhythm and blues. Screamin' Jay Hawkins genre rhythm and blues.,Eddie Holland rhythm and blues Aretha Franklin Johnny Mercer Award I Couldn't Cry If I Wanted To Screamin' Jay Hawkins Screamin' Jay Hawkins,inform," Eddie Holland, Aretha Franklin, and Screamin' Jay Hawkins are all rhythm and blues artists. Eddie Holland has received the Johnny Mercer Award for his song, I Couldn't Cry If I Wanted To.",32,1,6,(X (X) (X) (X) (X) (X) (X)),0.02094425226,47.7457962,27.41979515,0.84861535,give_opinion,all_scores,0
1732,1732,173,Cage genre hip hop music. Vanilla Ice genre hip hop music. Cage record label Eastern Conference Records. Weatherproof performer Cage. Depart from Me performer Cage. Cage country of citizenship United States of America. Nelly Furtado genre hip hop music.,Cage hip hop music Vanilla Ice Eastern Conference Records Weatherproof Depart from Me United States of America Nelly Furtado,inform,"
Cage and Vanilla Ice are both hip hop music artists. Cage singed with Eastern Conference Records and have notable songs such as Weatherproof and Depart from Me. He is from United States of America. Nelly Furtado is also a hip hop music artist.",43,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.0159160077,62.82982635,12.49967878,0.7959804,inform,match_scores,1
1746,1746,174,Noize MC genre punk rock. Machine Gun Kelly genre punk rock. Noize MC genre rapcore. Noize MC genre rap. Steve Jones genre punk rock. John Lydon genre punk rock.,Noize MC punk rock Machine Gun Kelly rapcore rap Steve Jones John Lydon,inform,"
Noize MC, Machine Gun Kelly, Steve Jones, and John Lydon are all punk rock and rap artists. Noize MC also has a rapcore genre.",24,1,6,(X (X) (X) (X) (X) (X) (X)),0.01421401092,70.3531189,9.094793996,0.87036556,inform,match_scores,1
1754,1754,175,Kevin Max genre Christian rock. Chris Tomlin genre Christian rock. Raven Songs 101 performer Kevin Max. Kevin Max date of birth 1967-08-17T00:00:00Z. Kevin Max record label Northern Records. Kevin Max record label Northern Records.,Kevin Max Christian rock Chris Tomlin Raven Songs 101 1967-08-17T00:00:00Z Northern Records Kevin Max,inform," Kevin Max, born 1967-08-17T00:00:00Z, is a Christian rock artist signed to Northern Records. He is known for his work on Raven Songs 101.",23,1,6,(X (X) (X) (X) (X) (X) (X)),0.01790001002,55.8658905,30.74762345,0.8476092,inform,match_scores,1
1763,1763,176,Scarlett Johansson award received Time 100. Bad Bunny award received Time 100. Scarlett Johansson award received Honorary César. Scarlett Johansson date of birth 1984-11-22T00:00:00Z. Nicole Kidman award received Time 100.,Scarlett Johansson Time 100 Bad Bunny Honorary César 1984-11-22T00:00:00Z Nicole Kidman,inform," Scarlett Johansson and Bad Bunny were both awarded Time 100, while Scarlett Johansson also received an Honorary César. Scarlett Johansson was born on 1984-11-22T00:00:00Z and Nicole Kidman was also awarded Time 100.",32,1,5,(X (X) (X) (X) (X) (X)),0.03535894671,28.28138542,24.32742612,0.83797795,inform,match_scores,1
1771,1771,177,Dhurata Dora country of citizenship Kosovo. Sabri Fejzullahu country of citizenship Kosovo. Dhurata Dora date of birth 1992-12-24T00:00:00Z. Zemër performer Dhurata Dora. Dhurata Dora date of birth 1992-12-24T00:00:00Z.,Dhurata Dora Kosovo Sabri Fejzullahu 1992-12-24T00:00:00Z Zemër 1992-12-24T00:00:00Z,inform," Dhurata Dora and Sabri Fejzullahu are both musicians from Kosovo. Dhurata Dora's notable work include Zemër, and she was born on 1992-12-24T00:00:00Z.",22,1,5,(X (X) (X) (X) (X) (X)),0.01288853568,77.58833313,28.300781,0.82455385,inform,match_scores,1
1780,1780,178,Harry Styles rating okay. Harry Styles genre rock music.,okay Harry Styles rock music,give_opinion,Harry Styles is an okay musician when it comes to rock music.,12,1,2,(X (X) (X)),0.01680201416,59.51667404,9.23843021,0.84706914,give_opinion,match_scores,1
1797,1797,179,Franco Battiato rating okay. Franco Battiato record label Ricordi. Giorgio Faletti record label Ricordi.,okay Franco Battiato Ricordi Giorgio Faletti,give_opinion," I think Franco Battiato and Giorgio Faletti, who were both signed to the record label Ricordi, are okay musicians.",19,1,3,(X (X) (X) (X)),0.009318717382,107.3109055,5.406502669,0.83904517,give_opinion,match_scores,1
1809,1809,180,Kip Moore genre country music. Steven Seagal genre country music. Kip Moore date of birth 1980-04-01T00:00:00Z. Slowheart performer Kip Moore.,Kip Moore country music Steven Seagal 1980-04-01T00:00:00Z Slowheart,inform," Kip Moore is a country music artist born on April 1, 1980 who released an album called Slowheart.",18,1,4,(X (X) (X) (X) (X)),0.01302580694,76.77067566,5.993031481,0.514203,inform,match_scores,1
1810,1810,181,Olamide genre hip hop music. Mac Miller genre hip hop music.,Olamide hip hop music Mac Miller,inform,"
Olamide and Mac Miller are both hip hop music artists.",10,1,2,(X (X) (X)),0.00569265187,175.6650543,18.36028135,0.8597962,inform,match,1
1822,1822,182,Avishai Cohen genre jazz. Joni Mitchell genre jazz. Ann Hampton Callaway genre jazz.,Avishai Cohen jazz Joni Mitchell Ann Hampton Callaway,inform," Avishai Cohen, Joni Mitchell and Ann Hampton Callaway are jazz musicians.",11,1,3,(X (X) (X) (X)),0.003297803712,303.2321167,17.4743357,0.9338648,give_opinion,all_scores,0
1836,1836,183,Michael Jackson genre hard rock. Meat Loaf genre hard rock. Ozzy Osbourne genre hard rock.,Michael Jackson hard rock Meat Loaf Ozzy Osbourne,inform,"
Michael Jackson, Meat Loaf and Ozzy Osbourne are all hard rock musicians.",12,1,3,(X (X) (X) (X)),0.03538788214,28.25826073,11.35935489,0.8980743,give_opinion,all_scores_PPL,0
1849,1849,184,Avishai Cohen genre jazz. Joni Mitchell genre jazz. Avishai Cohen date of birth 1970-04-20T00:00:00Z. Lyla performer Avishai Cohen. Duende performer Avishai Cohen.,Avishai Cohen jazz Joni Mitchell 1970-04-20T00:00:00Z Lyla Duende,inform,Avishai Cohen is a jazz musician born in 1970. He is known for his work on Lyla and Duende.,19,1,5,(X (X) (X) (X) (X) (X)),0.02627500856,38.05897903,4.780204394,0.6354083,inform,match_scores,1
1850,1850,185,Kendrick Lamar genre conscious hip hop. Canserbero genre conscious hip hop. Kendrick Lamar country of citizenship United States of America. Kendrick Lamar record label Interscope Records. Kendrick Lamar genre G-funk. Troppo lontano genre conscious hip hop.,Kendrick Lamar conscious hip hop Canserbero United States of America Interscope Records G-funk Troppo lontano,inform,"
Kendrick Lamar and Canserbero are both conscious hip hop artists from the United States, with Kendrick Lamar also having G-funk genre. Kendrick Lamar was signed to Interscope Records. Troppo lontano is also a conscious hip hop artist.",37,1,6,(X (X) (X) (X) (X) (X) (X)),0.01794266962,55.73306656,6.329117215,0.8156456,inform,match_scores,1
1861,1861,186,Michael Jackson genre hard rock. Freddie Mercury genre hard rock. Michael Jackson genre dance-pop.,Michael Jackson hard rock Freddie Mercury dance-pop,inform,"
Michael Jackson is a hard rock and dance-pop musician. Freddie Mercury is a hard rock musician.",16,1,3,(X (X) (X) (X)),0.03221715313,31.03936577,7.732130226,0.7685162,inform,match_scores,1
1879,1879,187,Noize MC rating okay. Noize MC genre rap rock. Noize MC genre rap.,okay Noize MC rap rock rap,give_opinion,Noize MC's rap rock and rap music is okay in my opinion.,12,1,3,(X (X) (X) (X)),0.003394843108,294.5644226,7.768562846,0.86344576,give_opinion,match_scores,1
1880,1880,188,Rock and Roll Hall of Fame rating excellent. David Bowie award received Rock and Roll Hall of Fame.,excellent Rock and Roll Hall of Fame David Bowie,request_explanation,What makes David Bowie's induction into the Rock and Roll Hall of Fame so excellent for you?,17,1,2,(X (X) (X)),0.03563299769,28.0638752,28.43329182,0.8740278,request_explanation,match_scores,1
1893,1893,189,Austin Butler genre pop music. Bella Poarch genre pop music. Wil Ohmsford performer Austin Butler. Austin Butler record label Hollywood Records.,Austin Butler pop music Bella Poarch Wil Ohmsford Hollywood Records,inform,"
Austin Butler and Bella Poarch are both pop music artists. Austin Butler is signed to Hollywood Records and has a song titled Wil Ohmsford.",24,1,4,(X (X) (X) (X) (X)),0.004393577852,227.6049347,6.460362622,0.8632205,inform,match_scores,1
1908,1908,190,Barrett Strong rating okay. Barrett Strong country of citizenship United States of America.,okay Barrett Strong United States of America,give_opinion," Barrett Strong, who is from the United States of America, is an okay musician in my opinion.",17,1,2,(X (X) (X)),0.01913772064,52.25282669,14.81394579,0.7755351,give_opinion,match_scores,1
1911,1911,191,Olivia Newton-John rating excellent. Olivia Newton-John award received National Trust of Australia.,excellent Olivia Newton-John National Trust of Australia,give_opinion,Olivia Newton-John is an excellent musician who has been awarded by the National Trust of Australia.,16,1,2,(X (X) (X)),0.01689398506,59.1926651,17.69497515,0.867432,give_opinion,match_scores,1
1926,1926,192,Kanye West genre hip hop music. Stromae genre hip hop music. Kanye West genre gospel music. Kanye West award received Grammy Award for Best Rap Song. Bass Sultan Hengzt genre hip hop music. Kelly Rowland genre hip hop music.,Kanye West hip hop music Stromae gospel music Grammy Award for Best Rap Song Bass Sultan Hengzt Kelly Rowland,inform,"
Kanye West is a hip hop music and gospel music artist who has won the Grammy Award for Best Rap Song. Other hip hop music artists include Stromae, Bass Sultan Hengzt, and Kelly Rowland.",34,1,6,(X (X) (X) (X) (X) (X) (X)),0.02568808706,38.92855072,21.93880013,0.91036636,inform,match_scores,1
1935,1935,193,Jennifer Lopez genre hip hop music. Brittany Murphy genre hip hop music.,Jennifer Lopez hip hop music Brittany Murphy,recommend,"
Have you heard of Jennifer Lopez and Brittany Murphy's hip hop music? I think you would like it.",18,1,2,(X (X) (X)),0.02379973807,42.01726913,9.379601158,0.9162631,recommend,match_scores,1
1944,1944,194,Selena Gomez genre rock music. Shania Twain genre rock music. Clarence Clemons genre rock music.,Selena Gomez rock music Shania Twain Clarence Clemons,inform,"
Selena Gomez, Shania Twain and Clarence Clemons are all rock music artists.",12,1,3,(X (X) (X) (X)),0.01789439546,55.88341904,11.35935489,0.9454135,give_opinion,all_scores_PPL,0
1959,1959,195,Olivia Newton-John genre pop music. Mandy Capristo genre pop music. Olivia Newton-John award received Grammy Award for Best Female Pop Vocal Performance. Olivia Newton-John country of citizenship United Kingdom. Olivia Newton-John genre country music.,Olivia Newton-John pop music Mandy Capristo Grammy Award for Best Female Pop Vocal Performance United Kingdom country music,inform,"
Olivia Newton-John is a pop and country music artist from the United Kingdom who received the Grammy Award for Best Female Pop Vocal Performance. Mandy Capristo is also a pop music artist.",32,1,5,(X (X) (X) (X) (X) (X)),0.0432036428,23.14619637,27.62279493,0.91049576,inform,match_scores,1
1967,1967,196,David Bowie genre glam rock. Lou Reed genre glam rock.,David Bowie glam rock Lou Reed,suggest,"

Do you like glam rock musicians, such as David Bowie and Lou Reed?",13,1,2,(X (X) (X)),0.01821952616,54.88616943,9.103526406,0.84959614,suggest,match_scores,1
1971,1971,197,Luther Campbell rating okay. Scandalous: The All Star Compilation performer Luther Campbell.,okay Luther Campbell Scandalous: The All Star Compilation,give_opinion,I think that Luther Campbell's performance on Scandalous: The All Star Compilation was okay.,14,1,2,(X (X) (X)),0.006060697419,164.9975128,32.37722713,0.92052346,give_opinion,match_scores,1
1981,1981,198,Michael Jackson genre hard rock. Jared Leto genre hard rock. Michael Jackson genre dance music. Michael Jackson genre samba.,Michael Jackson hard rock Jared Leto dance music samba,inform," Michael Jackson is a musician who is good at hard rock, dance music, and samba. Jared Leto is also a hard rock musician.",23,1,4,(X (X) (X) (X) (X)),0.03731738317,26.79716301,5.7171691,0.8058005,inform,match_scores,1
