,mr,da,test_pseudo_utt,domain,type,n_hops,num_triples,pseudo_mr
1946,inform = yes | name = Cosmic Encounter | genres = science fiction | min_players = 3 | domain = board game,inform,Cosmic Encounter Science Fiction 3,board games,board game,1,3,Cosmic Encounter genre science fiction. Cosmic Encounter minimum number of players 3. Cosmic Encounter domain board game.
1947,inform = yes | name = War of 1812 | genres = wargame | publisher = Columbia Games | instance_of = board game | publication_year = 1973 | max_players = 2 | domain = board game,inform,War Of 1812 Wargame Columbia Games Board Game 1973 2,board games,board game,1,6,War of 1812 genre wargame. War of 1812 publisher Columbia Games. War of 1812 instance of board game. War of 1812 publication date 1973. War of 1812 maximum number of players 2. War of 1812 domain board game.
1948,inform = yes | name = Descent Journeys in the Dark | genres = fantasy | instance_of = board game | min_players = 2 | max_players = 5 | publication_year = 2005 | domain = board game,inform,Descent Journeys In The Dark Fantasy Board Game 2 5 2005,board games,board game,1,6,Descent Journeys in the Dark genre fantasy. Descent Journeys in the Dark instance of board game. Descent Journeys in the Dark minimum number of players 2. Descent Journeys in the Dark maximum number of players 5. Descent Journeys in the Dark publication date 2005. Descent Journeys in the Dark domain board game.
1949,inform = yes | name = Carcassonne | genres = German-style board game | country_of_origin = Germany | max_players = 6 | instance_of = board game | publication_year = 2000 | min_players = 2 | domain = board game,inform,Carcassonne German-Style Board Game Germany 6 Board Game 2000 2,board games,board game,1,7,Carcassonne genre German-style board game. Carcassonne country of origin Germany. Carcassonne maximum number of players 6. Carcassonne instance of board game. Carcassonne publication date 2000. Carcassonne minimum number of players 2. Carcassonne domain board game.
1950,inform = yes | name = Afrikan tähti | genres = roll-and-move | min_players = 2 | publication_year = 1951 | max_players = 6 | domain = board game,inform,Afrikan Tähti Roll-And-Move 2 1951 6,board games,board game,1,5,Afrikan tähti genre roll-and-move. Afrikan tähti minimum number of players 2. Afrikan tähti publication date 1951. Afrikan tähti maximum number of players 6. Afrikan tähti domain board game.
1951,inform = yes | name = Mystery Motive for Murder | genres = mystery fiction | instance_of = board game | publisher = Mayfair Games | max_players = 5 | developer = Bruce Glassco | min_players = 1 | domain = board game,inform,Mystery Motive For Murder Mystery Fiction Board Game Mayfair Games 5 Bruce Glassco 1,board games,board game,1,7,Mystery Motive for Murder genre mystery fiction. Mystery Motive for Murder instance of board game. Mystery Motive for Murder publisher Mayfair Games. Mystery Motive for Murder maximum number of players 5. Mystery Motive for Murder developer Bruce Glassco. Mystery Motive for Murder minimum number of players 1. Mystery Motive for Murder domain board game.
1952,inform = yes | name = Punaisten ja valkoisten taistelu Suomessa 1918 | genres = wargame | max_players = 2 | publication_year = 1918 | min_players = 2 | country_of_origin = Finland | instance_of = board game | domain = board game,inform,Punaisten Ja Valkoisten Taistelu Suomessa 1918 Wargame 2 1918 2 Finland Board Game,board games,board game,1,7,Punaisten ja valkoisten taistelu Suomessa 1918 genre wargame. Punaisten ja valkoisten taistelu Suomessa 1918 maximum number of players 2. Punaisten ja valkoisten taistelu Suomessa 1918 publication date 1918. Punaisten ja valkoisten taistelu Suomessa 1918 minimum number of players 2. Punaisten ja valkoisten taistelu Suomessa 1918 country of origin Finland. Punaisten ja valkoisten taistelu Suomessa 1918 instance of board game. Punaisten ja valkoisten taistelu Suomessa 1918 domain board game.
1953,inform = yes | name = Scotland Yard | genres = deduction game | min_players = 3 | max_players = 6 | publisher = Ravensburger | domain = board game,inform,Scotland Yard Deduction Game 3 6 Ravensburger,board games,board game,1,5,Scotland Yard genre deduction game. Scotland Yard minimum number of players 3. Scotland Yard maximum number of players 6. Scotland Yard publisher Ravensburger. Scotland Yard domain board game.
1954,inform = yes | name = Scotland Yard | genres = deduction game | max_players = 6 | game_mechanics = cooperative gameplay | min_players = 3 | instance_of = board game | publication_year = 1983 | domain = board game,inform,Scotland Yard Deduction Game 6 Cooperative Gameplay 3 Board Game 1983,board games,board game,1,7,Scotland Yard genre deduction game. Scotland Yard maximum number of players 6. Scotland Yard game mechanics cooperative gameplay. Scotland Yard minimum number of players 3. Scotland Yard instance of board game. Scotland Yard publication date 1983. Scotland Yard domain board game.
1955,inform = yes | name = Barbarossa | genres = fantasy | instance_of = board game | max_players = 6 | publication_year = 1988 | developer = Klaus Teuber | min_players = 3 | domain = board game,inform,Barbarossa Fantasy Board Game 6 1988 Klaus Teuber 3,board games,board game,1,7,Barbarossa genre fantasy. Barbarossa instance of board game. Barbarossa maximum number of players 6. Barbarossa publication date 1988. Barbarossa developer Klaus Teuber. Barbarossa minimum number of players 3. Barbarossa domain board game.
1956,inform = yes | name = Stratego | genres = board wargame | min_players = 2 | instance_of = board game | publisher = Jumbo Games | max_players = 2 | domain = board game,inform,Stratego Board Wargame 2 Board Game Jumbo Games 2,board games,board game,1,6,Stratego genre board wargame. Stratego minimum number of players 2. Stratego instance of board game. Stratego publisher Jumbo Games. Stratego maximum number of players 2. Stratego domain board game.
1957,inform = yes | name = Lord of the Rings | genres = fantasy | based_on = The Lord of the Rings | publication_year = 2000 | max_players = 5 | min_players = 2 | developer = Reiner Knizia | domain = board game,inform,Lord Of The Rings Fantasy The Lord Of The Rings 2000 5 2 Reiner Knizia,board games,board game,1,7,Lord of the Rings genre fantasy. Lord of the Rings based on The Lord of the Rings. Lord of the Rings publication date 2000. Lord of the Rings maximum number of players 5. Lord of the Rings minimum number of players 2. Lord of the Rings developer Reiner Knizia. Lord of the Rings domain board game.
1958,inform = yes | name = Sherlock Holmes Consulting Detective | genres = deduction game | instance_of = board game | publication_year = 1981 | max_players = 8 | domain = board game,inform,Sherlock Holmes Consulting Detective Deduction Game Board Game 1981 8,board games,board game,1,5,Sherlock Holmes Consulting Detective genre deduction game. Sherlock Holmes Consulting Detective instance of board game. Sherlock Holmes Consulting Detective publication date 1981. Sherlock Holmes Consulting Detective maximum number of players 8. Sherlock Holmes Consulting Detective domain board game.
1959,inform = yes | name = Mangala | genres = abstract strategy game | max_players = 2 | min_players = 2 | based_on = mancala | instance_of = board game | domain = board game,inform,Mangala Abstract Strategy Game 2 2 Mancala Board Game,board games,board game,1,6,Mangala genre abstract strategy game. Mangala maximum number of players 2. Mangala minimum number of players 2. Mangala based on mancala. Mangala instance of board game. Mangala domain board game.
1960,inform = yes | name = Enchanted Forest | genres = fantasy | publisher = Ravensburger | max_players = 6 | domain = board game,inform,Enchanted Forest Fantasy Ravensburger 6,board games,board game,1,4,Enchanted Forest genre fantasy. Enchanted Forest publisher Ravensburger. Enchanted Forest maximum number of players 6. Enchanted Forest domain board game.
1961,inform = yes | name = Monopoly | genres = roll-and-move | instance_of = board game | max_players = 8 | publisher = Hasbro | domain = board game,inform,Monopoly Roll-And-Move Board Game 8 Hasbro,board games,board game,1,5,Monopoly genre roll-and-move. Monopoly instance of board game. Monopoly maximum number of players 8. Monopoly publisher Hasbro. Monopoly domain board game.
1962,inform = yes | name = Dune | genres = science fiction | publisher = Avalon Hill | publication_year = 1979 | min_players = 2 | instance_of = board game | domain = board game,inform,Dune Science Fiction Avalon Hill 1979 2 Board Game,board games,board game,1,6,Dune genre science fiction. Dune publisher Avalon Hill. Dune publication date 1979. Dune minimum number of players 2. Dune instance of board game. Dune domain board game.
1963,inform = yes | name = Risk | genres = board wargame | max_players = 6 | developer = Albert Lamorisse | domain = board game,inform,Risk Board Wargame 6 Albert Lamorisse,board games,board game,1,4,Risk genre board wargame. Risk maximum number of players 6. Risk developer Albert Lamorisse. Risk domain board game.
1964,inform = yes | name = Mystery Motive for Murder | genres = mystery fiction | publication_year = 2015 | instance_of = board game | min_players = 1 | developer = Bruce Glassco | domain = board game,inform,Mystery Motive For Murder Mystery Fiction 2015 Board Game 1 Bruce Glassco,board games,board game,1,6,Mystery Motive for Murder genre mystery fiction. Mystery Motive for Murder publication date 2015. Mystery Motive for Murder instance of board game. Mystery Motive for Murder minimum number of players 1. Mystery Motive for Murder developer Bruce Glassco. Mystery Motive for Murder domain board game.
1965,inform = yes | name = Thurn and Taxis | genres = historical board game | developer = Andreas Seyfarth | publication_year = 2006 | country_of_origin = Germany | min_players = 2 | domain = board game,inform,Thurn And Taxis Historical Board Game Andreas Seyfarth 2006 Germany 2,board games,board game,1,6,Thurn and Taxis genre historical board game. Thurn and Taxis developer Andreas Seyfarth. Thurn and Taxis publication date 2006. Thurn and Taxis country of origin Germany. Thurn and Taxis minimum number of players 2. Thurn and Taxis domain board game.
1966,inform = yes | name = Sherlock Holmes Consulting Detective | genres = deduction game | publisher = Space Cowboys | min_players = 1 | max_players = 8 | instance_of = board game | publication_year = 1981 | domain = board game,inform,Sherlock Holmes Consulting Detective Deduction Game Space Cowboys 1 8 Board Game 1981,board games,board game,1,7,Sherlock Holmes Consulting Detective genre deduction game. Sherlock Holmes Consulting Detective publisher Space Cowboys. Sherlock Holmes Consulting Detective minimum number of players 1. Sherlock Holmes Consulting Detective maximum number of players 8. Sherlock Holmes Consulting Detective instance of board game. Sherlock Holmes Consulting Detective publication date 1981. Sherlock Holmes Consulting Detective domain board game.
1967,inform = yes | name = Dune | genres = science fiction | publisher = Avalon Hill | instance_of = board game | min_players = 2 | domain = board game,inform,Dune Science Fiction Avalon Hill Board Game 2,board games,board game,1,5,Dune genre science fiction. Dune publisher Avalon Hill. Dune instance of board game. Dune minimum number of players 2. Dune domain board game.
1968,inform = yes | name = Enchanted Forest | genres = fantasy | max_players = 6 | instance_of = board game | developer = Michel Matschoss | publisher = Ravensburger | min_players = 2 | domain = board game,inform,Enchanted Forest Fantasy 6 Board Game Michel Matschoss Ravensburger 2,board games,board game,1,7,Enchanted Forest genre fantasy. Enchanted Forest maximum number of players 6. Enchanted Forest instance of board game. Enchanted Forest developer Michel Matschoss. Enchanted Forest publisher Ravensburger. Enchanted Forest minimum number of players 2. Enchanted Forest domain board game.
1969,inform = yes | name = Enchanted Forest | genres = fantasy | publisher = Ravensburger | instance_of = board game | min_players = 2 | max_players = 6 | developer = Michel Matschoss | domain = board game,inform,Enchanted Forest Fantasy Ravensburger Board Game 2 6 Michel Matschoss,board games,board game,1,7,Enchanted Forest genre fantasy. Enchanted Forest publisher Ravensburger. Enchanted Forest instance of board game. Enchanted Forest minimum number of players 2. Enchanted Forest maximum number of players 6. Enchanted Forest developer Michel Matschoss. Enchanted Forest domain board game.
1970,inform = yes | name = Barbarossa | genres = fantasy | publisher = Franckh-Kosmos | instance_of = board game | min_players = 3 | max_players = 6 | domain = board game,inform,Barbarossa Fantasy Franckh-Kosmos Board Game 3 6,board games,board game,1,6,Barbarossa genre fantasy. Barbarossa publisher Franckh-Kosmos. Barbarossa instance of board game. Barbarossa minimum number of players 3. Barbarossa maximum number of players 6. Barbarossa domain board game.
1971,inform = yes | name = Carcassonne | genres = German-style board game | min_players = 2 | instance_of = board game | developer = Klaus-Jürgen Wrede | max_players = 6 | country_of_origin = Germany | domain = board game,inform,Carcassonne German-Style Board Game 2 Board Game Klaus-Jürgen Wrede 6 Germany,board games,board game,1,7,Carcassonne genre German-style board game. Carcassonne minimum number of players 2. Carcassonne instance of board game. Carcassonne developer Klaus-Jürgen Wrede. Carcassonne maximum number of players 6. Carcassonne country of origin Germany. Carcassonne domain board game.
1972,inform = yes | name = Enchanted Forest | genres = fantasy | min_players = 2 | developer = Michel Matschoss | publisher = Ravensburger | domain = board game,inform,Enchanted Forest Fantasy 2 Michel Matschoss Ravensburger,board games,board game,1,5,Enchanted Forest genre fantasy. Enchanted Forest minimum number of players 2. Enchanted Forest developer Michel Matschoss. Enchanted Forest publisher Ravensburger. Enchanted Forest domain board game.
1973,inform = yes | name = Thurn and Taxis | genres = historical board game | publisher = Hans im Glück | min_players = 2 | developer = Andreas Seyfarth | domain = board game,inform,Thurn And Taxis Historical Board Game Hans Im Glück 2 Andreas Seyfarth,board games,board game,1,5,Thurn and Taxis genre historical board game. Thurn and Taxis publisher Hans im Glück. Thurn and Taxis minimum number of players 2. Thurn and Taxis developer Andreas Seyfarth. Thurn and Taxis domain board game.
1974,inform = yes | name = Twilight Struggle | genres = board wargame | max_players = 2 | publisher = GMT Games | min_players = 2 | instance_of = board game | domain = board game,inform,Twilight Struggle Board Wargame 2 Gmt Games 2 Board Game,board games,board game,1,6,Twilight Struggle genre board wargame. Twilight Struggle maximum number of players 2. Twilight Struggle publisher GMT Games. Twilight Struggle minimum number of players 2. Twilight Struggle instance of board game. Twilight Struggle domain board game.
1975,inform = yes | name = Battle Masters | genres = fantasy | max_players = 2 | min_players = 2 | publication_year = 1992 | based_on = Warhammer | domain = board game,inform,Battle Masters Fantasy 2 2 1992 Warhammer,board games,board game,1,6,Battle Masters genre fantasy. Battle Masters maximum number of players 2. Battle Masters minimum number of players 2. Battle Masters publication date 1992. Battle Masters based on Warhammer. Battle Masters domain board game.
1976,inform = yes | name = Enchanted Forest | genres = fantasy | min_players = 2 | max_players = 6 | developer = Michel Matschoss | instance_of = board game | domain = board game,inform,Enchanted Forest Fantasy 2 6 Michel Matschoss Board Game,board games,board game,1,6,Enchanted Forest genre fantasy. Enchanted Forest minimum number of players 2. Enchanted Forest maximum number of players 6. Enchanted Forest developer Michel Matschoss. Enchanted Forest instance of board game. Enchanted Forest domain board game.
1977,inform = yes | name = Punaisten ja valkoisten taistelu Suomessa 1918 | genres = wargame | max_players = 2 | min_players = 2 | country_of_origin = Finland | instance_of = board game | domain = board game,inform,Punaisten Ja Valkoisten Taistelu Suomessa 1918 Wargame 2 2 Finland Board Game,board games,board game,1,6,Punaisten ja valkoisten taistelu Suomessa 1918 genre wargame. Punaisten ja valkoisten taistelu Suomessa 1918 maximum number of players 2. Punaisten ja valkoisten taistelu Suomessa 1918 minimum number of players 2. Punaisten ja valkoisten taistelu Suomessa 1918 country of origin Finland. Punaisten ja valkoisten taistelu Suomessa 1918 instance of board game. Punaisten ja valkoisten taistelu Suomessa 1918 domain board game.
1978,inform = yes | name = Barbarossa | genres = fantasy | instance_of = board game | max_players = 6 | publication_year = 1988 | domain = board game,inform,Barbarossa Fantasy Board Game 6 1988,board games,board game,1,5,Barbarossa genre fantasy. Barbarossa instance of board game. Barbarossa maximum number of players 6. Barbarossa publication date 1988. Barbarossa domain board game.
1979,inform = yes | name = Cosmic Encounter | genres = science fiction | instance_of = board game | max_players = 8 | publication_year = 1977 | domain = board game,inform,Cosmic Encounter Science Fiction Board Game 8 1977,board games,board game,1,5,Cosmic Encounter genre science fiction. Cosmic Encounter instance of board game. Cosmic Encounter maximum number of players 8. Cosmic Encounter publication date 1977. Cosmic Encounter domain board game.
1980,inform = yes | name = Mystery Motive for Murder | genres = mystery fiction | max_players = 5 | publication_year = 2015 | instance_of = board game | developer = Bruce Glassco | publisher = Mayfair Games | domain = board game,inform,Mystery Motive For Murder Mystery Fiction 5 2015 Board Game Bruce Glassco Mayfair Games,board games,board game,1,7,Mystery Motive for Murder genre mystery fiction. Mystery Motive for Murder maximum number of players 5. Mystery Motive for Murder publication date 2015. Mystery Motive for Murder instance of board game. Mystery Motive for Murder developer Bruce Glassco. Mystery Motive for Murder publisher Mayfair Games. Mystery Motive for Murder domain board game.
1981,inform = yes | name = Stratego | genres = board wargame | publisher = Jumbo Games | instance_of = board game | min_players = 2 | domain = board game,inform,Stratego Board Wargame Jumbo Games Board Game 2,board games,board game,1,5,Stratego genre board wargame. Stratego publisher Jumbo Games. Stratego instance of board game. Stratego minimum number of players 2. Stratego domain board game.
1982,inform = yes | name = Chicago | genres = strategy game | max_players = 4 | publisher = Playmix | instance_of = board game | publication_year = 1986 | domain = board game,inform,Chicago Strategy Game 4 Playmix Board Game 1986,board games,board game,1,6,Chicago genre strategy game. Chicago maximum number of players 4. Chicago publisher Playmix. Chicago instance of board game. Chicago publication date 1986. Chicago domain board game.
1983,inform = yes | name = Star Realms | genres = science fiction | publication_year = 2014 | publisher = White Wizard Games | domain = board game,inform,Star Realms Science Fiction 2014 White Wizard Games,board games,board game,1,4,Star Realms genre science fiction. Star Realms publication date 2014. Star Realms publisher White Wizard Games. Star Realms domain board game.
1984,inform = yes | name = Thurn and Taxis | genres = historical board game | max_players = 4 | publisher = Hans im Glück | instance_of = board game | publication_year = 2006 | country_of_origin = Germany | domain = board game,inform,Thurn And Taxis Historical Board Game 4 Hans Im Glück Board Game 2006 Germany,board games,board game,1,7,Thurn and Taxis genre historical board game. Thurn and Taxis maximum number of players 4. Thurn and Taxis publisher Hans im Glück. Thurn and Taxis instance of board game. Thurn and Taxis publication date 2006. Thurn and Taxis country of origin Germany. Thurn and Taxis domain board game.
1985,inform = yes | name = Mangala | genres = abstract strategy game | max_players = 2 | instance_of = board game | min_players = 2 | based_on = mancala | domain = board game,inform,Mangala Abstract Strategy Game 2 Board Game 2 Mancala,board games,board game,1,6,Mangala genre abstract strategy game. Mangala maximum number of players 2. Mangala instance of board game. Mangala minimum number of players 2. Mangala based on mancala. Mangala domain board game.
1986,inform = yes | name = Monopoly | genres = roll-and-move | max_players = 8 | domain = board game,inform,Monopoly Roll-And-Move 8,board games,board game,1,3,Monopoly genre roll-and-move. Monopoly maximum number of players 8. Monopoly domain board game.
1987,inform = yes | name = Scotland Yard | genres = deduction game | min_players = 3 | instance_of = board game | max_players = 6 | game_mechanics = cooperative gameplay | publisher = Ravensburger | domain = board game,inform,Scotland Yard Deduction Game 3 Board Game 6 Cooperative Gameplay Ravensburger,board games,board game,1,7,Scotland Yard genre deduction game. Scotland Yard minimum number of players 3. Scotland Yard instance of board game. Scotland Yard maximum number of players 6. Scotland Yard game mechanics cooperative gameplay. Scotland Yard publisher Ravensburger. Scotland Yard domain board game.
1988,inform = yes | name = Mangala | genres = abstract strategy game | max_players = 2 | instance_of = board game | based_on = mancala | min_players = 2 | domain = board game,inform,Mangala Abstract Strategy Game 2 Board Game Mancala 2,board games,board game,1,6,Mangala genre abstract strategy game. Mangala maximum number of players 2. Mangala instance of board game. Mangala based on mancala. Mangala minimum number of players 2. Mangala domain board game.
1989,inform = yes | name = Axis and Allies | genres = board wargame | instance_of = board game | country_of_origin = United States of America | publisher = Avalon Hill | developer = Larry Harris | max_players = 5 | domain = board game,inform,Axis And Allies Board Wargame Board Game United States Of America Avalon Hill Larry Harris 5,board games,board game,1,7,Axis and Allies genre board wargame. Axis and Allies instance of board game. Axis and Allies country of origin United States of America. Axis and Allies publisher Avalon Hill. Axis and Allies developer Larry Harris. Axis and Allies maximum number of players 5. Axis and Allies domain board game.
1990,inform = yes | name = Axis and Allies | genres = board wargame | instance_of = board game | publisher = Avalon Hill | publication_year = 1981 | max_players = 5 | domain = board game,inform,Axis And Allies Board Wargame Board Game Avalon Hill 1981 5,board games,board game,1,6,Axis and Allies genre board wargame. Axis and Allies instance of board game. Axis and Allies publisher Avalon Hill. Axis and Allies publication date 1981. Axis and Allies maximum number of players 5. Axis and Allies domain board game.
1991,inform = yes | name = Thurn and Taxis | genres = historical board game | max_players = 4 | instance_of = board game | developer = Karen Seyfarth | domain = board game,inform,Thurn And Taxis Historical Board Game 4 Board Game Karen Seyfarth,board games,board game,1,5,Thurn and Taxis genre historical board game. Thurn and Taxis maximum number of players 4. Thurn and Taxis instance of board game. Thurn and Taxis developer Karen Seyfarth. Thurn and Taxis domain board game.
1992,inform = yes | name = Star Realms | genres = science fiction | min_players = 2 | developer = Darwin Kastle | instance_of = board game | publication_year = 2014 | publisher = White Wizard Games | domain = board game,inform,Star Realms Science Fiction 2 Darwin Kastle Board Game 2014 White Wizard Games,board games,board game,1,7,Star Realms genre science fiction. Star Realms minimum number of players 2. Star Realms developer Darwin Kastle. Star Realms instance of board game. Star Realms publication date 2014. Star Realms publisher White Wizard Games. Star Realms domain board game.
1993,inform = yes | name = Mystery Motive for Murder | genres = mystery fiction | instance_of = board game | max_players = 5 | domain = board game,inform,Mystery Motive For Murder Mystery Fiction Board Game 5,board games,board game,1,4,Mystery Motive for Murder genre mystery fiction. Mystery Motive for Murder instance of board game. Mystery Motive for Murder maximum number of players 5. Mystery Motive for Murder domain board game.
1994,inform = yes | name = Thurn and Taxis | genres = historical board game | instance_of = board game | max_players = 4 | publisher = Hans im Glück | domain = board game,inform,Thurn And Taxis Historical Board Game Board Game 4 Hans Im Glück,board games,board game,1,5,Thurn and Taxis genre historical board game. Thurn and Taxis instance of board game. Thurn and Taxis maximum number of players 4. Thurn and Taxis publisher Hans im Glück. Thurn and Taxis domain board game.
1995,inform = yes | name = Spirit Island | genres = cooperative board game | min_players = 1 | instance_of = board game | max_players = 4 | domain = board game,inform,Spirit Island Cooperative Board Game 1 Board Game 4,board games,board game,1,5,Spirit Island genre cooperative board game. Spirit Island minimum number of players 1. Spirit Island instance of board game. Spirit Island maximum number of players 4. Spirit Island domain board game.
1996,inform = yes | name = Betrayal at House on the Hill | genres = cooperative board game | publication_year = 2004 | instance_of = board game | developer = Bruce Glassco | min_players = 3 | domain = board game,inform,Betrayal At House On The Hill Cooperative Board Game 2004 Board Game Bruce Glassco 3,board games,board game,1,6,Betrayal at House on the Hill genre cooperative board game. Betrayal at House on the Hill publication date 2004. Betrayal at House on the Hill instance of board game. Betrayal at House on the Hill developer Bruce Glassco. Betrayal at House on the Hill minimum number of players 3. Betrayal at House on the Hill domain board game.
1997,inform = yes | name = Cosmic Encounter | genres = science fiction | min_players = 3 | instance_of = board game | max_players = 8 | publication_year = 1977 | domain = board game,inform,Cosmic Encounter Science Fiction 3 Board Game 8 1977,board games,board game,1,6,Cosmic Encounter genre science fiction. Cosmic Encounter minimum number of players 3. Cosmic Encounter instance of board game. Cosmic Encounter maximum number of players 8. Cosmic Encounter publication date 1977. Cosmic Encounter domain board game.
1998,inform = yes | name = Sherlock Holmes Consulting Detective | genres = deduction game | instance_of = board game | publication_year = 1981 | game_mechanics = deductive reasoning | domain = board game,inform,Sherlock Holmes Consulting Detective Deduction Game Board Game 1981 Deductive Reasoning,board games,board game,1,5,Sherlock Holmes Consulting Detective genre deduction game. Sherlock Holmes Consulting Detective instance of board game. Sherlock Holmes Consulting Detective publication date 1981. Sherlock Holmes Consulting Detective game mechanics deductive reasoning. Sherlock Holmes Consulting Detective domain board game.
1999,inform = yes | name = Spirit Island | genres = cooperative board game | min_players = 1 | max_players = 4 | domain = board game,inform,Spirit Island Cooperative Board Game 1 4,board games,board game,1,4,Spirit Island genre cooperative board game. Spirit Island minimum number of players 1. Spirit Island maximum number of players 4. Spirit Island domain board game.
2000,inform = yes | name = Betrayal at House on the Hill | genres = horror fiction | publisher = Asmodee | developer = Bruce Glassco | instance_of = board game | publication_year = 2004 | domain = board game,inform,Betrayal At House On The Hill Horror Fiction Asmodee Bruce Glassco Board Game 2004,board games,board game,1,6,Betrayal at House on the Hill genre horror fiction. Betrayal at House on the Hill publisher Asmodee. Betrayal at House on the Hill developer Bruce Glassco. Betrayal at House on the Hill instance of board game. Betrayal at House on the Hill publication date 2004. Betrayal at House on the Hill domain board game.
2001,inform = yes | name = Dune | genres = science fiction | publisher = Avalon Hill | publication_year = 1979 | max_players = 6 | domain = board game,inform,Dune Science Fiction Avalon Hill 1979 6,board games,board game,1,5,Dune genre science fiction. Dune publisher Avalon Hill. Dune publication date 1979. Dune maximum number of players 6. Dune domain board game.
2002,inform = yes | name = Star Realms | genres = science fiction | publication_year = 2014 | min_players = 2 | domain = board game,inform,Star Realms Science Fiction 2014 2,board games,board game,1,4,Star Realms genre science fiction. Star Realms publication date 2014. Star Realms minimum number of players 2. Star Realms domain board game.
2003,inform = yes | name = Star Realms | genres = science fiction | max_players = 6 | developer = Darwin Kastle | min_players = 2 | domain = board game,inform,Star Realms Science Fiction 6 Darwin Kastle 2,board games,board game,1,5,Star Realms genre science fiction. Star Realms maximum number of players 6. Star Realms developer Darwin Kastle. Star Realms minimum number of players 2. Star Realms domain board game.
2004,inform = yes | name = Enchanted Forest | genres = fantasy | developer = Michel Matschoss | min_players = 2 | max_players = 6 | instance_of = board game | domain = board game,inform,Enchanted Forest Fantasy Michel Matschoss 2 6 Board Game,board games,board game,1,6,Enchanted Forest genre fantasy. Enchanted Forest developer Michel Matschoss. Enchanted Forest minimum number of players 2. Enchanted Forest maximum number of players 6. Enchanted Forest instance of board game. Enchanted Forest domain board game.
2005,inform = yes | name = Betrayal at House on the Hill | genres = horror fiction | publication_year = 2004 | instance_of = board game | publisher = Asmodee | max_players = 6 | domain = board game,inform,Betrayal At House On The Hill Horror Fiction 2004 Board Game Asmodee 6,board games,board game,1,6,Betrayal at House on the Hill genre horror fiction. Betrayal at House on the Hill publication date 2004. Betrayal at House on the Hill instance of board game. Betrayal at House on the Hill publisher Asmodee. Betrayal at House on the Hill maximum number of players 6. Betrayal at House on the Hill domain board game.
2006,inform = yes | name = Barbarossa | genres = fantasy | publication_year = 1988 | max_players = 6 | developer = Klaus Teuber | domain = board game,inform,Barbarossa Fantasy 1988 6 Klaus Teuber,board games,board game,1,5,Barbarossa genre fantasy. Barbarossa publication date 1988. Barbarossa maximum number of players 6. Barbarossa developer Klaus Teuber. Barbarossa domain board game.
2007,inform = yes | name = Thurn and Taxis | genres = historical board game | publication_year = 2006 | instance_of = board game | developer = Karen Seyfarth | domain = board game,inform,Thurn And Taxis Historical Board Game 2006 Board Game Karen Seyfarth,board games,board game,1,5,Thurn and Taxis genre historical board game. Thurn and Taxis publication date 2006. Thurn and Taxis instance of board game. Thurn and Taxis developer Karen Seyfarth. Thurn and Taxis domain board game.
2008,inform = yes | name = Thurn and Taxis | genres = historical board game | instance_of = board game | domain = board game,inform,Thurn And Taxis Historical Board Game Board Game,board games,board game,1,3,Thurn and Taxis genre historical board game. Thurn and Taxis instance of board game. Thurn and Taxis domain board game.
2009,inform = yes | name = Cosmic Encounter | genres = science fiction | min_players = 3 | max_players = 8 | publisher = Fantasy Flight Games | publication_year = 1977 | domain = board game,inform,Cosmic Encounter Science Fiction 3 8 Fantasy Flight Games 1977,board games,board game,1,6,Cosmic Encounter genre science fiction. Cosmic Encounter minimum number of players 3. Cosmic Encounter maximum number of players 8. Cosmic Encounter publisher Fantasy Flight Games. Cosmic Encounter publication date 1977. Cosmic Encounter domain board game.
2010,inform = yes | name = Sherlock Holmes Consulting Detective | genres = deduction game | game_mechanics = deductive reasoning | instance_of = board game | publication_year = 1981 | min_players = 1 | publisher = Space Cowboys | domain = board game,inform,Sherlock Holmes Consulting Detective Deduction Game Deductive Reasoning Board Game 1981 1 Space Cowboys,board games,board game,1,7,Sherlock Holmes Consulting Detective genre deduction game. Sherlock Holmes Consulting Detective game mechanics deductive reasoning. Sherlock Holmes Consulting Detective instance of board game. Sherlock Holmes Consulting Detective publication date 1981. Sherlock Holmes Consulting Detective minimum number of players 1. Sherlock Holmes Consulting Detective publisher Space Cowboys. Sherlock Holmes Consulting Detective domain board game.
2011,inform = yes | name = Punaisten ja valkoisten taistelu Suomessa 1918 | genres = wargame | country_of_origin = Finland | min_players = 2 | publication_year = 1918 | instance_of = board game | max_players = 2 | domain = board game,inform,Punaisten Ja Valkoisten Taistelu Suomessa 1918 Wargame Finland 2 1918 Board Game 2,board games,board game,1,7,Punaisten ja valkoisten taistelu Suomessa 1918 genre wargame. Punaisten ja valkoisten taistelu Suomessa 1918 country of origin Finland. Punaisten ja valkoisten taistelu Suomessa 1918 minimum number of players 2. Punaisten ja valkoisten taistelu Suomessa 1918 publication date 1918. Punaisten ja valkoisten taistelu Suomessa 1918 instance of board game. Punaisten ja valkoisten taistelu Suomessa 1918 maximum number of players 2. Punaisten ja valkoisten taistelu Suomessa 1918 domain board game.
2012,inform = yes | name = Chicago | genres = strategy game | instance_of = board game | max_players = 4 | domain = board game,inform,Chicago Strategy Game Board Game 4,board games,board game,1,4,Chicago genre strategy game. Chicago instance of board game. Chicago maximum number of players 4. Chicago domain board game.
