mr,mr_new,pseudo_mr,da,num_triples,num_values,n_hops
"inform(name[Ophelia], creator[John Everett Millais], genres[history painting], movements[Pre-Raphaelite Brotherhood], materials[canvas, oil paint], inception[1851], location[Tate Britain])","Ophelia  creator John Everett Millais. Ophelia  genres history painting. Ophelia  movements Pre-Raphaelite Brotherhood. Ophelia  materials canvas, oil paint. Ophelia  inception 1851. Ophelia  location Tate Britain. ","Ophelia John Everett Millais History Painting Pre-Raphaelite Brotherhood Canvas, Oil Paint 1851 Tate Britain",inform,6,8,1
"inform(name[The Garden of Earthly Delights], creator[Hieronymus Bosch], materials[panel, oil paint], inception[1490])","The Garden of Earthly Delights  creator Hieronymus Bosch. The Garden of Earthly Delights  materials panel, oil paint. The Garden of Earthly Delights  inception 1490. ","The Garden Of Earthly Delights Hieronymus Bosch Panel, Oil Paint 1490",inform,3,5,1
"inform(name[Vanitas], creator[Philippe de Champaigne], inception[1646], location[Musée de Tessé], materials[panel, oil paint])","Vanitas  creator Philippe de Champaigne. Vanitas  inception 1646. Vanitas  location Musée de Tessé. Vanitas  materials panel, oil paint. ","Vanitas Philippe De Champaigne 1646 Musée De Tessé Panel, Oil Paint",inform,4,6,1
"inform(name[Salvator Mundi], creator[Leonardo da Vinci], movements[Italian Renaissance], genres[religious art], inception[1490], location[Doughty House], materials[walnut panel, oil paint])","Salvator Mundi  creator Leonardo da Vinci. Salvator Mundi  movements Italian Renaissance. Salvator Mundi  genres religious art. Salvator Mundi  inception 1490. Salvator Mundi  location Doughty House. Salvator Mundi  materials walnut panel, oil paint. ","Salvator Mundi Leonardo Da Vinci Italian Renaissance Religious Art 1490 Doughty House Walnut Panel, Oil Paint",inform,6,8,1
"inform(name[Mona Lisa], creator[Leonardo da Vinci], location[Louvre], inception[1503])",Mona Lisa  creator Leonardo da Vinci. Mona Lisa  location Louvre. Mona Lisa  inception 1503. ,Mona Lisa Leonardo Da Vinci Louvre 1503,inform,3,4,1
"inform(name[Walk on the Beach], creator[Joaquín Sorolla], genres[genre art], location[Sorolla Museum], materials[canvas, oil paint])","Walk on the Beach  creator Joaquín Sorolla. Walk on the Beach  genres genre art. Walk on the Beach  location Sorolla Museum. Walk on the Beach  materials canvas, oil paint. ","Walk On The Beach Joaquín Sorolla Genre Art Sorolla Museum Canvas, Oil Paint",inform,4,6,1
"inform(name[Impression, Sunrise], creator[Claude Monet], location[Porto-Vecchio], movements[Impressionism], genres[marine art])","Impression, Sunrise  creator Claude Monet. Impression, Sunrise  location Porto-Vecchio. Impression, Sunrise  movements Impressionism. Impression, Sunrise  genres marine art. ","Impression, Sunrise Claude Monet Porto-Vecchio Impressionism Marine Art",inform,4,6,1
"inform(name[Supper at Emmaus], creator[Caravaggio], genres[religious art], inception[1601], materials[oil paint], movements[Baroque], location[Milan])",Supper at Emmaus  creator Caravaggio. Supper at Emmaus  genres religious art. Supper at Emmaus  inception 1601. Supper at Emmaus  materials oil paint. Supper at Emmaus  movements Baroque. Supper at Emmaus  location Milan. ,Supper At Emmaus Caravaggio Religious Art 1601 Oil Paint Baroque Milan,inform,6,7,1
"inform(name[David and Goliath], creator[Caravaggio], movements[Baroque], genres[religious art], inception[1600], location[Museo del Prado], materials[canvas, oil paint])","David and Goliath  creator Caravaggio. David and Goliath  movements Baroque. David and Goliath  genres religious art. David and Goliath  inception 1600. David and Goliath  location Museo del Prado. David and Goliath  materials canvas, oil paint. ","David And Goliath Caravaggio Baroque Religious Art 1600 Museo Del Prado Canvas, Oil Paint",inform,6,8,1
"inform(name[Virgin of the Consellers], creator[Lluís Dalmau], movements[Gothic painting], genres[religious art], inception[1445], location[Museu Nacional d'Art de Catalunya], materials[oil paint, tempera, oak panel])","Virgin of the Consellers  creator Lluís Dalmau. Virgin of the Consellers  movements Gothic painting. Virgin of the Consellers  genres religious art. Virgin of the Consellers  inception 1445. Virgin of the Consellers  location Museu Nacional dArt de Catalunya. Virgin of the Consellers  materials oil paint, tempera, oak panel. ","Virgin Of The Consellers Lluís Dalmau Gothic Painting Religious Art 1445 Museu Nacional D'Art De Catalunya Oil Paint, Tempera, Oak Panel",inform,6,9,1
"inform(name[Spoliarium], creator[Juan Luna], location[Old Legislative Building], materials[wood, oil paint])","Spoliarium  creator Juan Luna. Spoliarium  location Old Legislative Building. Spoliarium  materials wood, oil paint. ","Spoliarium Juan Luna Old Legislative Building Wood, Oil Paint",inform,3,5,1
"inform(name[The Battle of Trafalgar], creator[J. M. W. Turner], location[National Maritime Museum], inception[1823], genres[history painting])",The Battle of Trafalgar  creator J. M. W. Turner. The Battle of Trafalgar  location National Maritime Museum. The Battle of Trafalgar  inception 1823. The Battle of Trafalgar  genres history painting. ,The Battle Of Trafalgar J. M. W. Turner National Maritime Museum 1823 History Painting,inform,7,5,1
"inform(name[The Raft of the Medusa], creator[Théodore Géricault], inception[1819], movements[Romanticism])",The Raft of the Medusa  creator Théodore Géricault. The Raft of the Medusa  inception 1819. The Raft of the Medusa  movements Romanticism. ,The Raft Of The Medusa Théodore Géricault 1819 Romanticism,inform,3,4,1
"inform(name[The Starry Night], creator[Vincent van Gogh], genres[landscape art], materials[canvas, oil paint], location[Museum of Modern Art], movements[post-impressionism])","The Starry Night  creator Vincent van Gogh. The Starry Night  genres landscape art. The Starry Night  materials canvas, oil paint. The Starry Night  location Museum of Modern Art. The Starry Night  movements post-impressionism. ","The Starry Night Vincent Van Gogh Landscape Art Canvas, Oil Paint Museum Of Modern Art Post-Impressionism",inform,5,7,1
"inform(name[Sacred and Profane Love], creator[Titian], genres[allegory], materials[canvas, oil paint], movements[Venetian school, High Renaissance], inception[1514])","Sacred and Profane Love  creator Titian. Sacred and Profane Love  genres allegory. Sacred and Profane Love  materials canvas, oil paint. Sacred and Profane Love  movements Venetian school, High Renaissance. Sacred and Profane Love  inception 1514. ","Sacred And Profane Love Titian Allegory Canvas, Oil Paint Venetian School, High Renaissance 1514",inform,5,8,1
"inform(name[Seated Nude], creator[Amedeo Modigliani], genres[nude], materials[canvas, oil paint], location[Royal Museum of Fine Arts Antwerp])","Seated Nude  creator Amedeo Modigliani. Seated Nude  genres nude. Seated Nude  materials canvas, oil paint. Seated Nude  location Royal Museum of Fine Arts Antwerp. ","Seated Nude Amedeo Modigliani Nude Canvas, Oil Paint Royal Museum Of Fine Arts Antwerp",inform,4,6,1
"inform(name[Transfiguration], creator[Raphael], genres[religious art], inception[1518], location[Pinacoteca Vaticana], movements[Italian Renaissance, High Renaissance], materials[panel, oil paint])","Transfiguration  creator Raphael. Transfiguration  genres religious art. Transfiguration  inception 1518. Transfiguration  location Pinacoteca Vaticana. Transfiguration  movements Italian Renaissance, High Renaissance. Transfiguration  materials panel, oil paint. ","Transfiguration Raphael Religious Art 1518 Pinacoteca Vaticana Italian Renaissance, High Renaissance Panel, Oil Paint",inform,6,9,1
"inform(name[David and Goliath], creator[Caravaggio], genres[religious art], location[Museo del Prado], materials[canvas, oil paint])","David and Goliath  creator Caravaggio. David and Goliath  genres religious art. David and Goliath  location Museo del Prado. David and Goliath  materials canvas, oil paint. ","David And Goliath Caravaggio Religious Art Museo Del Prado Canvas, Oil Paint",inform,4,6,1
"inform(name[The Birth of Venus], creator[Sandro Botticelli], materials[canvas, tempera], location[Uffizi Gallery], genres[mythological painting, nude], movements[Renaissance, Early Renaissance])","The Birth of Venus  creator Sandro Botticelli. The Birth of Venus  materials canvas, tempera. The Birth of Venus  location Uffizi Gallery. The Birth of Venus  genres mythological painting, nude. The Birth of Venus  movements Renaissance, Early Renaissance. ","The Birth Of Venus Sandro Botticelli Canvas, Tempera Uffizi Gallery Mythological Painting, Nude Renaissance, Early Renaissance",inform,5,9,1
"inform(name[Café Terrace at Night], creator[Vincent van Gogh], location[Kröller-Müller Museum], inception[1888], genres[cityscape], materials[canvas, oil paint])","Café Terrace at Night  creator Vincent van Gogh. Café Terrace at Night  location Kröller-Müller Museum. Café Terrace at Night  inception 1888. Café Terrace at Night  genres cityscape. Café Terrace at Night  materials canvas, oil paint. ","Café Terrace At Night Vincent Van Gogh Kröller-Müller Museum 1888 Cityscape Canvas, Oil Paint",inform,5,7,1
"inform(name[The Night Watch], creator[Rembrandt], movements[Dutch Golden Age painting], materials[canvas, oil paint])","The Night Watch  creator Rembrandt. The Night Watch  movements Dutch Golden Age painting. The Night Watch  materials canvas, oil paint. ","The Night Watch Rembrandt Dutch Golden Age Painting Canvas, Oil Paint",inform,3,5,1
"inform(name[Vanitas], creator[Philippe de Champaigne], genres[still life, vanitas], inception[1646])","Vanitas  creator Philippe de Champaigne. Vanitas  genres still life, vanitas. Vanitas  inception 1646. ","Vanitas Philippe De Champaigne Still Life, Vanitas 1646",inform,3,5,1
"inform(name[Nativity at Night], creator[Geertgen tot Sint Jans], genres[religious art], materials[oak panel, oil paint])","Nativity at Night  creator Geertgen tot Sint Jans. Nativity at Night  genres religious art. Nativity at Night  materials oak panel, oil paint. ","Nativity At Night Geertgen Tot Sint Jans Religious Art Oak Panel, Oil Paint",inform,3,5,1
"inform(name[The Raft of the Medusa], creator[Théodore Géricault], inception[1819], materials[canvas, oil paint])","The Raft of the Medusa  creator Théodore Géricault. The Raft of the Medusa  inception 1819. The Raft of the Medusa  materials canvas, oil paint. ","The Raft Of The Medusa Théodore Géricault 1819 Canvas, Oil Paint",inform,3,5,1
"inform(name[The Cradle], creator[Berthe Morisot], location[Galerie nationale du Jeu de Paume], genres[genre art, portrait], movements[Impressionism], inception[1872], materials[canvas, oil paint])","The Cradle  creator Berthe Morisot. The Cradle  location Galerie nationale du Jeu de Paume. The Cradle  genres genre art, portrait. The Cradle  movements Impressionism. The Cradle  inception 1872. The Cradle  materials canvas, oil paint. ","The Cradle Berthe Morisot Galerie Nationale Du Jeu De Paume Genre Art, Portrait Impressionism 1872 Canvas, Oil Paint",inform,6,9,1
"inform(name[A Burial at Ornans], creator[Gustave Courbet], materials[canvas, oil paint], location[Musée d'Orsay])","A Burial at Ornans  creator Gustave Courbet. A Burial at Ornans  materials canvas, oil paint. A Burial at Ornans  location Musée dOrsay. ","A Burial At Ornans Gustave Courbet Canvas, Oil Paint Musée D'Orsay",inform,3,5,1
"inform(name[The Tiger Hunt], creator[Peter Paul Rubens], materials[canvas, oil paint], genres[genre art], location[Museum of Fine Arts of Rennes], inception[1617])","The Tiger Hunt  creator Peter Paul Rubens. The Tiger Hunt  materials canvas, oil paint. The Tiger Hunt  genres genre art. The Tiger Hunt  location Museum of Fine Arts of Rennes. The Tiger Hunt  inception 1617. ","The Tiger Hunt Peter Paul Rubens Canvas, Oil Paint Genre Art Museum Of Fine Arts Of Rennes 1617",inform,5,7,1
"inform(name[Liberty Leading the People], creator[Eugène Delacroix], location[Louvre], genres[history painting], inception[1830])",Liberty Leading the People  creator Eugène Delacroix. Liberty Leading the People  location Louvre. Liberty Leading the People  genres history painting. Liberty Leading the People  inception 1830. ,Liberty Leading The People Eugène Delacroix Louvre History Painting 1830,inform,4,5,1
"inform(name[The Cradle], creator[Berthe Morisot], materials[canvas, oil paint], movements[Impressionism], location[Galerie nationale du Jeu de Paume], inception[1872], genres[genre art, portrait])","The Cradle  creator Berthe Morisot. The Cradle  materials canvas, oil paint. The Cradle  movements Impressionism. The Cradle  location Galerie nationale du Jeu de Paume. The Cradle  inception 1872. The Cradle  genres genre art, portrait. ","The Cradle Berthe Morisot Canvas, Oil Paint Impressionism Galerie Nationale Du Jeu De Paume 1872 Genre Art, Portrait",inform,6,9,1
"inform(name[Ancient Rome], creator[Giovanni Paolo Panini])",Ancient Rome  creator Giovanni Paolo Panini. ,Ancient Rome Giovanni Paolo Panini,inform,1,2,1
"inform(name[Judith Beheading Holofernes], creator[Caravaggio], location[Palazzo Barberini], inception[1599], movements[Baroque])",Judith Beheading Holofernes  creator Caravaggio. Judith Beheading Holofernes  location Palazzo Barberini. Judith Beheading Holofernes  inception 1599. Judith Beheading Holofernes  movements Baroque. ,Judith Beheading Holofernes Caravaggio Palazzo Barberini 1599 Baroque,inform,4,5,1
"inform(name[View of Toledo], creator[El Greco], movements[mannerism], genres[landscape art], location[Metropolitan Museum of Art], inception[1596])",View of Toledo  creator El Greco. View of Toledo  movements mannerism. View of Toledo  genres landscape art. View of Toledo  location Metropolitan Museum of Art. View of Toledo  inception 1596. ,View Of Toledo El Greco Mannerism Landscape Art Metropolitan Museum Of Art 1596,inform,5,6,1
"inform(name[Impression, Sunrise], creator[Claude Monet], genres[marine art], movements[Impressionism], materials[canvas, oil paint])","Impression, Sunrise  creator Claude Monet. Impression, Sunrise  genres marine art. Impression, Sunrise  movements Impressionism. Impression, Sunrise  materials canvas, oil paint. ","Impression, Sunrise Claude Monet Marine Art Impressionism Canvas, Oil Paint",inform,4,7,1
"inform(name[Nativity with St. Francis and St. Lawrence], creator[Caravaggio], inception[1600], genres[religious art], location[Oratory of San Lorenzo])",Nativity with St. Francis and St. Lawrence  creator Caravaggio. Nativity with St. Francis and St. Lawrence  inception 1600. Nativity with St. Francis and St. Lawrence  genres religious art. Nativity with St. Francis and St. Lawrence  location Oratory of San Lorenzo. ,Nativity With St. Francis And St. Lawrence Caravaggio 1600 Religious Art Oratory Of San Lorenzo,inform,12,5,1
"inform(name[David and Goliath], creator[Caravaggio], materials[canvas, oil paint], location[Museo del Prado], movements[Baroque], genres[religious art], inception[1600])","David and Goliath  creator Caravaggio. David and Goliath  materials canvas, oil paint. David and Goliath  location Museo del Prado. David and Goliath  movements Baroque. David and Goliath  genres religious art. David and Goliath  inception 1600. ","David And Goliath Caravaggio Canvas, Oil Paint Museo Del Prado Baroque Religious Art 1600",inform,6,8,1
"inform(name[Water Lilies], creator[Claude Monet], inception[1919], materials[oil paint], genres[landscape art], movements[Impressionism])",Water Lilies  creator Claude Monet. Water Lilies  inception 1919. Water Lilies  materials oil paint. Water Lilies  genres landscape art. Water Lilies  movements Impressionism. ,Water Lilies Claude Monet 1919 Oil Paint Landscape Art Impressionism,inform,5,6,1
"inform(name[Portrait of Innocent X], creator[Diego Velázquez], materials[canvas, oil paint], location[Doria Pamphilj Gallery], inception[1640], movements[Baroque painting of Spain])","Portrait of Innocent X  creator Diego Velázquez. Portrait of Innocent X  materials canvas, oil paint. Portrait of Innocent X  location Doria Pamphilj Gallery. Portrait of Innocent X  inception 1640. Portrait of Innocent X  movements Baroque painting of Spain. ","Portrait Of Innocent X Diego Velázquez Canvas, Oil Paint Doria Pamphilj Gallery 1640 Baroque Painting Of Spain",inform,5,7,1
"inform(name[Liberty Leading the People], creator[Eugène Delacroix], inception[1830], location[Louvre], movements[Romanticism], genres[history painting], materials[canvas, oil paint])","Liberty Leading the People  creator Eugène Delacroix. Liberty Leading the People  inception 1830. Liberty Leading the People  location Louvre. Liberty Leading the People  movements Romanticism. Liberty Leading the People  genres history painting. Liberty Leading the People  materials canvas, oil paint. ","Liberty Leading The People Eugène Delacroix 1830 Louvre Romanticism History Painting Canvas, Oil Paint",inform,6,8,1
"inform(name[The Garden of Earthly Delights], creator[Hieronymus Bosch], inception[1490], movements[Early Netherlandish painting], location[Museo del Prado])",The Garden of Earthly Delights  creator Hieronymus Bosch. The Garden of Earthly Delights  inception 1490. The Garden of Earthly Delights  movements Early Netherlandish painting. The Garden of Earthly Delights  location Museo del Prado. ,The Garden Of Earthly Delights Hieronymus Bosch 1490 Early Netherlandish Painting Museo Del Prado,inform,4,5,1
"inform(name[Portrait of Lavinia Vecellio], creator[Titian], location[National Museum of Capodimonte], movements[Venetian school])",Portrait of Lavinia Vecellio  creator Titian. Portrait of Lavinia Vecellio  location National Museum of Capodimonte. Portrait of Lavinia Vecellio  movements Venetian school. ,Portrait Of Lavinia Vecellio Titian National Museum Of Capodimonte Venetian School,inform,3,4,1
"inform(name[Walk on the Beach], creator[Joaquín Sorolla], genres[genre art], location[Sorolla Museum])",Walk on the Beach  creator Joaquín Sorolla. Walk on the Beach  genres genre art. Walk on the Beach  location Sorolla Museum. ,Walk On The Beach Joaquín Sorolla Genre Art Sorolla Museum,inform,3,4,1
"inform(name[The Haywain Triptych], creator[Hieronymus Bosch], genres[religious art], inception[1510], location[Museo del Prado], materials[panel, oil paint])","The Haywain Triptych  creator Hieronymus Bosch. The Haywain Triptych  genres religious art. The Haywain Triptych  inception 1510. The Haywain Triptych  location Museo del Prado. The Haywain Triptych  materials panel, oil paint. ","The Haywain Triptych Hieronymus Bosch Religious Art 1510 Museo Del Prado Panel, Oil Paint",inform,5,7,1
"inform(name[Water Lilies], creator[Claude Monet], genres[landscape art], location[Metropolitan Museum of Art], movements[Impressionism])",Water Lilies  creator Claude Monet. Water Lilies  genres landscape art. Water Lilies  location Metropolitan Museum of Art. Water Lilies  movements Impressionism. ,Water Lilies Claude Monet Landscape Art Metropolitan Museum Of Art Impressionism,inform,4,5,1
"inform(name[Grande Odalisque], creator[Jean Auguste Dominique Ingres], materials[canvas, oil paint], genres[nude], location[Louvre], inception[1814])","Grande Odalisque  creator Jean Auguste Dominique Ingres. Grande Odalisque  materials canvas, oil paint. Grande Odalisque  genres nude. Grande Odalisque  location Louvre. Grande Odalisque  inception 1814. ","Grande Odalisque Jean Auguste Dominique Ingres Canvas, Oil Paint Nude Louvre 1814",inform,5,7,1
"inform(name[Lochis Madonna], creator[Titian], movements[Venetian school, High Renaissance], inception[1507], location[Accademia Carrara], materials[panel, oil paint])","Lochis Madonna  creator Titian. Lochis Madonna  movements Venetian school, High Renaissance. Lochis Madonna  inception 1507. Lochis Madonna  location Accademia Carrara. Lochis Madonna  materials panel, oil paint. ","Lochis Madonna Titian Venetian School, High Renaissance 1507 Accademia Carrara Panel, Oil Paint",inform,5,8,1
"inform(name[Cupid and Psyche], creator[François Gérard], location[Louvre], genres[mythological painting, nude], inception[1798])","Cupid and Psyche  creator François Gérard. Cupid and Psyche  location Louvre. Cupid and Psyche  genres mythological painting, nude. Cupid and Psyche  inception 1798. ","Cupid And Psyche François Gérard Louvre Mythological Painting, Nude 1798",inform,4,6,1
"inform(name[Madonna of the Rabbit], creator[Titian], genres[religious art], inception[1527])",Madonna of the Rabbit  creator Titian. Madonna of the Rabbit  genres religious art. Madonna of the Rabbit  inception 1527. ,Madonna Of The Rabbit Titian Religious Art 1527,inform,3,4,1
"inform(name[The Resurrection], creator[El Greco], location[Museo del Prado], genres[religious art], movements[mannerism])",The Resurrection  creator El Greco. The Resurrection  location Museo del Prado. The Resurrection  genres religious art. The Resurrection  movements mannerism. ,The Resurrection El Greco Museo Del Prado Religious Art Mannerism,inform,4,5,1
"inform(name[The Garden of Earthly Delights], creator[Hieronymus Bosch], materials[panel, oil paint], genres[religious art], inception[1490])","The Garden of Earthly Delights  creator Hieronymus Bosch. The Garden of Earthly Delights  materials panel, oil paint. The Garden of Earthly Delights  genres religious art. The Garden of Earthly Delights  inception 1490. ","The Garden Of Earthly Delights Hieronymus Bosch Panel, Oil Paint Religious Art 1490",inform,4,6,1
"inform(name[Grande Odalisque], creator[Jean Auguste Dominique Ingres], genres[nude], movements[neoclassicism], materials[canvas, oil paint], location[Louvre], inception[1814])","Grande Odalisque  creator Jean Auguste Dominique Ingres. Grande Odalisque  genres nude. Grande Odalisque  movements neoclassicism. Grande Odalisque  materials canvas, oil paint. Grande Odalisque  location Louvre. Grande Odalisque  inception 1814. ","Grande Odalisque Jean Auguste Dominique Ingres Nude Neoclassicism Canvas, Oil Paint Louvre 1814",inform,6,8,1
"inform(name[The Battle of Trafalgar], creator[J. M. W. Turner], location[National Maritime Museum], genres[history painting], materials[canvas, oil paint], inception[1823])","The Battle of Trafalgar  creator J. M. W. Turner. The Battle of Trafalgar  location National Maritime Museum. The Battle of Trafalgar  genres history painting. The Battle of Trafalgar  materials canvas, oil paint. The Battle of Trafalgar  inception 1823. ","The Battle Of Trafalgar J. M. W. Turner National Maritime Museum History Painting Canvas, Oil Paint 1823",inform,8,7,1
"inform(name[Judith and the Head of Holofernes], creator[Gustav Klimt], inception[1901], genres[religious art], location[Belvedere], materials[canvas, gold, oil paint])","Judith and the Head of Holofernes  creator Gustav Klimt. Judith and the Head of Holofernes  inception 1901. Judith and the Head of Holofernes  genres religious art. Judith and the Head of Holofernes  location Belvedere. Judith and the Head of Holofernes  materials canvas, gold, oil paint. ","Judith And The Head Of Holofernes Gustav Klimt 1901 Religious Art Belvedere Canvas, Gold, Oil Paint",inform,5,8,1
"inform(name[Sacred and Profane Love], creator[Titian], location[Galleria Borghese], movements[Venetian school, High Renaissance], genres[allegory], inception[1514], materials[canvas, oil paint])","Sacred and Profane Love  creator Titian. Sacred and Profane Love  location Galleria Borghese. Sacred and Profane Love  movements Venetian school, High Renaissance. Sacred and Profane Love  genres allegory. Sacred and Profane Love  inception 1514. Sacred and Profane Love  materials canvas, oil paint. ","Sacred And Profane Love Titian Galleria Borghese Venetian School, High Renaissance Allegory 1514 Canvas, Oil Paint",inform,6,9,1
"inform(name[Portrait of Madeleine], creator[Marie-Guillemine Benoist], materials[canvas, oil paint])","Portrait of Madeleine  creator Marie-Guillemine Benoist. Portrait of Madeleine  materials canvas, oil paint. ","Portrait Of Madeleine Marie-Guillemine Benoist Canvas, Oil Paint",inform,2,4,1
"inform(name[Sacred and Profane Love], creator[Titian], genres[allegory], materials[canvas, oil paint], movements[Venetian school, High Renaissance], location[Galleria Borghese])","Sacred and Profane Love  creator Titian. Sacred and Profane Love  genres allegory. Sacred and Profane Love  materials canvas, oil paint. Sacred and Profane Love  movements Venetian school, High Renaissance. Sacred and Profane Love  location Galleria Borghese. ","Sacred And Profane Love Titian Allegory Canvas, Oil Paint Venetian School, High Renaissance Galleria Borghese",inform,5,8,1
"inform(name[Arnolfini Portrait], creator[Jan van Eyck], materials[oak panel, oil paint], inception[1434], location[National Gallery], movements[Early Netherlandish painting])","Arnolfini Portrait  creator Jan van Eyck. Arnolfini Portrait  materials oak panel, oil paint. Arnolfini Portrait  inception 1434. Arnolfini Portrait  location National Gallery. Arnolfini Portrait  movements Early Netherlandish painting. ","Arnolfini Portrait Jan Van Eyck Oak Panel, Oil Paint 1434 National Gallery Early Netherlandish Painting",inform,5,7,1
"inform(name[The Resurrection], creator[El Greco], materials[canvas, oil paint], movements[mannerism], location[Museo del Prado], genres[religious art])","The Resurrection  creator El Greco. The Resurrection  materials canvas, oil paint. The Resurrection  movements mannerism. The Resurrection  location Museo del Prado. The Resurrection  genres religious art. ","The Resurrection El Greco Canvas, Oil Paint Mannerism Museo Del Prado Religious Art",inform,5,7,1
"inform(name[Vanitas], creator[Philippe de Champaigne], genres[still life, vanitas], inception[1646], location[Musée de Tessé], materials[panel, oil paint])","Vanitas  creator Philippe de Champaigne. Vanitas  genres still life, vanitas. Vanitas  inception 1646. Vanitas  location Musée de Tessé. Vanitas  materials panel, oil paint. ","Vanitas Philippe De Champaigne Still Life, Vanitas 1646 Musée De Tessé Panel, Oil Paint",inform,5,8,1
"inform(name[A Burial at Ornans], creator[Gustave Courbet], inception[1841], materials[canvas, oil paint], movements[literary realism], location[Musée d'Orsay])","A Burial at Ornans  creator Gustave Courbet. A Burial at Ornans  inception 1841. A Burial at Ornans  materials canvas, oil paint. A Burial at Ornans  movements literary realism. A Burial at Ornans  location Musée dOrsay. ","A Burial At Ornans Gustave Courbet 1841 Canvas, Oil Paint Literary Realism Musée D'Orsay",inform,5,7,1
"inform(name[Sacred and Profane Love], creator[Titian], movements[Venetian school, High Renaissance], location[Galleria Borghese])","Sacred and Profane Love  creator Titian. Sacred and Profane Love  movements Venetian school, High Renaissance. Sacred and Profane Love  location Galleria Borghese. ","Sacred And Profane Love Titian Venetian School, High Renaissance Galleria Borghese",inform,3,5,1
"inform(name[Judith Beheading Holofernes], creator[Caravaggio], location[Palazzo Barberini], inception[1599], genres[religious art], materials[canvas, oil paint])","Judith Beheading Holofernes  creator Caravaggio. Judith Beheading Holofernes  location Palazzo Barberini. Judith Beheading Holofernes  inception 1599. Judith Beheading Holofernes  genres religious art. Judith Beheading Holofernes  materials canvas, oil paint. ","Judith Beheading Holofernes Caravaggio Palazzo Barberini 1599 Religious Art Canvas, Oil Paint",inform,5,7,1
"inform(name[Guernica], creator[Pablo Picasso], materials[canvas, oil paint], inception[1937])","Guernica  creator Pablo Picasso. Guernica  materials canvas, oil paint. Guernica  inception 1937. ","Guernica Pablo Picasso Canvas, Oil Paint 1937",inform,3,5,1
"inform(name[Transfiguration], creator[Raphael], genres[religious art], inception[1518], movements[Italian Renaissance, High Renaissance], materials[panel, oil paint])","Transfiguration  creator Raphael. Transfiguration  genres religious art. Transfiguration  inception 1518. Transfiguration  movements Italian Renaissance, High Renaissance. Transfiguration  materials panel, oil paint. ","Transfiguration Raphael Religious Art 1518 Italian Renaissance, High Renaissance Panel, Oil Paint",inform,5,8,1
"inform(name[The Cradle], creator[Berthe Morisot], genres[genre art, portrait], movements[Impressionism], inception[1872], materials[canvas, oil paint], location[Galerie nationale du Jeu de Paume])","The Cradle  creator Berthe Morisot. The Cradle  genres genre art, portrait. The Cradle  movements Impressionism. The Cradle  inception 1872. The Cradle  materials canvas, oil paint. The Cradle  location Galerie nationale du Jeu de Paume. ","The Cradle Berthe Morisot Genre Art, Portrait Impressionism 1872 Canvas, Oil Paint Galerie Nationale Du Jeu De Paume",inform,6,9,1
"inform(name[Madonna of the Magnificat], creator[Sandro Botticelli], movements[Early Renaissance], location[Uffizi Gallery])",Madonna of the Magnificat  creator Sandro Botticelli. Madonna of the Magnificat  movements Early Renaissance. Madonna of the Magnificat  location Uffizi Gallery. ,Madonna Of The Magnificat Sandro Botticelli Early Renaissance Uffizi Gallery,inform,3,4,1
"inform(name[Liberty Leading the People], creator[Eugène Delacroix], inception[1830], genres[history painting], materials[canvas, oil paint])","Liberty Leading the People  creator Eugène Delacroix. Liberty Leading the People  inception 1830. Liberty Leading the People  genres history painting. Liberty Leading the People  materials canvas, oil paint. ","Liberty Leading The People Eugène Delacroix 1830 History Painting Canvas, Oil Paint",inform,4,6,1
"inform(name[Portrait of Innocent X], creator[Diego Velázquez], location[Doria Pamphilj Gallery], genres[portrait], movements[Baroque painting of Spain])",Portrait of Innocent X  creator Diego Velázquez. Portrait of Innocent X  location Doria Pamphilj Gallery. Portrait of Innocent X  genres portrait. Portrait of Innocent X  movements Baroque painting of Spain. ,Portrait Of Innocent X Diego Velázquez Doria Pamphilj Gallery Portrait Baroque Painting Of Spain,inform,4,5,1
"inform(name[Young Spartans Exercising], creator[Edgar Degas], inception[1860], materials[canvas, oil paint], location[National Gallery])","Young Spartans Exercising  creator Edgar Degas. Young Spartans Exercising  inception 1860. Young Spartans Exercising  materials canvas, oil paint. Young Spartans Exercising  location National Gallery. ","Young Spartans Exercising Edgar Degas 1860 Canvas, Oil Paint National Gallery",inform,4,6,1
"inform(name[The Night Watch], creator[Rembrandt], movements[Dutch Golden Age painting], genres[schutterstuk], location[Rijksmuseum], materials[canvas, oil paint], inception[1642])","The Night Watch  creator Rembrandt. The Night Watch  movements Dutch Golden Age painting. The Night Watch  genres schutterstuk. The Night Watch  location Rijksmuseum. The Night Watch  materials canvas, oil paint. The Night Watch  inception 1642. ","The Night Watch Rembrandt Dutch Golden Age Painting Schutterstuk Rijksmuseum Canvas, Oil Paint 1642",inform,6,8,1
"inform(name[The Swing], creator[Jean-Honoré Fragonard], location[The Wallace Collection])",The Swing  creator Jean-Honoré Fragonard. The Swing  location The Wallace Collection. ,The Swing Jean-Honoré Fragonard The Wallace Collection,inform,2,3,1
