mr,mr_new,pseudo_mr,text,da,entity,num_triples,num_hops
French Spaniel max height male 24.0. French Spaniel max height female 24.0. French Spaniel shedding average shedding. French Spaniel domain animals.,French Spaniel max height male 24.0. French Spaniel max height female 24.0. French Spaniel shedding average shedding. French Spaniel domain animals.,French Spaniel 24.0 24.0 Average Shedding," The French Spaniel has an average shedding rate, and it's maximum height for both males and females is 24.0 inches.",inform,dogs,4,1
German Spitz domain animals.,German Spitz domain animals.,German Spitz,The German Spitz is a breed of domestic animal.,inform,dogs,1,1
Boston Terrier max life expectancy 13. Boston Terrier good with other dogs very friendly to other dogs. Boston Terrier good with strangers most friendly to strangers. Boston Terrier good with children most kid-friendly. Boston Terrier shedding minimal shedding. Boston Terrier domain animals.,Boston Terrier max life expectancy 13. Boston Terrier good with other dogs very friendly to other dogs. Boston Terrier good with strangers most friendly to strangers. Boston Terrier good with children most kid-friendly. Boston Terrier shedding minimal shedding. Boston Terrier domain animals.,Boston Terrier 13 Very Friendly To Other Dogs Most Friendly To Strangers Most Kid-Friendly Minimal Shedding," The Boston Terrier has a maximum life expectancy of 13 years. It is very friendly to both other dogs and strangers, and is one of the most kid-friendly breeds, with minimal shedding.",inform,dogs,6,1
Pembroke Welsh Corgi max weight female 28.0. Pembroke Welsh Corgi good with other dogs very friendly to other dogs. Pembroke Welsh Corgi ratings good. Pembroke Welsh Corgi barking often barks. Pembroke Welsh Corgi shedding more than average shedding. Pembroke Welsh Corgi coat length short coat. Pembroke Welsh Corgi domain animals.,Pembroke Welsh Corgi max weight female 28.0. Pembroke Welsh Corgi good with other dogs very friendly to other dogs. Pembroke Welsh Corgi ratings good. Pembroke Welsh Corgi barking often barks. Pembroke Welsh Corgi shedding more than average shedding. Pembroke Welsh Corgi coat length short coat. Pembroke Welsh Corgi domain animals.,Pembroke Welsh Corgi 28.0 Very Friendly To Other Dogs Good Often Barks More Than Average Shedding Short Coat,The Pembroke Welsh Corgi is a friendly dog who is very good with other dogs. They have a short coat and more than average shedding. The maximum weight for a female is 28.0 kg and they often bark.,inform,dogs,7,1
Bluetick Coonhound ratings okay. Bluetick Coonhound barking often barks. Bluetick Coonhound good with children kid-friendly. Bluetick Coonhound good with other dogs most friendly to other dogs. Bluetick Coonhound domain animals.,Bluetick Coonhound ratings okay. Bluetick Coonhound barking often barks. Bluetick Coonhound good with children kid-friendly. Bluetick Coonhound good with other dogs most friendly to other dogs. Bluetick Coonhound domain animals.,Bluetick Coonhound Okay Often Barks Kid-Friendly Most Friendly To Other Dogs,The Bluetick Coonhound is rated as just,inform,dogs,5,1
Dachshund grooming lots of grooming. Dachshund drooling sometimes drool. Dachshund ratings good. Dachshund trainability easy trainable. Dachshund playfulness very playful. Dachshund good with children kid-friendly. Dachshund good with strangers very friendly to strangers. Dachshund domain animals.,Dachshund grooming lots of grooming. Dachshund drooling sometimes drool. Dachshund ratings good. Dachshund trainability easy trainable. Dachshund playfulness very playful. Dachshund good with children kid-friendly. Dachshund good with strangers very friendly to strangers. Dachshund domain animals.,Dachshund Lots Of Grooming Sometimes Drool Good Easy Trainable Very Playful Kid-Friendly Very Friendly To Strangers," The Dachshund is a good, easy to train pet that requires lots of grooming and sometimes drools. It is very playful and kid-friendly, and also very friendly to strangers.",inform,dogs,8,1
Swedish Vallhund max weight female 35.0. Swedish Vallhund protectiveness alert. Swedish Vallhund domain animals.,Swedish Vallhund max weight female 35.0. Swedish Vallhund protectiveness alert. Swedish Vallhund domain animals.,Swedish Vallhund 35.0 Alert," The Swedish Vallhund is an alert, protective dog breed, with the maximum weight for a female being 35.0.",inform,dogs,3,1
Borzoi max weight female 85.0. Borzoi max life expectancy 14. Borzoi good with children kid-friendly. Borzoi domain animals.,Borzoi max weight female 85.0. Borzoi max life expectancy 14. Borzoi good with children kid-friendly. Borzoi domain animals.,Borzoi 85.0 14 Kid-Friendly,The Borzoi is a kid-friendly dog that can weigh up to 85.0 pounds and has a life expectancy of 14 years.,inform,dogs,4,1
Beagle barking often barks. Beagle max weight male 20.0. Beagle shedding average shedding. Beagle ratings okay. Beagle coat length short coat. Beagle max height male 16.0. Beagle trainability trainable. Beagle domain animals.,Beagle barking often barks. Beagle max weight male 20.0. Beagle shedding average shedding. Beagle ratings okay. Beagle coat length short coat. Beagle max height male 16.0. Beagle trainability trainable. Beagle domain animals.,Beagle Often Barks 20.0 Average Shedding Okay Short Coat 16.0 Trainable," The Beagle is a trainable dog, with a short coat and an average shedding rate. It is often barking and it has an okay rating. The max weight for males is 20.0 pounds, and the max height is 16.0 inches.",inform,dogs,8,1
Flat-Coated Retriever ratings excellent. Flat-Coated Retriever barking sometimes barks. Flat-Coated Retriever shedding average shedding. Flat-Coated Retriever max life expectancy 10. Flat-Coated Retriever max weight male 70.0. Flat-Coated Retriever domain animals.,Flat-Coated Retriever ratings excellent. Flat-Coated Retriever barking sometimes barks. Flat-Coated Retriever shedding average shedding. Flat-Coated Retriever max life expectancy 10. Flat-Coated Retriever max weight male 70.0. Flat-Coated Retriever domain animals.,Flat-Coated Retriever Excellent Sometimes Barks Average Shedding 10 70.0," The Flat-Coated Retriever is rated as excellent and it sometimes barks. It sheds moderately and it's average life expectancy is 10 years, with a maximum weight for males of 70.0.",inform,dogs,6,1
Kerry Blue Terrier good with strangers friendly to strangers. Kerry Blue Terrier energy more energy. Kerry Blue Terrier max weight male 40.0. Kerry Blue Terrier max weight female 40.0. Kerry Blue Terrier max height male 19.5. Kerry Blue Terrier ratings okay. Kerry Blue Terrier playfulness playful. Kerry Blue Terrier domain animals.,Kerry Blue Terrier good with strangers friendly to strangers. Kerry Blue Terrier energy more energy. Kerry Blue Terrier max weight male 40.0. Kerry Blue Terrier max weight female 40.0. Kerry Blue Terrier max height male 19.5. Kerry Blue Terrier ratings okay. Kerry Blue Terrier playfulness playful. Kerry Blue Terrier domain animals.,Kerry Blue Terrier Friendly To Strangers More Energy 40.0 40.0 19.5 Okay Playful,The Kerry Blue Terrier is a friendly and playful breed that is great with strangers and has more energy than most. Both the male and female Kerry Blue Terriers typically reach a maximum height of 19.5 inches and a maximum weight of 40 pounds.,inform,dogs,8,1
Pharaoh Hound max weight female 55.0. Pharaoh Hound domain animals.,Pharaoh Hound max weight female 55.0. Pharaoh Hound domain animals.,Pharaoh Hound 55.0,The Pharaoh Hound has a maximum weight of 55.0 for females.,inform,dogs,2,1
Portuguese Water Dog good with other dogs very friendly to other dogs. Portuguese Water Dog domain animals.,Portuguese Water Dog good with other dogs very friendly to other dogs. Portuguese Water Dog domain animals.,Portuguese Water Dog Very Friendly To Other Dogs,The Portuguese Water Dog is friendly to other dogs and very good with them.,inform,dogs,2,1
Border Terrier barking sometimes barks. Border Terrier max weight female 14.0. Border Terrier max height male 15.0. Border Terrier ratings excellent. Border Terrier max weight male 15.5. Border Terrier good with strangers very friendly to strangers. Border Terrier coat length short coat. Border Terrier domain animals.,Border Terrier barking sometimes barks. Border Terrier max weight female 14.0. Border Terrier max height male 15.0. Border Terrier ratings excellent. Border Terrier max weight male 15.5. Border Terrier good with strangers very friendly to strangers. Border Terrier coat length short coat. Border Terrier domain animals.,Border Terrier Sometimes Barks 14.0 15.0 Excellent 15.5 Very Friendly To Strangers Short Coat," The Border Terrier is a friendly and excellent dog, with a short coat and sometimes barks. The maximum weight of a female is 14.0 and a male is 15.5. The maximum height of a female is 14.0 and a male is 15.0. It is very friendly to strangers.",inform,dogs,8,1
German Shepherd Dog max weight female 70.0. German Shepherd Dog max life expectancy 10. German Shepherd Dog shedding more than average shedding. German Shepherd Dog good with other dogs friendly to other dogs. German Shepherd Dog max weight male 90.0. German Shepherd Dog good with strangers friendly to strangers. German Shepherd Dog drooling sometimes drool. German Shepherd Dog domain animals.,German Shepherd Dog max weight female 70.0. German Shepherd Dog max life expectancy 10. German Shepherd Dog shedding more than average shedding. German Shepherd Dog good with other dogs friendly to other dogs. German Shepherd Dog max weight male 90.0. German Shepherd Dog good with strangers friendly to strangers. German Shepherd Dog drooling sometimes drool. German Shepherd Dog domain animals.,German Shepherd Dog 70.0 10 More Than Average Shedding Friendly To Other Dogs 90.0 Friendly To Strangers Sometimes Drool," The German Shepherd Dog is a friendly breed to both strangers and other dogs, with a maximum life expectancy of 10 years. It has more than average shedding and will sometimes drool. The maximum weight for males is 90.0 lbs and for females is 70.0 lbs.",inform,dogs,8,1
Irish Red and White Setter playfulness playful. Irish Red and White Setter ratings excellent. Irish Red and White Setter good with strangers most friendly to strangers. Irish Red and White Setter shedding minimal shedding. Irish Red and White Setter max life expectancy 15. Irish Red and White Setter domain animals.,Irish Red and White Setter playfulness playful. Irish Red and White Setter ratings excellent. Irish Red and White Setter good with strangers most friendly to strangers. Irish Red and White Setter shedding minimal shedding. Irish Red and White Setter max life expectancy 15. Irish Red and White Setter domain animals.,Irish Red And White Setter Playful Excellent Most Friendly To Strangers Minimal Shedding 15," The Irish Red and White Setter is an excellent, playful dog that is very friendly to strangers. It has minimal shedding and a maximum life expectancy of 15 years.",inform,dogs,6,1
Hamiltonstovare good with children most kid-friendly. Hamiltonstovare domain animals.,Hamiltonstovare good with children most kid-friendly. Hamiltonstovare domain animals.,Hamiltonstovare Most Kid-Friendly," The Hamiltonstovare is a kid-friendly dog, known for being good with children.",inform,dogs,2,1
Lagotto Romagnolo good with other dogs most friendly to other dogs. Lagotto Romagnolo max weight male 35.0. Lagotto Romagnolo max life expectancy 17. Lagotto Romagnolo shedding no shedding. Lagotto Romagnolo domain animals.,Lagotto Romagnolo good with other dogs most friendly to other dogs. Lagotto Romagnolo max weight male 35.0. Lagotto Romagnolo max life expectancy 17. Lagotto Romagnolo shedding no shedding. Lagotto Romagnolo domain animals.,Lagotto Romagnolo Most Friendly To Other Dogs 35.0 17 No Shedding," The Lagotto Romagnolo is an affectionate dog that is most friendly to other dogs. They have a maximum weight of 35.0 pounds for males, and a life expectancy of 17 years. They do not shed at all.",inform,dogs,5,1
Dandie Dinmont Terrier good with strangers very friendly to strangers. Dandie Dinmont Terrier ratings okay. Dandie Dinmont Terrier max weight female 24.0. Dandie Dinmont Terrier playfulness playful. Dandie Dinmont Terrier protectiveness mainly alert. Dandie Dinmont Terrier good with other dogs friendly to other dogs. Dandie Dinmont Terrier domain animals.,Dandie Dinmont Terrier good with strangers very friendly to strangers. Dandie Dinmont Terrier ratings okay. Dandie Dinmont Terrier max weight female 24.0. Dandie Dinmont Terrier playfulness playful. Dandie Dinmont Terrier protectiveness mainly alert. Dandie Dinmont Terrier good with other dogs friendly to other dogs. Dandie Dinmont Terrier domain animals.,Dandie Dinmont Terrier Very Friendly To Strangers Okay 24.0 Playful Mainly Alert Friendly To Other Dogs," The Dandie Dinmont Terrier is a friendly and playful dog, very friendly to strangers and other dogs. It is mainly alert in terms of protectiveness and its maximum weight for a female is 24.0.",inform,dogs,7,1
Russell Terrier energy high energy. Russell Terrier barking often barks. Russell Terrier good with children kid-friendly. Russell Terrier protectiveness mainly alert. Russell Terrier domain animals.,Russell Terrier energy high energy. Russell Terrier barking often barks. Russell Terrier good with children kid-friendly. Russell Terrier protectiveness mainly alert. Russell Terrier domain animals.,Russell Terrier High Energy Often Barks Kid-Friendly Mainly Alert," The Russell Terrier is a high energy dog that often barks, but is kid-friendly and mainly alert for protection.",inform,dogs,5,1
Bergamasco Sheepdog max life expectancy 15. Bergamasco Sheepdog playfulness playful. Bergamasco Sheepdog barking silient. Bergamasco Sheepdog max weight male 84.0. Bergamasco Sheepdog ratings alright. Bergamasco Sheepdog trainability trainable. Bergamasco Sheepdog coat length short coat. Bergamasco Sheepdog domain animals.,Bergamasco Sheepdog max life expectancy 15. Bergamasco Sheepdog playfulness playful. Bergamasco Sheepdog barking silient. Bergamasco Sheepdog max weight male 84.0. Bergamasco Sheepdog ratings alright. Bergamasco Sheepdog trainability trainable. Bergamasco Sheepdog coat length short coat. Bergamasco Sheepdog domain animals.,Bergamasco Sheepdog 15 Playful Silient 84.0 Alright Trainable Short Coat,The Bergamasco Sheepdog is a playful and trainable breed with a maximum life expectancy of fifteen years. It has a short coat and is known for its silent barking. The maximum weight for males is 84.0.,inform,dogs,8,1
Kishu Ken good with other dogs friendly to other dogs. Kishu Ken good with children kid-friendly. Kishu Ken max weight female 60.0. Kishu Ken drooling never drools. Kishu Ken barking silient. Kishu Ken max life expectancy 15. Kishu Ken domain animals.,Kishu Ken good with other dogs friendly to other dogs. Kishu Ken good with children kid-friendly. Kishu Ken max weight female 60.0. Kishu Ken drooling never drools. Kishu Ken barking silient. Kishu Ken max life expectancy 15. Kishu Ken domain animals.,Kishu Ken Friendly To Other Dogs Kid-Friendly 60.0 Never Drools Silient 15," The Kishu Ken is a friendly and kid-friendly dog breed, with a maximum life expectancy of 15 years. It typically never drools and is known for being a silient breed. Female Kishu Kens weigh up to 60 pounds.",inform,dogs,7,1
German Shepherd Dog max height male 26.0. German Shepherd Dog energy high energy. German Shepherd Dog playfulness very playful. German Shepherd Dog shedding more than average shedding. German Shepherd Dog ratings excellent. German Shepherd Dog trainability very easy to train. German Shepherd Dog max weight female 70.0. German Shepherd Dog domain animals.,German Shepherd Dog max height male 26.0. German Shepherd Dog energy high energy. German Shepherd Dog playfulness very playful. German Shepherd Dog shedding more than average shedding. German Shepherd Dog ratings excellent. German Shepherd Dog trainability very easy to train. German Shepherd Dog max weight female 70.0. German Shepherd Dog domain animals.,German Shepherd Dog 26.0 High Energy Very Playful More Than Average Shedding Excellent Very Easy To Train 70.0," The German Shepherd Dog is a high-energy, very playful breed with more than average shedding. It is rated as excellent and it is very easy to train. The maximum height for males is 26.0 and the maximum weight for females is 70.0.",inform,dogs,8,1
Giant Schnauzer coat length short coat. Giant Schnauzer protectiveness very alert. Giant Schnauzer playfulness very playful. Giant Schnauzer barking sometimes barks. Giant Schnauzer shedding average shedding. Giant Schnauzer good with other dogs friendly to other dogs. Giant Schnauzer good with strangers friendly to strangers. Giant Schnauzer domain animals.,Giant Schnauzer coat length short coat. Giant Schnauzer protectiveness very alert. Giant Schnauzer playfulness very playful. Giant Schnauzer barking sometimes barks. Giant Schnauzer shedding average shedding. Giant Schnauzer good with other dogs friendly to other dogs. Giant Schnauzer good with strangers friendly to strangers. Giant Schnauzer domain animals.,Giant Schnauzer Short Coat Very Alert Very Playful Sometimes Barks Average Shedding Friendly To Other Dogs Friendly To Strangers,The Giant Schnauzer has a short coat and is very alert and playful. It sometimes barks and sheds an average amount. It is friendly to both other dogs and strangers.,inform,dogs,8,1
Collie max height female 26.0. Collie shedding average shedding. Collie drooling sometimes drool. Collie domain animals.,Collie max height female 26.0. Collie shedding average shedding. Collie drooling sometimes drool. Collie domain animals.,Collie 26.0 Average Shedding Sometimes Drool,Collies have a max height of 26.0 inches for females. They have average shedding and sometimes drool.,inform,dogs,4,1
Danish-Swedish Farmdog good with strangers most friendly to strangers. Danish-Swedish Farmdog domain animals.,Danish-Swedish Farmdog good with strangers most friendly to strangers. Danish-Swedish Farmdog domain animals.,Danish-Swedish Farmdog Most Friendly To Strangers,The Danish-Swedish Farmdog is known to be most friendly to strangers.,inform,dogs,2,1
Mudi drooling sometimes drool. Mudi max life expectancy 14. Mudi trainability very easy to train. Mudi max weight female 29.0. Mudi energy high energy. Mudi good with strangers friendly to strangers. Mudi domain animals.,Mudi drooling sometimes drool. Mudi max life expectancy 14. Mudi trainability very easy to train. Mudi max weight female 29.0. Mudi energy high energy. Mudi good with strangers friendly to strangers. Mudi domain animals.,Mudi Sometimes Drool 14 Very Easy To Train 29.0 High Energy Friendly To Strangers,The Mudi is a high energy canine that is very easy to train and friendly to strangers. It can sometimes drool and has a maximum life expectancy of 14 years. The Female Mudi can weigh up to 29.0 kilograms.,inform,dogs,7,1
Nederlandse Kooikerhondje energy more energy. Nederlandse Kooikerhondje barking sometimes barks. Nederlandse Kooikerhondje good with strangers very friendly to strangers. Nederlandse Kooikerhondje good with children kid-friendly. Nederlandse Kooikerhondje coat length short coat. Nederlandse Kooikerhondje shedding average shedding. Nederlandse Kooikerhondje max height female 25.0. Nederlandse Kooikerhondje domain animals.,Nederlandse Kooikerhondje energy more energy. Nederlandse Kooikerhondje barking sometimes barks. Nederlandse Kooikerhondje good with strangers very friendly to strangers. Nederlandse Kooikerhondje good with children kid-friendly. Nederlandse Kooikerhondje coat length short coat. Nederlandse Kooikerhondje shedding average shedding. Nederlandse Kooikerhondje max height female 25.0. Nederlandse Kooikerhondje domain animals.,Nederlandse Kooikerhondje More Energy Sometimes Barks Very Friendly To Strangers Kid-Friendly Short Coat Average Shedding 25.0," The Nederlandse Kooikerhondje is a friendly dog with lots of energy and sometimes barks. They are very friendly to strangers, kid-friendly and has a short coat with average shedding. The female Nederlandse Kooikerhondje can reach a maximum height of 25.0 cm.",inform,dogs,8,1
Shiba Inu max life expectancy 16. Shiba Inu barking sometimes barks. Shiba Inu drooling never drools. Shiba Inu grooming lots of grooming. Shiba Inu good with strangers friendly to strangers. Shiba Inu max height male 16.5. Shiba Inu domain animals.,Shiba Inu max life expectancy 16. Shiba Inu barking sometimes barks. Shiba Inu drooling never drools. Shiba Inu grooming lots of grooming. Shiba Inu good with strangers friendly to strangers. Shiba Inu max height male 16.5. Shiba Inu domain animals.,Shiba Inu 16 Sometimes Barks Never Drools Lots Of Grooming Friendly To Strangers 16.5," The Shiba Inu is a friendly dog to strangers and can live up to 16 years. It sometimes barks, never drools, and requires lots of grooming. The maximum height for males is 16.5 inches.",inform,dogs,7,1
Ibizan Hound max height female 27.5. Ibizan Hound good with strangers friendly to strangers. Ibizan Hound grooming most grooming. Ibizan Hound domain animals.,Ibizan Hound max height female 27.5. Ibizan Hound good with strangers friendly to strangers. Ibizan Hound grooming most grooming. Ibizan Hound domain animals.,Ibizan Hound 27.5 Friendly To Strangers Most Grooming,The Ibizan Hound has a maximum height of 27.5 inches for females and is friendly to strangers. It requires a lot of grooming.,inform,dogs,4,1
Glen of Imaal Terrier barking bark occasionally. Glen of Imaal Terrier shedding minimal shedding. Glen of Imaal Terrier trainability trainable. Glen of Imaal Terrier ratings alright. Glen of Imaal Terrier energy energetic. Glen of Imaal Terrier domain animals.,Glen of Imaal Terrier barking bark occasionally. Glen of Imaal Terrier shedding minimal shedding. Glen of Imaal Terrier trainability trainable. Glen of Imaal Terrier ratings alright. Glen of Imaal Terrier energy energetic. Glen of Imaal Terrier domain animals.,Glen Of Imaal Terrier Bark Occasionally Minimal Shedding Trainable Alright Energetic," The Glen of Imaal Terrier is a trainable, energetic dog that only barks occasionally and has minimal shedding. It has an overall rating of ",inform,dogs,6,1
Japanese Terrier drooling never drools. Japanese Terrier max height female 13.0. Japanese Terrier energy energetic. Japanese Terrier domain animals.,Japanese Terrier drooling never drools. Japanese Terrier max height female 13.0. Japanese Terrier energy energetic. Japanese Terrier domain animals.,Japanese Terrier Never Drools 13.0 Energetic,The Japanese Terrier is an energetic dog that never drools and has a maximum height of 13.0 inches for females.,inform,dogs,4,1
Portuguese Pointer protectiveness alert. Portuguese Pointer shedding average shedding. Portuguese Pointer good with other dogs friendly to other dogs. Portuguese Pointer max height female 22.0. Portuguese Pointer max weight female 59.0. Portuguese Pointer energy high energy. Portuguese Pointer max weight male 59.0. Portuguese Pointer domain animals.,Portuguese Pointer protectiveness alert. Portuguese Pointer shedding average shedding. Portuguese Pointer good with other dogs friendly to other dogs. Portuguese Pointer max height female 22.0. Portuguese Pointer max weight female 59.0. Portuguese Pointer energy high energy. Portuguese Pointer max weight male 59.0. Portuguese Pointer domain animals.,Portuguese Pointer Alert Average Shedding Friendly To Other Dogs 22.0 59.0 High Energy 59.0," The Portuguese Pointer is an alert and friendly dog, with average shedding and high energy. The maximum height for females is 22.0 and the maximum weight for both males and females is 59.0.",inform,dogs,8,1
Papillon max life expectancy 16. Papillon good with strangers most friendly to strangers. Papillon max height male 11.0. Papillon good with children most kid-friendly. Papillon domain animals.,Papillon max life expectancy 16. Papillon good with strangers most friendly to strangers. Papillon max height male 11.0. Papillon good with children most kid-friendly. Papillon domain animals.,Papillon 16 Most Friendly To Strangers 11.0 Most Kid-Friendly," The Papillon is a small, friendly, and kid-friendly breed of dog, with a maximum life expectancy of 16 years and a maximum height of 11 inches for males. They are usually very friendly to strangers.",inform,dogs,5,1
Briard barking silient. Briard good with children kid-friendly. Briard max height male 27.0. Briard domain animals.,Briard barking silient. Briard good with children kid-friendly. Briard max height male 27.0. Briard domain animals.,Briard Silient Kid-Friendly 27.0,The Briard is a silient dog that is kid-friendly and has a maximum height of 27 inches for males.,inform,dogs,4,1
Russian Toy trainability easy trainable. Russian Toy coat length short coat. Russian Toy max height female 11.0. Russian Toy max height male 11.0. Russian Toy playfulness very playful. Russian Toy domain animals.,Russian Toy trainability easy trainable. Russian Toy coat length short coat. Russian Toy max height female 11.0. Russian Toy max height male 11.0. Russian Toy playfulness very playful. Russian Toy domain animals.,Russian Toy Easy Trainable Short Coat 11.0 11.0 Very Playful,The Russian Toy is a very easy to train dog with a short coat and a very playful personality. The females and males of the breed have a maximum height of 11 inches.,inform,dogs,6,1
Afghan Hound max height female 27.0. Afghan Hound good with other dogs friendly to other dogs. Afghan Hound max life expectancy 18. Afghan Hound drooling never drools. Afghan Hound domain animals.,Afghan Hound max height female 27.0. Afghan Hound good with other dogs friendly to other dogs. Afghan Hound max life expectancy 18. Afghan Hound drooling never drools. Afghan Hound domain animals.,Afghan Hound 27.0 Friendly To Other Dogs 18 Never Drools," The Afghan Hound is friendly to other dogs, never drools and typically lives for up to 18 years. They can be up to 27 inches tall for females.",inform,dogs,5,1
Havanese barking often barks. Havanese energy energetic. Havanese trainability easy trainable. Havanese good with strangers most friendly to strangers. Havanese max height female 11.5. Havanese max weight male 13.0. Havanese max life expectancy 16. Havanese domain animals.,Havanese barking often barks. Havanese energy energetic. Havanese trainability easy trainable. Havanese good with strangers most friendly to strangers. Havanese max height female 11.5. Havanese max weight male 13.0. Havanese max life expectancy 16. Havanese domain animals.,Havanese Often Barks Energetic Easy Trainable Most Friendly To Strangers 11.5 13.0 16,The Havanese is an energetic dog that often barks. It is known for being easy to train and it is most friendly to strangers. Its maximum height for a female is 11.5 inches and 13.0 for a male. Its maximum life expectancy is up to 16 years.,inform,dogs,8,1
Brittany good with other dogs very friendly to other dogs. Brittany max life expectancy 14. Brittany playfulness very playful. Brittany domain animals.,Brittany good with other dogs very friendly to other dogs. Brittany max life expectancy 14. Brittany playfulness very playful. Brittany domain animals.,Brittany Very Friendly To Other Dogs 14 Very Playful,"
The Brittany is very friendly towards other dogs, and it is very playful. It has a maximum life expectancy of 14 years.",inform,dogs,4,1
Australian Terrier max life expectancy 15. Australian Terrier max weight male 20.0. Australian Terrier ratings excellent. Australian Terrier domain animals.,Australian Terrier max life expectancy 15. Australian Terrier max weight male 20.0. Australian Terrier ratings excellent. Australian Terrier domain animals.,Australian Terrier 15 20.0 Excellent,The Australian Terrier has an excellent rating and a maximum life expectancy of 15 years. The maximum weight for males is 20.0.,inform,dogs,4,1
Caucasian Shepherd Dog max life expectancy 12. Caucasian Shepherd Dog playfulness semi playful. Caucasian Shepherd Dog good with other dogs semi friendly to other dogs. Caucasian Shepherd Dog max height male 30.0. Caucasian Shepherd Dog max weight male 170.0. Caucasian Shepherd Dog domain animals.,Caucasian Shepherd Dog max life expectancy 12. Caucasian Shepherd Dog playfulness semi playful. Caucasian Shepherd Dog good with other dogs semi friendly to other dogs. Caucasian Shepherd Dog max height male 30.0. Caucasian Shepherd Dog max weight male 170.0. Caucasian Shepherd Dog domain animals.,Caucasian Shepherd Dog 12 Semi Playful Semi Friendly To Other Dogs 30.0 170.0,The Caucasian Shepherd Dog has a life expectancy of up to twelve years and is semi playful. It is semi friendly to other dogs and can reach a maximum height of 30.0 inches and a maximum weight of 170.0 pounds.,inform,dogs,6,1
Miniature Bull Terrier trainability trainable. Miniature Bull Terrier max weight female 28.0. Miniature Bull Terrier energy more energy. Miniature Bull Terrier max weight male 28.0. Miniature Bull Terrier max life expectancy 13. Miniature Bull Terrier domain animals.,Miniature Bull Terrier trainability trainable. Miniature Bull Terrier max weight female 28.0. Miniature Bull Terrier energy more energy. Miniature Bull Terrier max weight male 28.0. Miniature Bull Terrier max life expectancy 13. Miniature Bull Terrier domain animals.,Miniature Bull Terrier Trainable 28.0 More Energy 28.0 13," The Miniature Bull Terrier is a trainable dog that can weigh up to 28 pounds for both males and females, and has a life expectancy of up to 13 years. It is known for having more energy than other breeds.",inform,dogs,6,1
Brussels Griffon ratings good. Brussels Griffon playfulness very playful. Brussels Griffon drooling never drools. Brussels Griffon energy energetic. Brussels Griffon max weight female 10.0. Brussels Griffon max height male 10.0. Brussels Griffon domain animals.,Brussels Griffon ratings good. Brussels Griffon playfulness very playful. Brussels Griffon drooling never drools. Brussels Griffon energy energetic. Brussels Griffon max weight female 10.0. Brussels Griffon max height male 10.0. Brussels Griffon domain animals.,Brussels Griffon Good Very Playful Never Drools Energetic 10.0 10.0,The Brussels Griffon is rated as a good pet and is known to be very playful and energetic. It never drools and has a maxium weight of 10.0 for females and a maximum height of 10.0 for males.,inform,dogs,7,1
Boykin Spaniel good with strangers friendly to strangers. Boykin Spaniel barking sometimes barks. Boykin Spaniel max weight female 35.0. Boykin Spaniel max life expectancy 15. Boykin Spaniel grooming average amount of grooming. Boykin Spaniel domain animals.,Boykin Spaniel good with strangers friendly to strangers. Boykin Spaniel barking sometimes barks. Boykin Spaniel max weight female 35.0. Boykin Spaniel max life expectancy 15. Boykin Spaniel grooming average amount of grooming. Boykin Spaniel domain animals.,Boykin Spaniel Friendly To Strangers Sometimes Barks 35.0 15 Average Amount Of Grooming,The Boykin Spaniel is friendly to strangers and sometimes barks. It has a maximum weight of 35 pounds for female and an average life expectancy of 15 years. It requires an average amount of grooming.,inform,dogs,6,1
English Cocker Spaniel max height female 17.0. English Cocker Spaniel coat length long coat. English Cocker Spaniel domain animals.,English Cocker Spaniel max height female 17.0. English Cocker Spaniel coat length long coat. English Cocker Spaniel domain animals.,English Cocker Spaniel 17.0 Long Coat,The English Cocker Spaniel  has a long coat and its maximum height for females is 17.0.,inform,dogs,3,1
Papillon playfulness most playful. Papillon domain animals.,Papillon playfulness most playful. Papillon domain animals.,Papillon Most Playful,The Papillon is one of the most playful animals.,inform,dogs,2,1
English Springer Spaniel good with children kid-friendly. English Springer Spaniel grooming lots of grooming. English Springer Spaniel domain animals.,English Springer Spaniel good with children kid-friendly. English Springer Spaniel grooming lots of grooming. English Springer Spaniel domain animals.,English Springer Spaniel Kid-Friendly Lots Of Grooming,The English Springer Spaniel is a kid-friendly dog that requires lots of grooming.,inform,dogs,3,1
Icelandic Sheepdog shedding average shedding. Icelandic Sheepdog max life expectancy 14. Icelandic Sheepdog domain animals.,Icelandic Sheepdog shedding average shedding. Icelandic Sheepdog max life expectancy 14. Icelandic Sheepdog domain animals.,Icelandic Sheepdog Average Shedding 14,The Icelandic Sheepdog is an average shedding dog with a maximum life expectancy of 14 years.,inform,dogs,3,1
Miniature Bull Terrier good with strangers friendly to strangers. Miniature Bull Terrier domain animals.,Miniature Bull Terrier good with strangers friendly to strangers. Miniature Bull Terrier domain animals.,Miniature Bull Terrier Friendly To Strangers,The Miniature Bull Terrier is a friendly breed  that is good with strangers.,inform,dogs,2,1
