,Unnamed: 0,index,mr_new,pseudo_mr,da,text,num_hops,num_triples,shape,LM_prob,PPL,pseudo_bleu,scores,pred,criteria
4054,4054,405,Mad Love genres electropop. Mad Love publication year 2019. Mad Love domain songs.,Mad Love Electropop 2019,inform,Mad Love is an electropop song from 2019.,1,3,(X (X) (X) (X)),0.00467762161,213.7838593,10.55267032,0.9085202,inform,match
4069,4069,406,Break My Soul genres electropop. Break My Soul record label Parkwood Entertainment. Break My Soul domain songs.,Break My Soul Electropop Parkwood Entertainment,inform,Break My Soul is an electropop song released by Parkwood Entertainment.,1,3,(X (X) (X) (X)),0.006157992691,162.3905792,15.85116569,0.90436494,inform,match
4072,4072,407,Kings of the Wild Frontier genres post-punk. Kings of the Wild Frontier rating good. Kings of the Wild Frontier domain songs.,Kings Of The Wild Frontier Post-Punk Good,inform,Kings of the Wild Frontier is a good post-punk song.,1,3,(X (X) (X) (X)),0.006714117771,148.9398956,8.295193507,0.91234446,give_opinion,all
4085,4085,408,Wild genres synth-pop. Wild performer Troye Sivan. Wild domain songs.,Wild Synth-Pop Troye Sivan,inform,Wild is a synth-pop song by Troye Sivan.,1,3,(X (X) (X) (X)),0.0159891987,62.54222107,10.55267032,0.92995477,inform,match
4091,4091,409,Space Oddity genres folk rock. Space Oddity record label Philips Records. Space Oddity domain songs.,Space Oddity Folk Rock Philips Records,inform,Space Oddity is a folk rock song released by Philips Records.,1,3,(X (X) (X) (X)),0.008138642045,122.8706207,9.578464409,0.8753135,inform,match
4108,4108,410,Mad Love genres electropop. Mad Love from album Mabel singles discography. Mad Love domain songs.,Mad Love Electropop Mabel Singles Discography,inform,Mad Love is an electropop song from Mabel's singles discography.,1,3,(X (X) (X) (X)),0.005505160836,181.6477356,7.495553473,0.92117274,give_opinion,all
4118,4118,411,"Waka Waka genres pop music. Waka Waka performer Freshlyground, Shakira. Waka Waka domain songs.","Waka Waka Pop Music Freshlyground, Shakira",inform,Waka Waka is a pop song by Freshlyground and Shakira.,1,3,(X (X) (X) (X)),0.008886747598,112.5271072,8.913765521,0.9455211,inform,match
4125,4125,412,Macarena genres dance-pop. Macarena publication year 1993. Macarena domain songs.,Macarena Dance-Pop 1993,inform,Macarena is a 1993 dance-pop song.,1,3,(X (X) (X) (X)),0.009073567392,110.2102356,7.809849842,0.9132596,inform,match
4133,4133,413,Over It genres sentimental ballad. Over It from album Katharine McPhee. Over It domain songs.,Over It Sentimental Ballad Katharine Mcphee,inform,Over It is a sentimental ballad from Katharine McPhee's album.,1,3,(X (X) (X) (X)),0.007336676498,136.3014984,8.295193507,0.9031973,give_opinion,all
4147,4147,414,Every Breath You Take genres pop rock. Every Breath You Take publication year 1983. Every Breath You Take domain songs.,Every Breath You Take Pop Rock 1983,inform,Every Breath You Take is a pop rock song from 1983.,1,3,(X (X) (X) (X)),0.009511888009,105.1315994,22.4169335,0.89930487,inform,match
4155,4155,415,Pumped Up Kicks genres pop rock. Pumped Up Kicks producer Mark Foster. Pumped Up Kicks domain songs.,Pumped Up Kicks Pop Rock Mark Foster,inform,Pumped Up Kicks is a pop rock song produced by Mark Foster.,1,3,(X (X) (X) (X)),0.007994561317,125.0850372,14.45892467,0.8921224,inform,match
4163,4163,416,Evolution genres nu metal. Evolution performer Korn. Evolution domain songs.,Evolution Nu Metal Korn,inform,Evolution is a nu metal song by Korn.,1,3,(X (X) (X) (X)),0.003056979056,327.1203308,5.669791111,0.9114496,inform,match
4177,4177,417,All or Nothing genres pop music. All or Nothing from album Girl You Know Its yes. All or Nothing domain songs.,All Or Nothing Pop Music Girl You Know Its True,inform,All or Nothing is a pop song from the album Girl You Know It's True.,1,3,(X (X) (X) (X)),0.02018296354,49.54673767,10.82597837,0.73818433,inform,match
4188,4188,418,Bitter Sweet Symphony genres alternative rock. Bitter Sweet Symphony publication year 1997. Bitter Sweet Symphony domain songs.,Bitter Sweet Symphony Alternative Rock 1997,inform,Bitter Sweet Symphony is an alternative rock song from 1997.,1,3,(X (X) (X) (X)),0.006702432199,149.1995697,14.99110695,0.93339187,inform,match
4194,4194,419,"Right Here, Right Now genres funk. Right Here, Right Now from album Déjà Vu. Right Here, Right Now domain songs.","Right Here, Right Now Funk Déjà Vu",inform," Right Here, Right Now is a funk song from Déjà Vu album.",1,3,(X (X) (X) (X)),0.01379626116,72.48340607,30.57690288,0.8307322,inform,match
4208,4208,420,Pumped Up Kicks genres pop rock. Pumped Up Kicks publication year 2010. Pumped Up Kicks domain songs.,Pumped Up Kicks Pop Rock 2010,inform,Pumped Up Kicks is a pop rock song from 2010.,1,3,(X (X) (X) (X)),0.008793543208,113.7198029,14.99110695,0.8370884,inform,match
4217,4217,421,Blurred Lines genres contemporary R&B. Blurred Lines publication year 2013. Blurred Lines domain songs.,Blurred Lines Contemporary R&B 2013,inform,Blurred Lines is a contemporary R&B song from 2013.,1,3,(X (X) (X) (X)),0.02150351172,46.50403214,16.59038701,0.84292203,inform,match
4221,4221,422,Over It genres contemporary R&B. Over It from album Katharine McPhee. Over It domain songs.,Over It Contemporary R&B Katharine Mcphee,inform,Over It is a contemporary R&B song from the album Katharine McPhee.,1,3,(X (X) (X) (X)),0.00797502499,125.3914566,12.87433051,0.861539,inform,match
4232,4232,423,Wanna Get to Know You genres hip hop music. Wanna Get to Know You rating good. Wanna Get to Know You domain songs.,Wanna Get To Know You Hip Hop Music Good,inform,Wanna Get to Know You is a good hip hop song.,1,3,(X (X) (X) (X)),0.01033582521,96.75086212,9.578464409,0.8670915,give_opinion,all
4241,4241,424,Somebody That I Used to Know genres art pop. Somebody That I Used to Know producer Gotye. Somebody That I Used to Know domain songs.,Somebody That I Used To Know Art Pop Gotye,inform,Somebody That I Used to Know is an art pop song produced by Gotye.,1,3,(X (X) (X) (X)),0.01062143309,94.14925385,18.20705281,0.8305189,inform,match
4254,4254,425,Bitter Sweet Symphony genres alternative rock. Bitter Sweet Symphony record label Hut Records. Bitter Sweet Symphony domain songs.,Bitter Sweet Symphony Alternative Rock Hut Records,inform,Bitter Sweet Symphony is an alternative rock song released by Hut Records.,1,3,(X (X) (X) (X)),0.003867925363,258.5365295,14.45892467,0.9080356,inform,match
4269,4269,426,Macarena genres music of Latin America. Macarena performer Los del Río. Macarena domain songs.,Macarena Music Of Latin America Los Del Río,inform,Macarena is a song from the music of Latin America by Los del Río.,1,3,(X (X) (X) (X)),0.01135975108,88.03009796,6.608973813,0.9392405,inform,match
4275,4275,427,Matador genres candombe. Matador producer K. C. Porter. Matador domain songs.,Matador Candombe K. C. Porter,inform,Matador is a candombe song produced by K. C. Porter.,1,3,(X (X) (X) (X)),0.002655384739,376.5932617,30.26643727,0.90908575,inform,match
4283,4283,428,For a Friend genres pop music. For a Friend publication year 1988. For a Friend domain songs.,For A Friend Pop Music 1988,inform,For a Friend is a pop song from 1988.,1,3,(X (X) (X) (X)),0.006075671855,164.5908508,5.522397784,0.86535275,inform,match
4290,4290,429,I genres hip hop music. I from album To Pimp a Butterfly. I domain songs.,I Hip Hop Music To Pimp A Butterfly,inform,I is a hip hop song from the album To Pimp a Butterfly.,1,3,(X (X) (X) (X)),0.01345577729,74.31752014,6.754312829,0.8280304,inform,match
4305,4305,430,"Money, Cash, Hoes genres East Coast hip hop. Money, Cash, Hoes record label Roc-A-Fella Records. Money, Cash, Hoes domain songs.","Money, Cash, Hoes East Coast Hip Hop Roc-A-Fella Records",inform," Money, Cash, Hoes is a East Coast hip hop song released by Roc-A-Fella Records.",1,3,(X (X) (X) (X)),0.02042489586,48.95985794,27.44348134,0.93899137,inform,match
4318,4318,431,Black Barbies genres hip hop music. Black Barbies rating excellent. Black Barbies domain songs.,Black Barbies Hip Hop Music Excellent,inform,Black Barbies is an excellent hip hop song.,1,3,(X (X) (X) (X)),0.004977445948,200.90625,9.535414041,0.9101671,give_opinion,all
4328,4328,432,I genres hip hop music. I producer Rahki. I domain songs.,I Hip Hop Music Rahki,inform,I is a hip hop song produced by Rahki.,1,3,(X (X) (X) (X)),0.002473746826,404.2450867,4.990049702,0.8483671,inform,match
4338,4338,433,Wild genres synth-pop. Wild record label Universal Music Australia. Wild domain songs.,Wild Synth-Pop Universal Music Australia,inform,Wild is a synth-pop song released by Universal Music Australia.,1,3,(X (X) (X) (X)),0.008156544013,122.6009445,14.99110695,0.91307044,inform,match
4343,4343,434,So Good genres pop rap. So Good from album Strange Clouds. So Good domain songs.,So Good Pop Rap Strange Clouds,inform,So Good is a pop rap song from the album Strange Clouds.,1,3,(X (X) (X) (X)),0.004690426551,213.2002258,8.737167852,0.7888239,inform,match
4359,4359,435,Viva la Vida genres baroque pop. Viva la Vida record label Parlophone. Viva la Vida domain songs.,Viva La Vida Baroque Pop Parlophone,inform,Viva la Vida is a baroque pop song released by Parlophone.,1,3,(X (X) (X) (X)),0.02283234716,43.79751205,4.456882761,0.93153507,inform,match
4368,4368,436,Seven Nation Army genres garage rock. Seven Nation Army producer Jack White. Seven Nation Army domain songs.,Seven Nation Army Garage Rock Jack White,inform,Seven Nation Army is a garage rock song produced by Jack White.,1,3,(X (X) (X) (X)),0.006824153104,146.5383301,14.45892467,0.90718675,inform,match
4379,4379,437,Money for Nothing genres rock music. Money for Nothing rating excellent. Money for Nothing domain songs.,Money For Nothing Rock Music Excellent,inform,Money for Nothing is an excellent rock song.,1,3,(X (X) (X) (X)),0.004337569263,230.543869,5.669791111,0.8437941,give_opinion,all
4385,4385,438,Kings of the Wild Frontier genres post-punk. Kings of the Wild Frontier performer Adam and the Ants. Kings of the Wild Frontier domain songs.,Kings Of The Wild Frontier Post-Punk Adam And The Ants,inform,Kings of the Wild Frontier is a post-punk song by Adam and the Ants.,1,3,(X (X) (X) (X)),0.01044303545,95.75759888,6.608973813,0.9410398,inform,match
4390,4390,439,Somebody That I Used to Know genres indie pop. Somebody That I Used to Know rating excellent. Somebody That I Used to Know domain songs.,Somebody That I Used To Know Indie Pop Excellent,inform,Somebody That I Used to Know is an excellent indie pop song.,1,3,(X (X) (X) (X)),0.01039822029,96.17030334,20.44800736,0.87827325,give_opinion,all
4406,4406,440,Viva la Vida genres baroque pop. Viva la Vida rating excellent. Viva la Vida domain songs.,Viva La Vida Baroque Pop Excellent,inform,Viva la Vida is an excellent baroque pop song.,1,3,(X (X) (X) (X)),0.01801500045,55.50929642,4.990049702,0.945149,give_opinion,all
4415,4415,441,Blinding Lights genres electropop. Blinding Lights rating excellent. Blinding Lights domain songs.,Blinding Lights Electropop Excellent,inform,Blinding Lights is an excellent electropop song.,1,3,(X (X) (X) (X)),0.005987418345,167.0168915,11.04479557,0.91246766,give_opinion,all
4420,4420,442,As It Was genres new wave. As It Was rating excellent. As It Was domain songs.,As It Was New Wave Excellent,inform,As It Was is an excellent new wave song.,1,3,(X (X) (X) (X)),0.002273188756,439.910675,15.61969968,0.8285793,give_opinion,all
4431,4431,443,Old Town Road genres country rap. Old Town Road from album 7. Old Town Road domain songs.,Old Town Road Country Rap 7,inform,Old Town Road is a country rap song from the album 7.,1,3,(X (X) (X) (X)),0.004732523185,211.303772,12.35622127,0.8202578,inform,match
4446,4446,444,Matador genres candombe. Matador from album Vasos vacíos. Matador domain songs.,Matador Candombe Vasos Vacíos,inform,Matador is a candombe song from album Vasos vacíos.,1,3,(X (X) (X) (X)),0.0005895440986,1696.225952,4.990049702,0.86791074,inform,match
4454,4454,445,Seven Nation Army genres garage rock. Seven Nation Army record label XL Recordings. Seven Nation Army domain songs.,Seven Nation Army Garage Rock Xl Recordings,inform,Seven Nation Army is a garage rock song released by XL Recordings.,1,3,(X (X) (X) (X)),0.006967496463,143.5235748,12.35622127,0.91190124,inform,match
4466,4466,446,Stairway to Heaven genres folk rock. Stairway to Heaven from album Led Zeppelin IV. Stairway to Heaven domain songs.,Stairway To Heaven Folk Rock Led Zeppelin Iv,inform,Stairway to Heaven is a folk rock song by Led Zeppelin IV.,1,3,(X (X) (X) (X)),0.0229911651,43.49496841,7.347053126,0.93658984,inform,match
4479,4479,447,Apple Shampoo genres pop punk. Apple Shampoo from album Dude Ranch. Apple Shampoo domain songs.,Apple Shampoo Pop Punk Dude Ranch,inform,Apple Shampoo is a pop punk song from the album Dude Ranch.,1,3,(X (X) (X) (X)),0.002234377225,447.552002,8.737167852,0.8550721,inform,match
4480,4480,448,In My Bed genres soul music. In My Bed record label Island Records. In My Bed domain songs.,In My Bed Soul Music Island Records,inform,In My Bed is a soul music song released by Island Records.,1,3,(X (X) (X) (X)),0.005046229253,198.1677704,14.45892467,0.88404155,inform,match
4495,4495,449,Habibi genres dancehall. Habibi publication year 2014. Habibi domain songs.,Habibi Dancehall 2014,inform,Habibi is a dancehall song from 2014.,1,3,(X (X) (X) (X)),0.005299597994,188.6935577,6.567274736,0.91398233,inform,match
4509,4509,450,Stargazing genres electronic dance music. Stargazing producer Kygo. Stargazing domain songs.,Stargazing Electronic Dance Music Kygo,inform,Stargazing is an electronic dance music song produced by Kygo.,1,3,(X (X) (X) (X)),0.01139313477,87.77215576,4.456882761,0.9182124,inform,match
4513,4513,451,We Are the World genres pop music. We Are the World publication year 1985. We Are the World domain songs.,We Are The World Pop Music 1985,inform,We Are the World is a 1985 pop song.,1,3,(X (X) (X) (X)),0.004293722711,232.8981323,9.980099404,0.8801213,inform,match
4526,4526,452,Style genres pop rock. Style rating excellent. Style domain songs.,Style Pop Rock Excellent,inform,Style is an excellent pop rock song.,1,3,(X (X) (X) (X)),0.002736080229,365.4863586,5.522397784,0.85749507,give_opinion,all
4535,4535,453,The Way I Are genres pop music. The Way I Are performer Bebe Rexha. The Way I Are domain songs.,The Way I Are Pop Music Bebe Rexha,inform,The Way I Are is a pop song by Bebe Rexha.,1,3,(X (X) (X) (X)),0.014557304,68.69403839,25.21193618,0.87868094,inform,match
4543,4543,454,Viva la Vida genres baroque pop. Viva la Vida publication year 2008. Viva la Vida domain songs.,Viva La Vida Baroque Pop 2008,inform,Viva la Vida is a baroque pop song from 2008.,1,3,(X (X) (X) (X)),0.02389578701,41.84838104,4.932351569,0.9414303,inform,match
4552,4552,455,Poison genres dance-pop. Poison record label Interscope Records. Poison domain songs.,Poison Dance-Pop Interscope Records,inform,Poison is a dance-pop song released by Interscope Records.,1,3,(X (X) (X) (X)),0.02631641823,37.9990921,9.287529,0.86756825,inform,match
4563,4563,456,Afterlife genres indie rock. Afterlife record label Merge Records. Afterlife domain songs.,Afterlife Indie Rock Merge Records,inform,Afterlife is an indie rock song released on Merge Records.,1,3,(X (X) (X) (X)),0.005101477651,196.021637,8.295193507,0.8891606,inform,match
4572,4572,457,In My Bed genres soul music. In My Bed publication year 2004. In My Bed domain songs.,In My Bed Soul Music 2004,inform,In My Bed is a soul music song from 2004.,1,3,(X (X) (X) (X)),0.004121064054,242.655777,14.99110695,0.89269793,inform,match
4583,4583,458,Bitter Sweet Symphony genres alternative rock. Bitter Sweet Symphony rating excellent. Bitter Sweet Symphony domain songs.,Bitter Sweet Symphony Alternative Rock Excellent,inform,Bitter Sweet Symphony is an excellent alternative rock song.,1,3,(X (X) (X) (X)),0.005095458599,196.2531891,15.61969968,0.93220234,give_opinion,all
4591,4591,459,Stargazing genres electronic dance music. Stargazing from album Stargazing. Stargazing domain songs.,Stargazing Electronic Dance Music Stargazing,inform,Stargazing is an electronic dance music song from the album Stargazing.,1,3,(X (X) (X) (X)),0.02095261906,47.72673035,4.027248192,0.9110708,inform,match
4609,4609,460,I Still... genres pop rock. I Still... producer Max Martin. I Still... domain songs.,I Still... Pop Rock Max Martin,inform,I Still... is a pop rock song produced by Max Martin.,1,3,(X (X) (X) (X)),0.004281888837,233.5417938,28.29559628,0.85926116,inform,match
4610,4610,461,Careless Whisper genres pop music. Careless Whisper from album Make It Big. Careless Whisper domain songs.,Careless Whisper Pop Music Make It Big,inform,Careless Whisper is a pop song from the album Make It Big.,1,3,(X (X) (X) (X)),0.01153006674,86.72976685,14.45892467,0.7619428,inform,match
4628,4628,462,King of Sorrow genres contemporary R&B. King of Sorrow rating excellent. King of Sorrow domain songs.,King Of Sorrow Contemporary R&B Excellent,inform,King of Sorrow is an excellent contemporary R&B song.,1,3,(X (X) (X) (X)),0.01256219062,79.6039505,14.32314508,0.9093298,give_opinion,all
4630,4630,463,Y.M.C.A. genres disco. Y.M.C.A. from album Cruisin. Y.M.C.A. domain songs.,Y.M.C.A. Disco Cruisin,inform,Y.M.C.A. is a disco song from the album Cruisin.,1,3,(X (X) (X) (X)),0.01300339778,76.90297699,42.64993772,0.83169633,inform,match
4642,4642,464,Blurred Lines genres contemporary R&B. Blurred Lines record label Universal Music Group. Blurred Lines domain songs.,Blurred Lines Contemporary R&B Universal Music Group,inform,Blurred Lines is a contemporary R&B song released by Universal Music Group.,1,3,(X (X) (X) (X)),0.03100551477,32.25232697,18.6930008,0.91086006,inform,match
4650,4650,465,Mr. Brightside genres indie rock. Mr. Brightside producer The Killers. Mr. Brightside domain songs.,Mr. Brightside Indie Rock The Killers,inform,Mr. Brightside is an indie rock song by The Killers.,1,3,(X (X) (X) (X)),0.008425357658,118.6893234,15.85116569,0.8986816,inform,match
4665,4665,466,Somebody That I Used to Know genres indie pop. Somebody That I Used to Know record label Eleven: A Music Company. Somebody That I Used to Know domain songs.,Somebody That I Used To Know Indie Pop Eleven: A Music Company,inform,Somebody That I Used to Know is an indie pop song from Eleven: A Music Company.,1,3,(X (X) (X) (X)),0.007536422612,132.6889496,34.57913759,0.9215923,inform,match
4673,4673,467,I Still... genres pop music. I Still... publication year 2005. I Still... domain songs.,I Still... Pop Music 2005,inform,I Still... is a pop song from 2005.,1,3,(X (X) (X) (X)),0.004165067227,240.0921631,33.18077403,0.80438274,inform,match
4680,4680,468,I Still... genres pop rock. I Still... performer Backstreet Boys. I Still... domain songs.,I Still... Pop Rock Backstreet Boys,inform,I Still... by Backstreet Boys is a pop rock song.,1,3,(X (X) (X) (X)),0.003357659148,297.8265381,30.57690288,0.8854467,give_opinion,all
4693,4693,469,Marilyn Monroe genres funk. Marilyn Monroe rating excellent. Marilyn Monroe domain songs.,Marilyn Monroe Funk Excellent,inform,Marilyn Monroe is an excellent funk song.,1,3,(X (X) (X) (X)),0.002233353701,447.7571106,11.04479557,0.90511966,give_opinion,all
4707,4707,470,Waka Waka genres pop music. Waka Waka publication year 2010. Waka Waka domain songs.,Waka Waka Pop Music 2010,inform,Waka Waka is a 2010 pop song.,1,3,(X (X) (X) (X)),0.008417583883,118.7989349,12.22307556,0.94570345,inform,match
4716,4716,471,So Good genres pop rap. So Good publication year 2012. So Good domain songs.,So Good Pop Rap 2012,inform,So Good is a 2012 pop rap song.,1,3,(X (X) (X) (X)),0.002581857644,387.3180237,10.55267032,0.8935288,inform,match
4723,4723,472,Money for Nothing genres rock music. Money for Nothing record label Vertigo. Money for Nothing domain songs.,Money For Nothing Rock Music Vertigo,inform,Money for Nothing is a rock song released by Vertigo.,1,3,(X (X) (X) (X)),0.005916844571,169.0090027,4.932351569,0.84288913,inform,match
4739,4739,473,Careless Whisper genres pop music. Careless Whisper performer George Michael. Careless Whisper domain songs.,Careless Whisper Pop Music George Michael,inform,Careless Whisper is a pop song by George Michael.,1,3,(X (X) (X) (X)),0.009344008833,107.0204468,11.86840522,0.90033114,inform,match
4740,4740,474,Every Breath You Take genres pop rock. Every Breath You Take record label A&M Records. Every Breath You Take domain songs.,Every Breath You Take Pop Rock A&M Records,inform,Every Breath You Take is a pop rock song released by A&M Records.,1,3,(X (X) (X) (X)),0.01695480908,58.98031616,30.62049088,0.87711346,inform,match
4751,4751,475,Mr. Brightside genres indie rock. Mr. Brightside record label Island Records. Mr. Brightside domain songs.,Mr. Brightside Indie Rock Island Records,inform,Mr. Brightside is an indie rock song released by Island Records.,1,3,(X (X) (X) (X)),0.005430885976,184.132019,14.45892467,0.8838736,inform,match
4762,4762,476,Blinding Lights genres synthwave. Blinding Lights from album The Weeknd singles discography. Blinding Lights domain songs.,Blinding Lights Synthwave The Weeknd Singles Discography,inform,Blinding Lights is a synthwave song from The Weeknd singles discography.,1,3,(X (X) (X) (X)),0.006442759411,155.2129974,9.578464409,0.9432278,give_opinion,all
4774,4774,477,Macarena genres Eurodance. Macarena publication year 1993. Macarena domain songs.,Macarena Eurodance 1993,inform,Macarena is a Eurodance song from 1993.,1,3,(X (X) (X) (X)),0.009469998834,105.5966339,7.267884212,0.91317195,inform,match
4787,4787,478,So Good genres pop rap. So Good record label Grand Hustle Records. So Good domain songs.,So Good Pop Rap Grand Hustle Records,inform,So Good is a pop rap song released by Grand Hustle Records.,1,3,(X (X) (X) (X)),0.008619605143,116.014595,14.45892467,0.8811649,inform,match
4797,4797,479,I Was Gonna Cancel genres synth-pop. I Was Gonna Cancel record label Parlophone. I Was Gonna Cancel domain songs.,I Was Gonna Cancel Synth-Pop Parlophone,inform,I Was Gonna Cancel is a synth-pop song released by Parlophone.,1,3,(X (X) (X) (X)),0.01140888382,87.65099335,22.4169335,0.8749127,inform,match
4808,4808,480,Careless Whisper genres pop music. Careless Whisper producer George Michael. Careless Whisper rating excellent. Careless Whisper domain songs.,Careless Whisper Pop Music George Michael Excellent,inform,Careless Whisper is an excellent pop song produced by George Michael.,1,4,(X (X) (X) (X) (X)),0.008909319977,112.242012,9.578464409,0.8872006,give_opinion,all
4812,4812,481,Feel Again genres pop music. Feel Again publication year 2012. Feel Again rating excellent. Feel Again domain songs.,Feel Again Pop Music 2012 Excellent,inform,Feel Again is an excellent pop song from 2012.,1,4,(X (X) (X) (X) (X)),0.003529778901,283.3038635,9.287529,0.79094577,give_opinion,all
4828,4828,482,For a Friend genres pop music. For a Friend performer The Communards. For a Friend publication year 1988. For a Friend domain songs.,For A Friend Pop Music The Communards 1988,inform,For a Friend is a 1988 pop song by The Communards.,1,4,(X (X) (X) (X) (X)),0.003843223504,260.1982422,8.516593019,0.90781224,inform,match
4831,4831,483,Stargazing genres electronic dance music. Stargazing from album Stargazing. Stargazing record label Ultra Music. Stargazing domain songs.,Stargazing Electronic Dance Music Stargazing Ultra Music,inform," Stargazing is an electronic dance music song from the album Stargazing, released by Ultra Music.",1,4,(X (X) (X) (X) (X)),0.02720574187,36.75694656,5.439330544,0.91838425,inform,match
4846,4846,484,Style genres disco. Style publication year 2015. Style from album 1989. Style domain songs.,Style Disco 2015 1989,inform,Style is a disco song from 2015 off of the album 1989.,1,4,(X (X) (X) (X) (X)),0.003514168368,284.5623474,4.065425429,0.82890576,inform,match
4850,4850,485,I genres hip hop music. I record label Aftermath Entertainment. I publication year 2014. I domain songs.,I Hip Hop Music Aftermath Entertainment 2014,inform,I is a hip hop song released by Aftermath Entertainment in 2014.,1,4,(X (X) (X) (X) (X)),0.007151217991,139.836319,7.347053126,0.85426897,inform,match
4868,4868,486,Over It genres sentimental ballad. Over It publication year 2007. Over It record label RCA Records. Over It domain songs.,Over It Sentimental Ballad 2007 Rca Records,inform,Over It is a sentimental ballad released in 2007 by RCA Records.,1,4,(X (X) (X) (X) (X)),0.008742336066,114.3859024,7.347053126,0.94254994,inform,match
4875,4875,487,Bitter Sweet Symphony genres alternative rock. Bitter Sweet Symphony from album Urban Hymns. Bitter Sweet Symphony producer Youth. Bitter Sweet Symphony domain songs.,Bitter Sweet Symphony Alternative Rock Urban Hymns Youth,inform,Bitter Sweet Symphony by Youth is an alternative rock song from the album Urban Hymns.,1,4,(X (X) (X) (X) (X)),0.00686333906,145.7016754,11.98091453,0.89737153,inform,match
4880,4880,488,Stargazing genres electronic dance music. Stargazing rating excellent. Stargazing from album Stargazing. Stargazing domain songs.,Stargazing Electronic Dance Music Excellent Stargazing,inform,Stargazing is an excellent electronic dance music song from the album Stargazing.,1,4,(X (X) (X) (X) (X)),0.01495871494,66.85066223,3.673526563,0.9158684,inform,match
4891,4891,489,Get Up! genres dubstep. Get Up! record label Roadrunner Records. Get Up! publication year 2011. Get Up! domain songs.,Get Up! Dubstep Roadrunner Records 2011,inform,Get Up! is a dubstep song released in 2011 by Roadrunner Records.,1,4,(X (X) (X) (X) (X)),0.01641819705,60.90802765,13.91231164,0.88839394,inform,match
4901,4901,490,I Was Gonna Cancel genres synth-pop. I Was Gonna Cancel publication year 2014. I Was Gonna Cancel performer Kylie Minogue. I Was Gonna Cancel domain songs.,I Was Gonna Cancel Synth-Pop 2014 Kylie Minogue,inform,I Was Gonna Cancel is a synth-pop song from 2014 by Kylie Minogue.,1,4,(X (X) (X) (X) (X)),0.01934926522,51.68154907,21.97281387,0.9337279,inform,match
4911,4911,491,"Wanna Get to Know You genres hip hop music. Wanna Get to Know You rating good. Wanna Get to Know You performer Joe, G-Unit. Wanna Get to Know You domain songs.","Wanna Get To Know You Hip Hop Music Good Joe, G-Unit",inform,Wanna Get to Know You is a good hip hop song by Joe and G-Unit.,1,4,(X (X) (X) (X) (X)),0.01019991592,98.0400238,7.655122721,0.89472157,inform,match
4922,4922,492,Wild genres synth-pop. Wild publication year 2015. Wild from album Blue Neighbourhood. Wild domain songs.,Wild Synth-Pop 2015 Blue Neighbourhood,inform," Wild is a synth-pop song from 2015, featured on the album Blue Neighbourhood.",1,4,(X (X) (X) (X) (X)),0.02186511944,45.73494339,6.250381528,0.8246518,inform,match
4933,4933,493,Careless Whisper genres pop music. Careless Whisper from album Make It Big. Careless Whisper performer George Michael. Careless Whisper domain songs.,Careless Whisper Pop Music Make It Big George Michael,inform,Careless Whisper by George Michael is a pop song from the album Make It Big.,1,4,(X (X) (X) (X) (X)),0.01053996747,94.87695313,13.38016138,0.83769166,inform,match
4948,4948,494,Wild genres synth-pop. Wild rating excellent. Wild producer Alex Hope. Wild domain songs.,Wild Synth-Pop Excellent Alex Hope,inform,Wild is an excellent synth-pop song produced by Alex Hope.,1,4,(X (X) (X) (X) (X)),0.005239555188,190.855896,8.295193507,0.8906108,give_opinion,all
4950,4950,495,Afterlife genres indie rock. Afterlife record label Merge Records. Afterlife from album Reflektor. Afterlife domain songs.,Afterlife Indie Rock Merge Records Reflektor,inform,Afterlife is an indie rock song by Merge Records off of the album Reflektor.,1,4,(X (X) (X) (X) (X)),0.01017552928,98.27498627,6.250381528,0.8769508,inform,match
4968,4968,496,Viva la Vida genres baroque pop. Viva la Vida performer Coldplay. Viva la Vida producer Rik Simpson. Viva la Vida domain songs.,Viva La Vida Baroque Pop Coldplay Rik Simpson,inform,Viva la Vida by Coldplay is a baroque pop song produced by Rik Simpson.,1,4,(X (X) (X) (X) (X)),0.01167778952,85.63264465,6.608973813,0.93821794,inform,match
4975,4975,497,Marilyn Monroe genres funk. Marilyn Monroe performer Pharrell Williams. Marilyn Monroe from album Girl. Marilyn Monroe domain songs.,Marilyn Monroe Funk Pharrell Williams Girl,inform,Marilyn Monroe by Pharrell Williams is a funk song from the album Girl.,1,4,(X (X) (X) (X) (X)),0.008816169363,113.427948,8.493098745,0.8879255,inform,match
4984,4984,498,Bitter Sweet Symphony genres alternative rock. Bitter Sweet Symphony rating excellent. Bitter Sweet Symphony publication year 1997. Bitter Sweet Symphony domain songs.,Bitter Sweet Symphony Alternative Rock Excellent 1997,inform,Bitter Sweet Symphony is an excellent alternative rock song released in 1997.,1,4,(X (X) (X) (X) (X)),0.007171659339,139.4377441,12.35622127,0.92358893,inform,match
4998,4998,499,We Are the World genres gospel music. We Are the World publication year 1985. We Are the World record label Sony Music. We Are the World domain songs.,We Are The World Gospel Music 1985 Sony Music,inform,We Are the World is a gospel music song released in 1985 by Sony Music.,1,4,(X (X) (X) (X) (X)),0.008893975348,112.4356613,7.655122721,0.9454832,inform,match
5003,5003,500,I Still... genres pop music. I Still... record label Jive Records. I Still... rating excellent. I Still... domain songs.,I Still... Pop Music Jive Records Excellent,inform,I Still... is an excellent pop song released by Jive Records.,1,4,(X (X) (X) (X) (X)),0.005239512042,190.8574677,28.29559628,0.83837277,give_opinion,all
