,Unnamed: 0,index,mr_new,pseudo_mr,da,text,,,num_hops,num_triples,shape,LM_prob,PPL,pseudo_bleu,scores,pred,criteria,da_acc
1054,1054,105,Stargazing rating excellent. Stargazing record label Ultra Music. Stargazing record label Sony Music.,Stargazing excellent Ultra Music Sony Music,verify_attribute,You love Stargazing. Do you think songs from Ultra Music and Sony Music are usually great?,16,16,2,3,(X (X) (X (X))),0.004894677718,204.3035431,6.423094863,0.86190057,verify_attribute,match_scores,1
1062,1062,106,Take My Breath Away genre synth-pop. Adam Lambert genre synth-pop. Take My Breath Away publication date 1986. Take My Breath Away record label Geffen Records. Take My Breath Away record label Columbia Records. Take My Breath Away producer Giorgio Moroder.,Take My Breath Away Adam Lambert synth-pop 1986 Geffen Records Columbia Records Giorgio Moroder,inform," Take My Breath Away, a synth-pop song by Adam Lambert, was released in 1986 on Geffen Records and Columbia Records, produced by Giorgio Moroder.",24,24,2,6,(X (X) (X) (X) (X) (X (X))),0.03943311587,25.35939598,14.1320521,0.9304669,inform,match_scores,1
1078,1078,107,Pumped Up Kicks performer Foster the People. Foster the People genre alternative rock.,Pumped Up Kicks Foster the People alternative rock,recommend,Have you heard the alternative rock song Pumped Up Kicks by Foster the People?,14,14,2,2,(X (X (X))),0.01459596996,68.51206207,18.6930008,0.8791155,recommend,match_scores_PPL,1
1082,1082,108,Afterlife genre indie rock. Fun genre indie rock. Afterlife publication date 2013. Afterlife performer Arcade Fire. Afterlife part of Reflektor. Reflektor publication date 2013.,Afterlife Fun indie rock 2013 Arcade Fire Reflektor,inform," Afterlife is an indie rock song by Arcade Fire, part of their 2013 album Reflektor. Fun is another example of Indie Rock.",22,22,2,6,(X (X) (X) (X (X)) (X (X))),0.01579193661,63.32345581,5.06619681,0.8245502,inform,match_scores,1
1095,1095,109,Matador genre candombe. LimoNada genre candombe. Matador performer Los Fabulosos Cadillacs. Matador producer K. C. Porter. Matador part of Vasos vacíos. Matador publication date 1994.,Matador LimoNada candombe Los Fabulosos Cadillacs K. C. Porter Vasos vacíos 1994,inform," Matador by Los Fabulosos Cadillacs is a 1994 candombe song produced by K. C. Porter, found on the album Vasos vacíos. LimoNada is another example of candombe.",27,27,2,6,(X (X) (X) (X) (X) (X (X))),0.003743023524,267.1636963,17.36086198,0.9076983,inform,match_scores,1
1105,1105,110,Matador genre candombe. Magic Time genre candombe. Matador producer K. C. Porter. Matador record label Sony Music. Ses plus grands succès record label Sony Music.,Matador Magic Time candombe K. C. Porter Ses plus grands succès Sony Music,inform," Matador is a candombe song produced by K. C. Porter and published by Sony Music, along with Magic Time and Ses plus grands succès.",24,24,2,5,(X (X) (X (X)) (X (X))),0.004172185409,239.6825409,25.33654946,0.89703155,inform,match_scores,1
1110,1110,111,All or Nothing genre pop music. Mandy Capristo genre pop music. All or Nothing publication date 1990. All or Nothing record label Arista Records. All or Nothing part of Girl You Know It's True. If I Were a Boy genre pop music. Mental As Anything genre pop music.,All or Nothing Mandy Capristo pop music 1990 Arista Records Girl You Know It's True If I Were a Boy Mental As Anything,inform,All or Nothing by Arista Records is a 1990 pop music single which is part of the album Girl You Know It's True. Another example of pop music is Mandy Capristo's If I Were a Boy and Mental As Anything.,40,40,2,7,(X (X) (X) (X) (X (X) (X) (X))),0.01120417435,89.25244904,24.61136704,0.8703669,inform,match_scores,1
1125,1125,112,Y.M.C.A. rating excellent. Y.M.C.A. part of Cruisin'. Y.M.C.A. publication date 1978.,Y.M.C.A. excellent Cruisin' 1978,verify_attribute,"
You love Y.M.C.A. from the Cruisin' album. Do you think all songs from 1978 are as great?",17,17,2,3,(X (X) (X (X))),0.0220569514,45.33718109,27.65933377,0.74191326,verify_attribute,match_scores,1
1139,1139,113,Dog Eat Dog genre new wave. Marian Gold genre new wave.,Dog Eat Dog Marian Gold new wave,inform,Dog Eat Dog and Marian Gold are examples of new wave music.,12,12,2,2,(X (X (X))),0.0017717537,564.4125366,16.90062199,0.8704719,inform,match,1
1148,1148,114,As It Was rating excellent. As It Was publication date 2022.,As It Was excellent 2022,give_opinion,As It Was is an excellent song from 2022 that I highly recommend.,13,13,2,2,(X (X (X))),0.004429754301,225.7461548,12.01105543,0.74569035,give_opinion,match_scores,1
1155,1155,115,Money for Nothing rating excellent. Money for Nothing part of Brothers in Arms.,Money for Nothing excellent Brothers in Arms,give_opinion,Money for Nothing is an excellent song that really stands out on the Brothers in Arms album.,17,17,2,2,(X (X (X))),0.01052553811,95.00701904,13.97353673,0.7312912,give_opinion,match_scores,1
1168,1168,116,Style genre disco. Sparks genre disco. Style genre pop rock.,Style Sparks disco pop rock,inform," ""Style"" is a disco and pop rock song. Sparks is another notable disco artist.",14,14,2,3,(X (X) (X (X))),0.007520530385,132.9693451,5.401157445,0.7948625,give_opinion,all_scores_PPL,0
1178,1178,117,Break My Soul performer Beyoncé. Beyoncé genre reggaeton. Break My Soul genre electropop. Break My Soul producer The-Dream. Break My Soul genre disco. Break My Soul genre dance-pop. Break My Soul record label Columbia Records.,Break My Soul Beyoncé reggaeton electropop The-Dream disco dance-pop Columbia Records,inform," Break My Soul by Beyoncé is a disco, reggaeton, electropop, and dance-pop track produced by The-Dream and released via Columbia Records.",21,21,2,7,(X (X) (X) (X) (X) (X) (X (X))),0.01972209677,50.70454788,8.586092131,0.9072135,inform,match_scores,1
1181,1181,118,EMI rating excellent. Anarchy in the U.K. record label EMI.,EMI Anarchy in the U.K. excellent,request_explanation,What makes Anarchy in the U.K. from EMI so excellent in your opinion?,13,13,2,2,(X (X (X))),0.009196700437,108.7346497,37.08163623,0.86761713,request_explanation,match_scores_PPL,1
1193,1193,119,Marilyn Monroe performer Pharrell Williams. Drop It Like It's Hot performer Pharrell Williams.,Marilyn Monroe Drop It Like It's Hot Pharrell Williams,recommend,Have you heard the songs Marilyn Monroe and Drop It Like It's Hot by Pharrell Williams?,16,16,2,2,(X (X (X))),0.0190131572,52.59515762,27.44348134,0.9066773,recommend,match_scores_PPL,1
1205,1205,120,Dog Eat Dog rating excellent. Dog Eat Dog producer Chris Hughes. Dog Eat Dog part of Kings of the Wild Frontier.,Dog Eat Dog excellent Chris Hughes Kings of the Wild Frontier,give_opinion," Dog Eat Dog, produced by Chris Hughes and featured on Kings of the Wild Frontier, is an excellent song.",19,19,2,3,(X (X) (X (X))),0.007017814386,142.4945068,24.33821846,0.90054643,give_opinion,match_scores,1
1211,1211,121,Mr. Brightside genre indie rock. Fun genre indie rock. Mr. Brightside publication date 2003. Mr. Brightside record label Island Records. Mr. Brightside performer The Killers. On Your Own genre indie rock.,Mr. Brightside Fun indie rock 2003 Island Records The Killers On Your Own,inform," Mr. Brightside by The Killers is an indie rock song released in 2003 by Island Records, along with Fun and On Your Own.",23,23,2,6,(X (X) (X) (X) (X (X) (X))),0.01241446891,80.55117035,12.85563136,0.8855655,inform,match_scores,1
1224,1224,122,Mad Love rating excellent. Mad Love performer Mabel. Mad Love genre electropop.,Mad Love excellent Mabel electropop,give_opinion,Mad Love by Mabel is an excellent electropop track that I highly recommend.,13,13,2,3,(X (X) (X (X))),0.007944278528,125.8767548,7.141816289,0.85555625,give_opinion,match_scores,1
1232,1232,123,Bitter Sweet Symphony performer The Verve. The Verve genre psychedelic rock. Urban Hymns tracklist Bitter Sweet Symphony. Bitter Sweet Symphony genre alternative rock. Bitter Sweet Symphony publication date 1997. Bitter Sweet Symphony record label Hut Records. Bitter Sweet Symphony producer Youth.,Bitter Sweet Symphony The Verve psychedelic rock Urban Hymns alternative rock 1997 Hut Records Youth,inform," Bitter Sweet Symphony by The Verve is an alternative rock song released in 1997 on Hut Records, produced by Youth and featured on the album Urban Hymns.",27,27,2,7,(X (X) (X) (X) (X) (X) (X (X))),0.01136947273,87.95482635,9.094793996,0.799263,inform,match_scores,1
1248,1248,124,Old Town Road genre country music. Lisa Marie Presley genre country music. Old Town Road performer Lil Nas X. Old Town Road producer Atticus Ross. Old Town Road genre Southern hip hop.,Old Town Road Lisa Marie Presley country music Lil Nas X Atticus Ross Southern hip hop,inform,Old Town Road by Lil Nas X is a country and Southern hip hop song produced by Atticus Ross and featuring Lisa Marie Presley.,24,24,2,5,(X (X) (X) (X) (X (X))),0.004907190116,203.782608,17.26893279,0.92578113,inform,match_scores,1
1257,1257,125,B.o.B rating excellent. B.o.B record label Atlantic Records.,B.o.B excellent Atlantic Records,request_explanation,What makes B.o.B's music from Atlantic Records so excellent in your opinion?,12,12,2,2,(X (X (X))),0.01038714445,96.27285004,17.69497515,0.82015556,request_explanation,match_scores,1
1260,1260,126,All or Nothing genre pop music. Rambo Amadeus genre pop music. All or Nothing record label Arista Records. All or Nothing performer Milli Vanilli. Jasmin Tabatabai genre pop music.,All or Nothing Rambo Amadeus pop music Arista Records Milli Vanilli Jasmin Tabatabai,inform," All or Nothing is a pop song released by Arista Records, performed by Milli Vanilli and Rambo Amadeus, alongside Jasmin Tabatabai.",21,21,2,5,(X (X) (X) (X (X) (X))),0.01652848166,60.50162506,10.90009698,0.9300702,inform,match_scores,1
1276,1276,127,Afterlife genre indie rock. Impossible Princess genre indie rock. Afterlife publication date 2013. Afterlife record label Merge Records. Afterlife performer Arcade Fire. Afterlife producer James Murphy.,Afterlife Impossible Princess indie rock 2013 Merge Records Arcade Fire James Murphy,inform," Afterlife by Arcade Fire is an indie rock song released in 2013 on Merge Records, produced by James Murphy. Impossible Princess is another example of indie rock.",27,27,2,6,(X (X) (X) (X) (X) (X (X))),0.009026189737,110.7887192,5.811055908,0.87238556,inform,match_scores,1
1284,1284,128,Cold Heart (Pnau remix) performer Elton John. Elton John genre pop rock. Cold Heart (Pnau remix) record label Virgin EMI Records. Cold Heart (Pnau remix) producer Pnau.,Cold Heart (Pnau remix) Elton John pop rock Virgin EMI Records Pnau,inform,Elton John's Cold Heart (Pnau remix) is a pop rock single released by Virgin EMI Records and produced by Pnau.,20,20,2,4,(X (X) (X) (X (X))),0.01266483504,78.95878601,29.27057122,0.94935596,inform,match_scores_PPL,1
1297,1297,129,The Way I Are (Dance with Somebody) genre pop music. Mandy Capristo genre pop music. The Way I Are (Dance with Somebody) producer Joel Little. The Way I Are (Dance with Somebody) publication date 2017. The Way I Are (Dance with Somebody) record label Warner Bros. Records. Rambo Amadeus genre pop music.,The Way I Are (Dance with Somebody) Mandy Capristo pop music Joel Little 2017 Warner Bros. Records Rambo Amadeus,inform," The Way I Are (Dance with Somebody) is a 2017 pop song produced by Joel Little, released by Warner Bros. Records, and performed by Mandy Capristo alongside Rambo Amadeus.",29,29,2,6,(X (X) (X) (X) (X (X) (X))),0.01584849136,63.0974884,34.84329758,0.89717966,inform,match_scores,1
1305,1305,130,Wanna Get to Know You performer G-Unit. G-Unit genre gangsta rap. Wanna Get to Know You part of Beg for Mercy. Wanna Get to Know You genre hip hop music. Wanna Get to Know You publication date 2004. Wanna Get to Know You producer Red Spyda. Get Rich or Die Tryin' performer G-Unit.,Wanna Get to Know You G-Unit gangsta rap Beg for Mercy hip hop music 2004 Red Spyda Get Rich or Die Tryin',inform," G-Unit, a gangsta rap and hip hop music group, released ""Wanna Get to Know You"" in 2004, as part of the album Beg for Mercy. Another of their works is Get Rich or Die Tryin'. The song was produced by Red Spyda.",42,42,2,7,(X (X) (X) (X) (X) (X (X) (X))),0.02780907232,35.95948792,20.54938736,0.8465717,inform,match_scores,1
1312,1312,131,i genre hip hop music. 5 O'Clock genre hip hop music. i record label Aftermath Entertainment. i publication date 2014. i producer Rahki. i performer Kendrick Lamar. The Eminem Show genre hip hop music.,i 5 O'Clock hip hop music Aftermath Entertainment 2014 Rahki Kendrick Lamar The Eminem Show,inform," i is a 2014 hip hop song by Kendrick Lamar, produced by Rahki and released by Aftermath Entertainment. The Eminem Show is another example of hip hop music.",28,28,2,7,(X (X) (X) (X) (X) (X (X) (X))),0.01378839642,72.52474976,10.08123889,0.8621312,inform,match_scores,1
1328,1328,132,Katharine McPhee rating excellent. I Fall in Love Too Easily performer Katharine McPhee.,Katharine McPhee I Fall in Love Too Easily excellent,request_explanation,What makes Katharine McPhee's performance of I Fall in Love Too Easily so excellent?,14,14,2,2,(X (X (X))),0.008250746865,121.201149,34.79159475,0.9149509,request_explanation,match_scores_PPL,1
1337,1337,133,Pumped Up Kicks genre pop rock. Kati Kovács genre pop rock. Pumped Up Kicks part of Torches. Pumped Up Kicks performer Foster the People. Pumped Up Kicks record label Startime International.,Pumped Up Kicks Kati Kovács pop rock Torches Foster the People Startime International,inform," Pumped Up Kicks by Foster the People is a pop rock song from the album Torches, released by Startime International. Kati Kovács is another popular pop rock artist.",28,28,2,5,(X (X) (X) (X) (X (X))),0.007011286249,142.627182,10.47732953,0.85963565,inform,match_scores,1
1348,1348,134,Littlest Things genre contemporary R&B. 98 Degrees genre contemporary R&B.,Littlest Things 98 Degrees contemporary R&B,inform," Littlest Things is a contemporary R&B song, as is 98 Degrees.",11,11,2,2,(X (X (X))),0.0112085127,89.21790314,22.22984955,0.89461136,give_opinion,all_scores_PPL,0
1352,1352,135,Paint It Black rating excellent. Paint It Black record label Elektra. Paint It Black part of Aftermath.,Paint It Black excellent Elektra Aftermath,verify_attribute,"
You love Paint It Black from Elektra's Aftermath. Do you usually enjoy Elektra's music?",14,14,2,3,(X (X) (X (X))),0.01279750174,78.14025116,9.782375749,0.76322997,verify_attribute,match_scores,1
1368,1368,136,Paint It Black performer The Rolling Stones. The Rolling Stones genre rock and roll. Surrender performer Paint It Black. Paint It Black producer Andrew Loog Oldham. The Rolling Stones genre country rock. The Rolling Stones genre rhythm and blues.,Paint It Black The Rolling Stones rock and roll Surrender Andrew Loog Oldham country rock rhythm and blues,inform,Paint It Black by The Rolling Stones is a rock and roll song produced by Andrew Loog Oldham. The Rolling Stones also incorporate elements of country rock and rhythm and blues.,31,31,2,6,(X (X) (X) (X (X) (X) (X))),0.01696412538,58.94792557,14.77095881,0.90038687,inform,match_scores,1
1376,1376,137,Evolution rating good. Evolution part of Untitled Korn album.,Evolution good Untitled Korn album,give_opinion,Evolution is a great song that really captures the sound of the Untitled Korn album.,15,15,2,2,(X (X (X))),0.01362980205,73.36863708,9.782375749,0.8070971,give_opinion,match_scores,1
1386,1386,138,Habibi (I Need Your Love) rating excellent. Habibi (I Need Your Love) performer Costi Ioniță.,Habibi (I Need Your Love) excellent Costi Ioniță,verify_attribute,"
You love Habibi (I Need Your Love) by Costi Ioniță. Do you think all his songs are great?",18,18,2,2,(X (X (X))),0.0112409861,88.96016693,29.10624919,0.8705136,verify_attribute,match_scores,1
1390,1390,139,"Y.M.C.A. genre disco. Shame, Shame, Shame genre disco. Sparks genre disco. ","Y.M.C.A. Shame, Shame, Shame disco Sparks",inform," Y.M.C.A., Shame, Shame, Shame and Sparks are all disco songs.",10,10,2,3,(X (X (X) (X))),0.01070460057,93.41777802,51.86653964,0.94166654,give_opinion,all_scores_PPL,0
1401,1401,140,Careless Whisper genre pop music. Maria von Trapp genre pop music.,Careless Whisper Maria von Trapp pop music,suggest," Do you like pop music, like Careless Whisper by Maria von Trapp?",12,12,2,2,(X (X (X))),0.006358095556,157.2798004,15.53712569,0.919405,suggest,match_scores_PPL,1
1413,1413,141,Que Calor producer Diplo. Diplo genre electronic music. Que Calor performer J Balvin. Que Calor performer El Alfa. Diplo record label Columbia Records.,Que Calor Diplo electronic music J Balvin El Alfa Columbia Records,inform,Que Calor is an electronic music song produced by Diplo for Columbia Records and performed by J Balvin and El Alfa.,21,21,2,5,(X (X) (X) (X (X) (X))),0.009650880829,103.617485,7.910642944,0.9148834,inform,match_scores,1
1424,1424,142,"Money, Cash, Hoes performer DMX. DMX genre hardcore hip hop. Money, Cash, Hoes part of Vol. 2... Hard Knock Life. Money, Cash, Hoes record label Roc-A-Fella Records. DMX record label Def Jam Recordings. DMX record label Cleopatra Records. ","Money, Cash, Hoes DMX hardcore hip hop Vol. 2... Hard Knock Life Roc-A-Fella Records Def Jam Recordings Cleopatra Records",inform," DMX is a hardcore hip hop artist released Money, Cash, Hoes as part of Vol. 2... Hard Knock Life, through his record labels Roc-A-Fella Records, Def Jam Recordings, and Cleopatra Records.",31,31,2,6,(X (X) (X) (X (X) (X) (X))),0.01598832981,62.54561996,36.51303419,0.9462674,inform,match_scores,1
1431,1431,143,Dog Eat Dog genre new wave. Sylvester genre new wave. Dog Eat Dog record label Sony Music. Dog Eat Dog part of Kings of the Wild Frontier. The B-52's genre new wave. Marian Gold genre new wave.,Dog Eat Dog Sylvester new wave Sony Music Kings of the Wild Frontier The B-52's Marian Gold,inform," Dog Eat Dog is a new wave song released by Sony Music and part of the album Kings of the Wild Frontier. Sylvester, The B-52's, and Marian Gold are other popular new wave artists.",34,34,2,6,(X (X) (X) (X (X) (X) (X))),0.009612719017,104.0288391,16.64545844,0.8641251,inform,match_scores,1
1448,1448,144,"Littlest Things part of Alright, Still. Alright, Still producer Mark Ronson. ","Littlest Things Alright, Still Mark Ronson",suggest," Are you familiar with Mark Ronson's work, like Littlest Things from Alright, Still?",13,13,2,2,(X (X (X))),0.008098647898,123.4774017,11.98091453,0.86146194,suggest,match_scores,1
1456,1456,145,Habibi (I Need Your Love) rating excellent. Habibi (I Need Your Love) record label Sony Music.,Habibi (I Need Your Love) excellent Sony Music,give_opinion,Habibi (I Need Your Love) from Sony Music is an excellent song that I highly recommend.,16,16,2,2,(X (X (X))),0.01399664479,71.44569397,35.02541231,0.88272834,give_opinion,match_scores,1
1463,1463,146,I Still... genre pop music. Jasmin Tabatabai genre pop music. I Still... performer Backstreet Boys. I Still... genre pop rock. I Still... producer Max Martin. Rambo Amadeus genre pop music.,I Still... Jasmin Tabatabai pop music Backstreet Boys pop rock Max Martin Rambo Amadeus,inform,I Still... by Backstreet Boys is a pop rock song produced by Max Martin. Pop music can also be heard from Jasmin Tabatabai and Rambo Amadeus.,26,26,2,6,(X (X) (X) (X) (X (X) (X))),0.008344991865,119.8323517,18.3915652,0.9187893,inform,match_scores,1
1473,1473,147,Somebody That I Used to Know performer Gotye. Gotye genre rock music. Somebody That I Used to Know record label Island Records. Somebody That I Used to Know part of Making Mirrors. Somebody That I Used to Know record label Eleven: A Music Company. Somebody That I Used to Know genre indie pop. Gotye genre alternative rock.,Somebody That I Used to Know Gotye rock music Island Records Making Mirrors Eleven: A Music Company indie pop alternative rock,inform," Gotye's ""Somebody That I Used to Know"" is a rock music, indie pop, and alternative rock song released by Island Records and Eleven: A Music Company, and featured on the album Making Mirrors.",33,33,2,7,(X (X) (X) (X) (X) (X (X) (X))),0.02045039964,48.8987999,26.17136437,0.8674563,inform,match_scores,1
1481,1481,148,Sweet Home Alabama genre rock music. The Beach Boys genre rock music. Sweet Home Alabama part of Second Helping. Sweet Home Alabama performer Lynyrd Skynyrd. Sweet Home Alabama record label MCA Records. Sweet Home Alabama publication date 1974. Courtney Love genre rock music.,Sweet Home Alabama The Beach Boys rock music Second Helping Lynyrd Skynyrd MCA Records 1974 Courtney Love,inform," Sweet Home Alabama by Lynyrd Skynyrd is a rock music released in 1974 part of Second Helping, by MCA Records. Other rock music artists include The Beach Boys and Courtney Love.",31,31,2,7,(X (X) (X) (X) (X) (X (X) (X))),0.0172337125,58.02580261,10.82796206,0.9044278,inform,match_scores,1
1499,1499,149,Poison producer RedOne. RedOne genre dance music. Killer Love tracklist Poison. Poison performer Nicole Scherzinger. RedOne record label Island Records. RedOne record label Warner Music Group.,Poison RedOne dance music Killer Love Nicole Scherzinger Island Records Warner Music Group,inform," Poison is a dance music song produced by RedOne, released by Island Records and Warner Music Group and performed by Nicole Scherzinger, featured on Killer Love.",26,26,2,6,(X (X) (X) (X (X) (X) (X))),0.01269634255,78.76284027,9.094793996,0.8957953,inform,match_scores,1
1503,1503,150,Blinding Lights genre electropop. Martin Rolinski genre electropop. Blinding Lights producer Max Martin. Max Martin genre rock music.,Blinding Lights Martin Rolinski electropop Max Martin rock music,inform," Blinding Lights is an electropop song by Martin Rolinski, produced by Max Martin, who is known for his rock music.",20,20,2,4,(X (X (X)) (X (X))),0.02066803716,48.38388824,6.783489805,0.9038153,inform,match_scores,1
1516,1516,151,Paint It Black rating excellent. Surrender performer Paint It Black.,Paint It Black Surrender excellent,verify_attribute,You love Paint It Black's version of Surrender. Are all of Paint It Black's performances equally great?,17,17,2,2,(X (X (X))),0.009467755154,105.6216583,4.48083616,0.75507915,verify_attribute,match_scores,1
1523,1523,152,B.o.B rating excellent. Airplanes performer B.o.B.,B.o.B Airplanes excellent,request_explanation,What is it about B.o.B's Airplanes that makes it so excellent?,11,11,2,2,(X (X (X))),0.0266718923,37.49265289,16.94357182,0.8202933,request_explanation,match_scores,1
1531,1531,153,All or Nothing genre pop music. If I Were a Boy genre pop music. All or Nothing record label Arista Records. All or Nothing producer Frank Farian. All or Nothing part of Girl You Know It's True. All or Nothing publication date 1990. Mandy Capristo genre pop music.,All or Nothing If I Were a Boy pop music Arista Records Frank Farian Girl You Know It's True 1990 Mandy Capristo,inform," All or Nothing is a 1990 pop song released by Arista Records and produced by Frank Farian, as part of the album Girl You Know It's True. Another example of pop music is If I Were a Boy by Mandy Capristo.",41,41,2,7,(X (X) (X) (X) (X) (X (X) (X))),0.01735642518,57.61555099,22.68237975,0.8640768,inform,match_scores,1
1542,1542,154,Blinding Lights producer Max Martin. Max Martin record label Jive Records.,Blinding Lights Max Martin Jive Records,recommend," Have you heard of Blinding Lights by Max Martin, who is under Jive Records?",14,14,2,2,(X (X (X))),0.00614375041,162.7670288,8.471785908,0.86884296,recommend,match_scores_PPL,1
1559,1559,155,The Way I Are (Dance with Somebody) genre pop music. Rambo Amadeus genre pop music.,The Way I Are (Dance with Somebody) Rambo Amadeus pop music,recommend," Have you heard of The Way I Are (Dance with Somebody), a pop music? Another popular pop music artist you might like is Rambo Amadeus.",25,25,2,2,(X (X (X))),0.01162115214,86.04998779,30.18477192,0.7867605,recommend,match_scores,1
1561,1561,156,The Way I Are (Dance with Somebody) genre pop music. Mental As Anything genre pop music. The Way I Are (Dance with Somebody) producer Joel Little.,The Way I Are (Dance with Somebody) Mental As Anything pop music Joel Little,inform," The Way I Are (Dance with Somebody) is a pop music song produced by Joel Little, by Mental As Anything.",20,20,2,3,(X (X) (X (X))),0.005528803161,180.8709717,43.60038791,0.88860995,inform,match_scores,1
1570,1570,157,"Right Here, Right Now genre disco. Sparks genre disco. Right Here, Right Now record label RCA Records, Inc.. Right Here, Right Now producer Giorgio Moroder. Right Here, Right Now part of Déjà Vu. Shame, Shame, Shame genre disco. Discovery genre disco. ","Right Here, Right Now Sparks disco RCA Records, Inc. Giorgio Moroder Déjà Vu Shame, Shame, Shame Discovery",inform," Right Here, Right Now is a disco song produced by Giorgio Moroder, released on the album Déjà Vu by RCA Records, Inc. Other notable disco songs include Sparks' Shame, Shame, Shame and Giorgio Moroder's Discovery.",35,35,2,7,(X (X) (X) (X) (X (X) (X) (X))),0.03269712693,30.58372688,27.72655015,0.89352685,inform,match_scores,1
1583,1583,158,Sweet Home Alabama genre rock music. Peter Gabriel genre rock music. Second Helping tracklist Sweet Home Alabama. Sweet Home Alabama performer Lynyrd Skynyrd. Sweet Home Alabama record label MCA Records. Sweet Home Alabama producer Al Kooper.,Sweet Home Alabama Peter Gabriel rock music Second Helping Lynyrd Skynyrd MCA Records Al Kooper,inform," Sweet Home Alabama by Lynyrd Skynyrd is a rock music song produced by Al Kooper and released by MCA Records, included in Peter Gabriel's Second Helping.",26,26,2,6,(X (X) (X) (X) (X) (X (X))),0.0147592235,67.75424194,9.992869871,0.9297231,inform,match_scores,1
1598,1598,159,As It Was genre synth-pop. Adam Lambert genre synth-pop. As It Was record label Columbia Records. MIA. record label Columbia Records.,As It Was Adam Lambert synth-pop MIA. Columbia Records,inform," As It Was is a synth-pop song by Adam Lambert released by Columbia Records, as well as MIA.",18,18,2,4,(X (X (X)) (X (X))),0.00853429233,117.1743317,12.10901303,0.90175587,inform,match_scores,1
1604,1604,160,Wild performer Troye Sivan. You performer Troye Sivan.,Wild You Troye Sivan,recommend,Have you heard the songs Wild and You by Troye Sivan?,11,11,2,2,(X (X (X))),0.009437569204,105.9594879,8.054496385,0.830711,recommend,match_scores,1
1611,1611,161,Careless Whisper genre pop music. Lieutenant Pigeon genre pop music. Mental As Anything genre pop music.,Careless Whisper Lieutenant Pigeon pop music Mental As Anything,inform," Careless Whisper, Lieutenant Pigeon and Mental As Anything are all pop music.",12,12,2,3,(X (X (X) (X))),0.001700033702,588.2236328,17.49380575,0.9426763,give_opinion,all_scores_PPL,0
1627,1627,162,Stargazing record label Sony Music. Fools Garden record label Sony Music.,Stargazing Fools Garden Sony Music,suggest," Do you like the music of Sony Music, like Fools Garden's Stargazing?",12,12,2,2,(X (X (X))),0.005388229429,185.5897217,6.754312829,0.9004976,suggest,match_scores,1
1637,1637,163,Pumped Up Kicks rating excellent. Pumped Up Kicks record label Startime International. Lewis Del Mar record label Startime International.,Pumped Up Kicks excellent Startime International Lewis Del Mar,verify_attribute,"
I know you love Pumped Up Kicks. Is Lewis Del Mar's music from Startime International equally great in your opinion?",20,20,2,3,(X (X (X) (X))),0.004548704089,219.8428345,9.449865253,0.8473832,verify_attribute,match_scores_PPL,1
1644,1644,164,Pumped Up Kicks genre pop rock. Aretha Franklin genre pop rock. Pumped Up Kicks performer Foster the People. Pumped Up Kicks publication date 2010. Pumped Up Kicks record label Columbia Records. Kati Kovács genre pop rock.,Pumped Up Kicks Aretha Franklin pop rock Foster the People 2010 Columbia Records Kati Kovács,inform,Foster the People's 2010 pop rock single Pumped Up Kicks was released by Columbia Records. Other pop rock artists include Aretha Franklin and Kati Kovács.,25,25,2,6,(X (X) (X) (X) (X (X) (X))),0.00997367559,100.2639389,10.38548851,0.8963893,inform,match_scores,1
1659,1659,165,I Still... genre pop music. Maria von Trapp genre pop music. I Still... producer Max Martin. I Still... record label Jive Records. I Still... part of Never Gone. I Still... genre pop rock. I Still... publication date 2005.,I Still... Maria von Trapp pop music Max Martin Jive Records Never Gone pop rock 2005,inform," I Still... is a pop rock song by Max Martin, released in 2005 as part of Jive Records' album Never Gone. Maria von Trapp is another pop music artist.",29,29,2,7,(X (X) (X) (X) (X) (X) (X (X))),0.01152234419,86.7878952,22.04887282,0.88694006,inform,match_scores,1
1669,1669,166,Stargazing rating excellent. Stargazing genre electronic dance music. Stargazing record label Sony Music.,Stargazing excellent electronic dance music Sony Music,give_opinion,Stargazing by Sony Music is an excellent electronic dance music track that I highly recommend.,15,15,2,3,(X (X) (X (X))),0.01077003286,92.85022736,18.92240569,0.90758705,give_opinion,match_scores,1
1677,1677,167,Cold Heart (Pnau remix) performer Elton John. Elton John genre rock music. Cold Heart (Pnau remix) record label Virgin EMI Records. Cold Heart (Pnau remix) performer Dua Lipa. Cold Heart (Pnau remix) publication date 2021. Cold Heart (Pnau remix) genre disco. Cold Heart (Pnau remix) record label Mercury Records.,Cold Heart (Pnau remix) Elton John rock music Virgin EMI Records Dua Lipa 2021 disco Mercury Records,inform," Cold Heart (Pnau remix) is a 2021 disco collaboration between Elton John, a rock music artist, and Dua Lipa, released by Virgin EMI Records and Mercury Records.",27,27,2,7,(X (X) (X) (X) (X) (X) (X (X))),0.0109584579,91.25371552,24.29236567,0.92835,inform,match_scores,1
1686,1686,168,Somebody That I Used to Know record label Island Records. Island Records genre heavy metal. Somebody That I Used to Know part of Making Mirrors. Somebody That I Used to Know record label Universal Music Group. Somebody That I Used to Know performer Gotye. Somebody That I Used to Know genre art pop.,Somebody That I Used to Know Island Records heavy metal Making Mirrors Universal Music Group Gotye art pop,inform," Gotye's Somebody That I Used to Know is an art pop track released by Island Records and Universal Music Group as part of the album Making Mirrors, despite Island Records being a heavy metal label.",35,35,2,6,(X (X) (X) (X) (X) (X (X))),0.01266019143,78.98774719,20.51022477,0.83592165,inform,match_scores,1
