,Unnamed: 0,index,mr_new,da,text,num_hops,num_triples,shape,pseudo_mr,pred,probs,LM_prob,PPL,pseudo_bleu,scores,criteria,
9181,9181,918,Ms. Marvel rating good. Ms. Marvel cast member Farhan Akhtar. Talaash: The Answer Lies Within producer Farhan Akhtar. Ms. Marvel domain tv.,give_opinion," I think Ms. Marvel is a good show with a great cast member like Farhan Akhtar, who also produced Talaash: The Answer Lies Within.",3,3,(X (X (X (X))),Ms. Marvel good Ms. Marvel Farhan Akhtar Talaash: The Answer Lies Within,give_opinion,0.9899753,0.007132450418,140.2042694,23.73681044,0.8493464,match_scores,
9196,9196,919,Ms. Marvel rating good. Ms. Marvel cast member Farhan Akhtar. Luck by Chance cast member Farhan Akhtar. Ms. Marvel domain tv.,give_opinion," Ms. Marvel is a good show, especially with the addition of Farhan Akhtar from Luck by Chance.",3,3,(X (X (X (X))),Ms. Marvel good Ms. Marvel Farhan Akhtar Luck by Chance,give_opinion,0.99398226,0.004934142791,202.6694489,14.40012445,0.8254331,match_scores,
9200,9200,920,Ms. Marvel rating good. Ms. Marvel screenwriter Will Dunn. Harry Potter and the Deathly Hallows – Part 2 cast member Will Dunn. Ms. Marvel domain tv.,give_opinion," I think Ms. Marvel is a good show with excellent writing from Will Dunn, who also starred in Harry Potter and the Deathly Hallows – Part 2.",3,3,(X (X (X (X))),Ms. Marvel good Ms. Marvel Will Dunn Harry Potter and the Deathly Hallows – Part 2,give_opinion,0.9938392,0.0312368962,32.01342392,33.66496864,0.82881117,match_scores,
59630,59630,921,Wilhelm II rating average. Edward the Seventh characters Wilhelm II. Wilhelm II domain tv.,request_explanation,What do you think makes the portrayal of Wilhelm II in Edward the Seventh have an average rating?,2,3,(X (X (X))),Wilhelm II average Wilhelm II Edward the Seventh,request_explanation,0.98666126,0.006803384917,146.9856567,9.917720727,0.82371056,match_scores,18
9227,9227,922,Peaky Blinders rating good. Peaky Blinders cast member Adrien Brody. Adrien Brody award received Academy Award for Best Actor. Peaky Blinders domain tv.,give_opinion," Peaky Blinders is a great show with a good rating and Adrien Brody, who won an Academy Award for Best Actor, in the cast.",3,3,(X (X (X (X))),Peaky Blinders good Peaky Blinders Adrien Brody Academy Award for Best Actor,give_opinion,0.9497551,0.03188443837,31.36326218,17.09832369,0.8655531,match_scores,
9233,9233,923,Peaky Blinders rating good. Peaky Blinders cast member Adrien Brody. Winning Time: The Rise of the Lakers Dynasty cast member Adrien Brody. Peaky Blinders domain tv.,give_opinion,Peaky Blinders has a good rating and the presence of Adrien Brody in both Peaky Blinders and Winning Time: The Rise of the Lakers Dynasty makes it even better.,3,3,(X (X (X (X))),Peaky Blinders good Peaky Blinders Adrien Brody Winning Time: The Rise of the Lakers Dynasty,give_opinion,0.9772859,0.01655195371,60.4158287,31.45435218,0.9162588,match_scores,
59666,59666,924,Nicholas Meyer rating average. Nicholas Meyer award received Saturn Award. Nicholas Meyer domain tv.,request_explanation," What do you think made Nicholas Meyer's work so average, despite him receiving a Saturn Award?",2,3,(X (X (X))),Nicholas Meyer average Nicholas Meyer Saturn Award,request_explanation,0.9940567,0.007694730901,129.9590607,5.108099333,0.8146613,match_scores,16
59676,59676,925,Nicholas Meyer rating average. Star Trek II: The Wrath of Khan screenwriter Nicholas Meyer. Nicholas Meyer domain tv.,request_explanation,Why do you think Nicholas Meyer's work on Star Trek II: The Wrath of Khan has an average rating?,2,3,(X (X (X))),Nicholas Meyer average Nicholas Meyer Star Trek II: The Wrath of Khan,request_explanation,0.9905654,0.0389034107,25.70468712,34.77250471,0.85006297,match_scores,19
9269,9269,926,Peaky Blinders rating good. Peaky Blinders genre costume drama. Magnificent Century genre costume drama. Peaky Blinders domain tv.,give_opinion,Peaky Blinders is a great costume drama with a good rating. It stands out from the other costume dramas like Magnificent Century.,3,3,(X (X (X (X))),Peaky Blinders good Peaky Blinders costume drama Magnificent Century,give_opinion,0.7075972,0.01214003273,82.37210083,5.664180227,0.80223674,match_scores,
59697,59697,927,Nicholas Meyer rating average. Medici: Masters of Florence creator Nicholas Meyer. Nicholas Meyer domain tv.,request_explanation,What is it about Nicholas Meyer's show Medici: Masters of Florence that makes it have an average rating?,2,3,(X (X (X))),Nicholas Meyer average Nicholas Meyer Medici: Masters of Florence,request_explanation,0.9905027,0.008856999582,112.9050522,19.49624908,0.8486335,match_scores,18
59699,59699,928,Nicholas Meyer rating average. For the Love of Spock cast member Nicholas Meyer. Nicholas Meyer domain tv.,request_explanation," What is it about For the Love of Spock, featuring Nicholas Meyer, that you find average?",2,3,(X (X (X))),Nicholas Meyer average Nicholas Meyer For the Love of Spock,request_explanation,0.9887567,0.009222632658,108.4289093,22.53741272,0.8510947,match_scores,16
22723,22723,929,The Empress genre drama television series. Prison Break genre drama television series. The Empress characters Count Karl Ferdinand von Buol. The Empress characters Princess Sophie of Bavaria. The Empress characters Empress Elisabeth of Austria. The Empress characters Franz Liszt. Franz Liszt award received Pour le Mérite for Sciences and Arts order. The Empress domain tv.,inform," The Empress is a drama television series starring Count Karl Ferdinand von Buol, Princess Sophie of Bavaria, Empress Elisabeth of Austria and Franz Liszt, who was awarded the Pour le Mérite for Sciences and Arts order.",2,4,(X (X) (X) (X) (X (X)) (X (X))),The Empress drama television series Prison Break | The Empress Count Karl Ferdinand von Buol | The Empress Princess Sophie of Bavaria | The Empress Empress Elisabeth of Austria | The Empress Franz Liszt Pour le Mérite for Sciences and Arts order,inform,0.9936387,0.01021684607,97.87756348,40.77976924,0.8493945,match_scores,
9301,9301,930,Peaky Blinders rating good. Peaky Blinders screenwriter Steven Knight. SAS: Rogue Heroes creator Steven Knight. Peaky Blinders domain tv.,give_opinion," Peaky Blinders is a good show with a great screenwriter, Steven Knight. His other work, SAS: Rogue Heroes, is also highly praised.",3,3,(X (X (X (X))),Peaky Blinders good Peaky Blinders Steven Knight SAS: Rogue Heroes,give_opinion,0.97738045,0.01599224107,62.53032303,11.63327084,0.7658784,match_scores,
9315,9315,931,Peaky Blinders rating good. Peaky Blinders creator Steven Knight. Steven Knight award received British Independent Film Awards. Peaky Blinders domain tv.,give_opinion," Peaky Blinders is a great show with a good rating and creative direction from Steven Knight, who won the British Independent Film Awards.",3,3,(X (X (X (X))),Peaky Blinders good Peaky Blinders Steven Knight British Independent Film Awards,give_opinion,0.92354214,0.01903721969,52.52867889,13.12155139,0.81888896,match_scores,
9320,9320,932,The Crown rating good. The Crown cast member Jane Lapotaire. Jane Lapotaire award received Tony Award for Best Actress in a Play. The Crown domain tv.,give_opinion," The Crown is a good show with an amazing performance from Jane Lapotaire, who won a Tony Award for Best Actress in a Play.",3,3,(X (X (X (X))),The Crown good The Crown Jane Lapotaire Tony Award for Best Actress in a Play,give_opinion,0.9580956,0.01244225716,80.37126923,31.44949459,0.85866386,match_scores,
9334,9334,933,The Crown rating good. The Crown cast member Jane Lapotaire. Downton Abbey cast member Jane Lapotaire. The Crown domain tv.,give_opinion," The Crown is a good show, especially with the inclusion of Jane Lapotaire from Downton Abbey.",3,3,(X (X (X (X))),The Crown good The Crown Jane Lapotaire Downton Abbey,give_opinion,0.98580384,0.007699473352,129.8790131,7.732130226,0.8625634,match_scores,
9347,9347,934,The Crown rating good. The Crown characters Mary of Teck. Mary of Teck award received Decoration of the Royal Red Cross. The Crown domain tv.,give_opinion," The Crown is a good show with a great character like Mary of Teck, who received a Decoration of the Royal Red Cross.",3,3,(X (X (X (X))),The Crown good The Crown Mary of Teck Decoration of the Royal Red Cross,give_opinion,0.894136,0.007937788359,125.9796753,26.24310277,0.8407412,match_scores,
9350,9350,935,The Crown rating good. The Crown characters Mary of Teck. Downton Abbey characters Mary of Teck. The Crown domain tv.,give_opinion," I think The Crown is a good show, especially with the character Mary of Teck which was also in Downton Abbey.",3,3,(X (X (X (X))),The Crown good The Crown Mary of Teck Downton Abbey,give_opinion,0.98888665,0.01592930883,62.77736282,9.314939614,0.82540166,match_scores,
9363,9363,936,The Crown rating good. The Crown characters Mary of Teck. Delhi Durbar cast member Mary of Teck. The Crown domain tv.,give_opinion," The Crown is a great show, especially with the character Mary of Teck featured in both The Crown and Delhi Durbar.",3,3,(X (X (X (X))),The Crown good The Crown Mary of Teck Delhi Durbar,give_opinion,0.98665154,0.006611957134,151.2411499,10.14368321,0.8598199,match_scores,
73798,73798,937,The Crown rating good. The Crown characters Mary of Teck. Delhi Durbar cast member Mary of Teck. The Crown domain tv.,verify_attribute,You like the show The Crown. Did you also enjoy Mary of Teck's performance in Delhi Durbar?,3,3,(X (X (X (X))),The Crown good The Crown Mary of Teck Delhi Durbar,verify_attribute,0.95777357,0.0038198635,261.7894592,7.01288758,0.7826812,match_scores,
9386,9386,938,The Crown rating good. The Crown producer Suzanne Mackie. Mad Dogs producer Suzanne Mackie. The Crown domain tv.,give_opinion,The Crown is a good show with great production from Suzanne Mackie.,3,3,(X (X (X (X))),The Crown good The Crown Suzanne Mackie Mad Dogs,give_opinion,0.95035696,0.005453993621,183.3518829,9.23843021,0.73807895,match_scores,
9396,9396,939,The Crown rating good. The Crown screenwriter Peter Morgan. Peter Morgan award received Romy. The Crown domain tv.,give_opinion," The Crown is a good show, thanks to the writing of Peter Morgan who won the Romy award for his work.",3,3,(X (X (X (X))),The Crown good The Crown Peter Morgan Romy,give_opinion,0.97982615,0.01258711549,79.44631958,5.154337627,0.7458029,match_scores,
22832,22832,940,The Girlfriend Experience genre drama television series. Prison Break genre drama television series. The Girlfriend Experience producer Amy Seimetz. The Girlfriend Experience cast member Anna Friel. The Girlfriend Experience cast member Mary Lynn Rajskub. The Girlfriend Experience producer Steven Soderbergh. Steven Soderbergh award received National Board of Review Award for Best Director. The Girlfriend Experience domain tv.,inform," The Girlfriend Experience is a drama television series starring Anna Friel and Mary Lynn Rajskub, produced by Amy Seimetz and Steven Soderbergh, who won the National Board of Review Award for Best Director.",2,4,(X (X) (X) (X) (X (X)) (X (X))),The Girlfriend Experience drama television series Prison Break | The Girlfriend Experience Amy Seimetz | The Girlfriend Experience Anna Friel | The Girlfriend Experience Mary Lynn Rajskub | The Girlfriend Experience Steven Soderbergh National Board of Review Award for Best Director,inform,0.98362154,0.03914808882,25.54403114,28.63225509,0.75609034,match_scores,
9416,9416,941,The Crown rating good. The Crown screenwriter Peter Morgan. Tinker Tailor Soldier Spy producer Peter Morgan. The Crown domain tv.,give_opinion," I think The Crown is a good show, particularly with the writing of Peter Morgan who also produced Tinker Tailor Soldier Spy.",3,3,(X (X (X (X))),The Crown good The Crown Peter Morgan Tinker Tailor Soldier Spy,give_opinion,0.9889755,0.02123660722,47.08850098,13.70614633,0.81753004,match_scores,
73855,73855,942,The Crown rating good. The Crown screenwriter Peter Morgan. Tinker Tailor Soldier Spy producer Peter Morgan. The Crown domain tv.,verify_attribute," You said The Crown was good. Do you usually enjoy other works by Peter Morgan, like his production of Tinker Tailor Soldier Spy?",3,3,(X (X (X (X))),The Crown good The Crown Peter Morgan Tinker Tailor Soldier Spy,verify_attribute,0.9909849,0.01370680128,72.95648193,12.58483479,0.7703528,match_scores,
9434,9434,943,1899 rating good. 1899 cast member Andreas Pietschmann. Dark cast member Andreas Pietschmann. 1899 domain tv.,give_opinion,1899 is a good show with great performances from Andreas Pietschmann.,3,3,(X (X (X (X))),1899 good 1899 Andreas Pietschmann Dark,give_opinion,0.8682926,0.004734256823,211.2263947,8.054496385,0.80071723,match_scores,
9447,9447,944,1899 rating good. 1899 screenwriter Baran bo Odar. The Origin screenwriter Baran bo Odar. 1899 domain tv.,give_opinion," 1899 is a good show, thanks to the writing of Baran bo Odar.",3,3,(X (X (X (X))),1899 good 1899 Baran bo Odar The Origin,give_opinion,0.9743162,0.002687498057,372.0932922,11.11492478,0.8168857,match_scores_PPL,
22883,22883,945,"Wallander creator Henning Mankell. Henning Mankell genre drama. Wallander cast member Polly Hemingway. Wallander cast member David Warner. Wallander cast member Barnaby Kay. Wallander cast member Kenneth Branagh. Kenneth Branagh award received Academy Award for Best Writing, Original Screenplay. Wallander domain tv.",inform," Wallander is a drama by Henning Mankell, starring Polly Hemingway, David Warner, Barnaby Kay, and Kenneth Branagh, who won the Academy Award for Best Writing, Original Screenplay.",2,4,(X (X) (X) (X) (X (X)) (X (X))),"Wallander Henning Mankell drama | Wallander Polly Hemingway | Wallander David Warner | Wallander Barnaby Kay | Wallander Kenneth Branagh Academy Award for Best Writing, Original Screenplay",inform,0.9918468,0.01739011719,57.50392532,28.36004998,0.7717086,match_scores,
9466,9466,946,1899 rating good. 1899 screenwriter Baran bo Odar. Dark creator Baran bo Odar. 1899 domain tv.,give_opinion,I think 1899 is a good show with great writing from Baran bo Odar.,3,3,(X (X (X (X))),1899 good 1899 Baran bo Odar Dark,give_opinion,0.9875165,0.002775203832,360.3338928,11.11492478,0.7975139,match_scores,
9472,9472,947,1899 rating good. 1899 creator Baran bo Odar. The Origin screenwriter Baran bo Odar. 1899 domain tv.,give_opinion,I think 1899 is a good show with a compelling story written by Baran bo Odar.,3,3,(X (X (X (X))),1899 good 1899 Baran bo Odar The Origin,give_opinion,0.99204856,0.003572408595,279.9231873,9.672649511,0.7428469,match_scores,
73910,73910,948,1899 rating good. 1899 creator Baran bo Odar. The Origin screenwriter Baran bo Odar. 1899 domain tv.,verify_attribute,You said 1899 was good. Do you think that most of Baran bo Odar's works in TV are good?,3,3,(X (X (X (X))),1899 good 1899 Baran bo Odar The Origin,verify_attribute,0.99389017,0.005000440636,199.9823761,4.319402268,0.7106693,match_scores,
9498,9498,949,1899 rating good. 1899 creator Baran bo Odar. Dark creator Baran bo Odar. 1899 domain tv.,give_opinion,1899 is a good show thanks to the creative vision of Baran bo Odar.,3,3,(X (X (X (X))),1899 good 1899 Baran bo Odar Dark,give_opinion,0.9876203,0.002121832614,471.2907104,11.11492478,0.72896695,match_scores,
22935,22935,950,The Musketeers genre swashbuckler film. The Three Musketeers genre swashbuckler film. The Musketeers characters Comte de Rochefort. The Musketeers characters Anne of Austria. The Musketeers characters Athos. The Musketeers characters Milady de Winter. The Three Musketeers characters Milady de Winter. The Musketeers domain tv.,inform," The Musketeers and The Three Musketeers are swashbuckler films featuring characters Comte de Rochefort, Anne of Austria, Athos and Milady de Winter.",2,4,(X (X) (X) (X) (X (X)) (X (X))),The Musketeers swashbuckler film The Three Musketeers | The Musketeers Comte de Rochefort | The Musketeers Anne of Austria | The Musketeers Athos | The Musketeers Milady de Winter The Three Musketeers,inform,0.9880801,0.01221382582,81.8744278,13.26386904,0.77139693,match_scores,
9512,9512,951,1899 rating good. 1899 producer Baran bo Odar. Dark producer Baran bo Odar. 1899 domain tv.,give_opinion," I think 1899 is a good show, thanks to producer Baran bo Odar.",3,3,(X (X (X (X))),1899 good 1899 Baran bo Odar Dark,give_opinion,0.9885123,0.002488793102,401.801178,11.11492478,0.7713143,match_scores,
9528,9528,952,The Big Bang Theory rating excellent. The Big Bang Theory cast member Riki Lindhome. Wednesday cast member Riki Lindhome. The Big Bang Theory domain tv.,give_opinion,The Big Bang Theory is an excellent show with a great cast member like Riki Lindhome.,3,3,(X (X (X (X))),The Big Bang Theory excellent The Big Bang Theory Riki Lindhome Wednesday,give_opinion,0.9920878,0.01287458585,77.67240143,17.69497515,0.8212277,match_scores,
9539,9539,953,The Big Bang Theory rating excellent. The Big Bang Theory award received TCA Award for Individual Achievement in Comedy. Modern Family award received TCA Award for Individual Achievement in Comedy. The Big Bang Theory domain tv.,give_opinion,The Big Bang Theory is an excellent show and deservedly won the TCA Award for Individual Achievement in Comedy.,3,3,(X (X (X (X))),The Big Bang Theory excellent The Big Bang Theory TCA Award for Individual Achievement in Comedy Modern Family,give_opinion,0.9904199,0.0302988939,33.00450516,42.46163318,0.7808834,match_scores,
9542,9542,954,The Big Bang Theory rating excellent. The Big Bang Theory screenwriter Steven Molaro. Freddie screenwriter Steven Molaro. The Big Bang Theory domain tv.,give_opinion,The Big Bang Theory is an excellent show with great writing from Steven Molaro.,3,3,(X (X (X (X))),The Big Bang Theory excellent The Big Bang Theory Steven Molaro Freddie,give_opinion,0.9920323,0.02696459827,37.08566284,20.33344819,0.81229347,match_scores,
9559,9559,955,The Big Bang Theory rating excellent. The Big Bang Theory screenwriter Steven Molaro. Young Sheldon creator Steven Molaro. The Big Bang Theory domain tv.,give_opinion," The Big Bang Theory is an excellent show with great writing from Steven Molaro, who also created Young Sheldon.",3,3,(X (X (X (X))),The Big Bang Theory excellent The Big Bang Theory Steven Molaro Young Sheldon,give_opinion,0.9770116,0.02468086669,40.51721573,15.82128589,0.8326873,match_scores,
9563,9563,956,The Big Bang Theory rating excellent. The Big Bang Theory creator Bill Prady. Bill Prady award received Exceptional Public Achievement Medal. The Big Bang Theory domain tv.,give_opinion," The Big Bang Theory is an excellent show and Bill Prady, who won the Exceptional Public Achievement Medal, is a great creator.",3,3,(X (X (X (X))),The Big Bang Theory excellent The Big Bang Theory Bill Prady Exceptional Public Achievement Medal,give_opinion,0.9906941,0.01774164981,56.36454391,21.22363344,0.8532682,match_scores,
9577,9577,957,The Big Bang Theory rating excellent. The Big Bang Theory creator Bill Prady. Pilot screenwriter Bill Prady. The Big Bang Theory domain tv.,give_opinion," The Big Bang Theory is an excellent show, thanks to the great writing of Bill Prady in both the pilot and the series.",3,3,(X (X (X (X))),The Big Bang Theory excellent The Big Bang Theory Bill Prady Pilot,give_opinion,0.9909434,0.04375594689,22.85403633,11.65390745,0.82096297,match_scores,
9584,9584,958,The Big Bang Theory rating excellent. The Big Bang Theory creator Bill Prady. Sheldon Cooper creator Bill Prady. The Big Bang Theory domain tv.,give_opinion," The Big Bang Theory is an excellent show, and Bill Prady did a great job creating it, especially the character of Sheldon Cooper.",3,3,(X (X (X (X))),The Big Bang Theory excellent The Big Bang Theory Bill Prady Sheldon Cooper,give_opinion,0.98824733,0.04821927202,20.73859596,12.58483479,0.821151,match_scores,
9593,9593,959,The Big Bang Theory rating excellent. The Big Bang Theory creator Bill Prady. For the Love of Spock cast member Bill Prady. The Big Bang Theory domain tv.,give_opinion," The Big Bang Theory is an excellent show thanks to its creator, Bill Prady, and his great work on The For the Love of Spock.",3,3,(X (X (X (X))),The Big Bang Theory excellent The Big Bang Theory Bill Prady For the Love of Spock,give_opinion,0.987306,0.03609628255,27.70368385,23.73681044,0.8270142,match_scores,
23034,23034,960,Houdini genre historical drama. Downton Abbey genre historical drama. Houdini characters Bess Houdini. Houdini characters Harry Houdini. Houdini characters Grigori Rasputin. Houdini characters Wilhelm II. Wilhelm II award received Order of Saint Stanislaus. Houdini domain tv.,inform," Houdini is a historical drama featuring Bess Houdini, Harry Houdini, Grigori Rasputin, and Wilhelm II, who received the Order of Saint Stanislaus.",2,4,(X (X) (X) (X) (X (X)) (X (X))),Houdini historical drama Downton Abbey | Houdini Bess Houdini | Houdini Harry Houdini | Houdini Grigori Rasputin | Houdini Wilhelm II Order of Saint Stanislaus,inform,0.98294705,0.02503414042,39.94544983,15.45007955,0.8735916,match_scores,
23036,23036,961,Stranger Things genre science fiction television program. Beauty and the Beast genre science fiction television program. Stranger Things cast member Matthew Modine. Stranger Things cast member Cary Elwes. Stranger Things cast member Winona Ryder. Black Swan cast member Winona Ryder. Stranger Things domain tv.,inform," Stranger Things is a science fiction television program starring Matthew Modine, Cary Elwes and Winona Ryder.",2,4,(X (X) (X) (X (X)) (X (X))),Stranger Things science fiction television program Beauty and the Beast | Stranger Things Matthew Modine | Stranger Things Cary Elwes | Stranger Things Winona Ryder Black Swan,inform,0.9937271,0.03199440528,31.25546455,13.53279301,0.7758314,match_scores,
74046,74046,962,"The Last of Us rating good. The Last of Us creator Craig Mazin. Craig Mazin award received Order of Prince Yaroslav the Wise, 5th class. The Last of Us domain tv.",verify_attribute," You said The Last of Us was good. Do you usually enjoy Craig Mazin's work, considering his Order of Prince Yaroslav the Wise, 5th class award?",3,3,(X (X (X (X))),"The Last of Us good The Last of Us Craig Mazin Order of Prince Yaroslav the Wise, 5th class",verify_attribute,0.99560755,0.006297989181,158.780838,35.45649986,0.84648687,match_scores,
9637,9637,963,The Last of Us rating good. The Last of Us creator Craig Mazin. Superhero Movie screenwriter Craig Mazin. The Last of Us domain tv.,give_opinion," The Last of Us is a good show thanks to the writing of Craig Mazin, who also wrote the screenplay for Superhero Movie.",3,3,(X (X (X (X))),The Last of Us good The Last of Us Craig Mazin Superhero Movie,give_opinion,0.98790514,0.02708352382,36.92281723,13.47176685,0.7334669,match_scores,
9642,9642,964,The Last of Us rating good. The Last of Us creator Craig Mazin. Superhero Movie producer Craig Mazin. The Last of Us domain tv.,give_opinion," The Last of Us is a good show, thanks to the creator Craig Mazin who also produced the Superhero Movie.",3,3,(X (X (X (X))),The Last of Us good The Last of Us Craig Mazin Superhero Movie,give_opinion,0.99515027,0.01639089749,61.00947189,15.04714945,0.76131636,match_scores,
23080,23080,965,Peaky Blinders genre costume drama. Magnificent Century genre costume drama. Peaky Blinders cast member Aidan Gillen. Peaky Blinders cast member Helen McCrory. Peaky Blinders cast member Adrien Brody. Adrien Brody award received Black Reel Award for Best Ensemble. Peaky Blinders domain tv.,inform," Peaky Blinders is a costume drama featuring Aidan Gillen, Helen McCrory, and Adrien Brody, who won the Black Reel Award for Best Ensemble.",2,4,(X (X) (X) (X (X)) (X (X))),Peaky Blinders costume drama Magnificent Century | Peaky Blinders Aidan Gillen | Peaky Blinders Helen McCrory | Peaky Blinders Adrien Brody Black Reel Award for Best Ensemble,inform,0.99009645,0.02667840414,37.48350143,25.98383301,0.82041955,match_scores,
23095,23095,966,The Crown genre biographical film. Victoria genre biographical film. The Crown cast member David Rintoul. The Crown cast member Philip Philmar. The Crown cast member Jane Lapotaire. Johnny and the Dead cast member Jane Lapotaire. The Crown domain tv.,inform," The Crown is a biographical film starring David Rintoul, Philip Philmar, and Jane Lapotaire.",2,4,(X (X) (X) (X (X)) (X (X))),The Crown biographical film Victoria | The Crown David Rintoul | The Crown Philip Philmar | The Crown Jane Lapotaire Johnny and the Dead,inform,0.98550564,0.004577405445,218.4643707,6.938953646,0.77876353,match_scores_PPL,
9679,9679,967,The Last of Us rating good. The Last of Us genre drama television series. Prison Break genre drama television series. The Last of Us domain tv.,give_opinion,The Last of Us is a good drama television series that stands out from the likes of Prison Break.,3,3,(X (X (X (X))),The Last of Us good The Last of Us drama television series Prison Break,give_opinion,0.9569632,0.02341302668,42.71126556,20.31374712,0.8313842,match_scores,
9680,9680,968,"The Last of Us rating good. The Last of Us screenwriter Craig Mazin. Craig Mazin award received Order of Prince Yaroslav the Wise, 5th class. The Last of Us domain tv.",give_opinion," The Last of Us is a good show with a great screenwriter, Craig Mazin, who was awarded Order of Prince Yaroslav the Wise, 5th class.",3,3,(X (X (X (X))),"The Last of Us good The Last of Us Craig Mazin Order of Prince Yaroslav the Wise, 5th class",give_opinion,0.960012,0.009411476815,106.2532501,38.16692392,0.8617726,match_scores,
23123,23123,969,Downton Abbey genre LGBTI+ related TV series. Heroes genre LGBTI+ related TV series. Downton Abbey characters Cosmo Gordon Lang. Downton Abbey characters Edward VIII of the United Kingdom. Downton Abbey characters Mary of Teck. Mary of Teck award received Royal Family Order of King Edward VII. Downton Abbey domain tv.,inform," Downton Abbey is an LGBTI+ related TV series starring Cosmo Gordon Lang, Edward VIII of the United Kingdom and Mary of Teck, who was awarded the Royal Family Order of King Edward VII.",2,4,(X (X) (X) (X (X)) (X (X))),Downton Abbey LGBTI+ related TV series Heroes | Downton Abbey Cosmo Gordon Lang | Downton Abbey Edward VIII of the United Kingdom | Downton Abbey Mary of Teck Royal Family Order of King Edward VII,inform,0.9901878,0.01171939824,85.32861328,45.09004572,0.8015994,match_scores,
9700,9700,970,The Last of Us rating good. The Last of Us screenwriter Craig Mazin. Superhero Movie producer Craig Mazin. The Last of Us domain tv.,give_opinion," The Last of Us is a good show with great writing from Craig Mazin, who also produced the superhero movie.",3,3,(X (X (X (X))),The Last of Us good The Last of Us Craig Mazin Superhero Movie,give_opinion,0.9912463,0.02092538037,47.78885651,13.3641276,0.8087977,match_scores,
9710,9710,971,Downton Abbey rating good. Downton Abbey characters Mary of Teck. Mary of Teck award received Decoration of the Royal Red Cross. Downton Abbey domain tv.,give_opinion,Downton Abbey is a good show with an interesting character like Mary of Teck who received the Decoration of the Royal Red Cross.,3,3,(X (X (X (X))),Downton Abbey good Downton Abbey Mary of Teck Decoration of the Royal Red Cross,give_opinion,0.9881082,0.01110524146,90.04756927,27.41229265,0.8492056,match_scores,
9723,9723,972,Downton Abbey rating good. Downton Abbey characters Mary of Teck. The Crown characters Mary of Teck. Downton Abbey domain tv.,give_opinion,I think Downton Abbey is a good show and I really enjoyed the character of Mary of Teck in both Downton Abbey and The Crown.,3,3,(X (X (X (X))),Downton Abbey good Downton Abbey Mary of Teck The Crown,give_opinion,0.99002725,0.04391597759,22.77075577,9.136332438,0.92458,match_scores,
23165,23165,973,Wish You Well genre House. Wish You Well producer Sigala. House cast member Roxanne Hart. House cast member Danny Nucci. House cast member Clare Kramer. In & Out cast member Clare Kramer. House domain tv.,inform," Wish You Well is a House produced by Sigala, starring Roxanne Hart, Danny Nucci, and Clare Kramer.",2,4,(X (X) (X) (X (X)) (X (X))),House Wish You Well Sigala | House Roxanne Hart | House Danny Nucci | House Clare Kramer In & Out,inform,0.95313543,0.002807641192,356.1708679,11.76289782,0.79241395,match_scores_PPL,
9749,9749,974,Downton Abbey rating good. Downton Abbey cast member MyAnna Buring. The Witcher cast member MyAnna Buring. Downton Abbey domain tv.,give_opinion," I think Downton Abbey is a good show, especially with MyAnna Buring in the cast.",3,3,(X (X (X (X))),Downton Abbey good Downton Abbey MyAnna Buring The Witcher,give_opinion,0.99031657,0.01623588208,61.59197235,6.839596062,0.80618316,match_scores_PPL,
9753,9753,975,Downton Abbey rating good. Downton Abbey screenwriter Shelagh Stephenson. Before You Go screenwriter Shelagh Stephenson. Downton Abbey domain tv.,give_opinion,Downton Abbey is a good show that was well written by Shelagh Stephenson.,3,3,(X (X (X (X))),Downton Abbey good Downton Abbey Shelagh Stephenson Before You Go,give_opinion,0.96148694,0.01213926255,82.37732697,8.493098745,0.8525283,match_scores,
9762,9762,976,Downton Abbey rating good. Downton Abbey genre LGBTI+ related TV series. Heroes genre LGBTI+ related TV series. Downton Abbey domain tv.,give_opinion,Downton Abbey is a good LGBTI+ related TV series that is worth watching.,3,3,(X (X (X (X))),Downton Abbey good Downton Abbey LGBTI+ related TV series Heroes,give_opinion,0.88874197,0.01091015635,91.65771484,29.25612731,0.8515484,match_scores,
9771,9771,977,"Downton Abbey rating good. Downton Abbey creator Julian Fellowes. Julian Fellowes award received Academy Award for Best Writing, Original Screenplay. Downton Abbey domain tv.",give_opinion," Downton Abbey is a good show and Julian Fellowes' Academy Award for Best Writing, Original Screenplay is evidence of his talent.",3,3,(X (X (X (X))),"Downton Abbey good Downton Abbey Julian Fellowes Academy Award for Best Writing, Original Screenplay",give_opinion,0.9875239,0.03102200406,32.23518372,34.1191474,0.85355675,match_scores,
9780,9780,978,Downton Abbey rating good. Downton Abbey creator Julian Fellowes. The Gilded Age creator Julian Fellowes. Downton Abbey domain tv.,give_opinion," I think Downton Abbey is a good show with great writing from Julian Fellowes, who also created The Gilded Age.",3,3,(X (X (X (X))),Downton Abbey good Downton Abbey Julian Fellowes The Gilded Age,give_opinion,0.98935026,0.04246486181,23.54888153,9.770653288,0.8114866,match_scores,
9794,9794,979,Downton Abbey rating good. Downton Abbey creator Julian Fellowes. Monarch of the Glen cast member Julian Fellowes. Downton Abbey domain tv.,give_opinion," Downton Abbey is a good show, thanks to the creator Julian Fellowes and his work on Monarch of the Glen.",3,3,(X (X (X (X))),Downton Abbey good Downton Abbey Julian Fellowes Monarch of the Glen,give_opinion,0.98998743,0.02634680852,37.95526123,15.04714945,0.85106206,match_scores,
