mr_new,pseudo_mr,text,da,entity,num_triples,num_hops
dogs name Komondor. Komondor drooling sometimes drool. Komondor ratings okay.,Komondor Sometimes Drool Okay,The Komondor is rated as,inform,dogs,3,1
dogs name Black and Tan Coonhound. Black and Tan Coonhound protectiveness semi alert. Black and Tan Coonhound max life expectancy 12. Black and Tan Coonhound good with strangers friendly to strangers. Black and Tan Coonhound max weight male 110.0. Black and Tan Coonhound drooling average drool.,Black And Tan Coonhound Semi Alert 12 Friendly To Strangers 110.0 Average Drool,"The Black and Tan Coonhound is semi alert and friendly to strangers, with an average drool and an average life expectancy of 12 years. The maximum weight for males is 110 pounds.",inform,dogs,6,1
dogs name Giant Schnauzer. Giant Schnauzer drooling sometimes drool.,Giant Schnauzer Sometimes Drool,The Giant Schnauzer is a breed of dog that sometimes drools.,inform,dogs,2,1
dogs name Jagdterrier. Jagdterrier grooming most grooming.,Jagdterrier Most Grooming,The Jagdterrier has a coat that requires frequent grooming.,inform,dogs,2,1
dogs name Shih Tzu. Shih Tzu max weight female 16.0. Shih Tzu playfulness playful. Shih Tzu good with strangers friendly to strangers.,Shih Tzu 16.0 Playful Friendly To Strangers,"The Shih Tzu is a playful breed of dog, with a friendly attitude towards strangers. The maximum weight for a female Shih Tzu is 16.0.",inform,dogs,4,1
dogs name Portuguese Podengo Pequeno. Portuguese Podengo Pequeno coat length short coat. Portuguese Podengo Pequeno max weight male 13.0.,Portuguese Podengo Pequeno Short Coat 13.0,The Portuguese Podengo Pequeno has a short coat and a maximum weight for males of 13.0.,inform,dogs,3,1
dogs name Boxer. Boxer ratings excellent. Boxer playfulness very playful. Boxer energy more energy.,Boxer Excellent Very Playful More Energy,The Boxer is an excellent dog with a very playful personality and lots of energy.,inform,dogs,4,1
dogs name American Foxhound. American Foxhound max weight female 65.0. American Foxhound drooling never drools. American Foxhound max height female 25.0. American Foxhound protectiveness alert. American Foxhound barking always barks.,American Foxhound 65.0 Never Drools 25.0 Alert Always Barks,The American Foxhound is an alert and protective dog that never drools and always barks. Females can grow to a maximum of 25 inches tall and weigh up to 65 pounds.,inform,dogs,6,1
dogs name Bergamasco Sheepdog. Bergamasco Sheepdog good with other dogs friendly to other dogs. Bergamasco Sheepdog max life expectancy 15. Bergamasco Sheepdog shedding no shedding. Bergamasco Sheepdog max height female 23.5.,Bergamasco Sheepdog Friendly To Other Dogs 15 No Shedding 23.5,The Bergamasco Sheepdog is friendly to other dogs and they get along well with other dogs. They typically live up to fifteen years and they do not shed. Female Bergamasco Sheepdogs have a maximum height of 23.5 inches.,inform,dogs,5,1
dogs name Miniature Schnauzer. Miniature Schnauzer good with strangers friendly to strangers. Miniature Schnauzer max height female 14.0. Miniature Schnauzer good with children most kid-friendly. Miniature Schnauzer grooming little grooming. Miniature Schnauzer drooling sometimes drool.,Miniature Schnauzer Friendly To Strangers 14.0 Most Kid-Friendly Little Grooming Sometimes Drool,"The Miniature Schnauzer is a friendly breed, good with strangers and most kid-friendly. Female Miniature Schnauzers are typically about 14 inches tall and require little grooming. They may sometimes drool.",inform,dogs,6,1
dogs name Norwegian Elkhound. Norwegian Elkhound grooming lots of grooming.,Norwegian Elkhound Lots Of Grooming,The Norwegian Elkhound requires lots of grooming.,inform,dogs,2,1
dogs name Scottish Deerhound. Scottish Deerhound good with other dogs most friendly to other dogs. Scottish Deerhound barking silient. Scottish Deerhound trainability trainable.,Scottish Deerhound Most Friendly To Other Dogs Silient Trainable,The Scottish Deerhound is very friendly towards other dogs and is usually silent. It is also trainable.,inform,dogs,4,1
dogs name Japanese Chin. Japanese Chin max height female 11.0. Japanese Chin playfulness playful.,Japanese Chin 11.0 Playful,"The Japanese Chin is a playful animal, with a maximum height of 11.0 for females.",inform,dogs,3,1
dogs name Italian Greyhound. Italian Greyhound max weight male 14.0. Italian Greyhound good with strangers most friendly to strangers. Italian Greyhound drooling never drools. Italian Greyhound playfulness very playful. Italian Greyhound good with children kid-friendly. Italian Greyhound good with other dogs most friendly to other dogs. Italian Greyhound ratings good.,Italian Greyhound 14.0 Most Friendly To Strangers Never Drools Very Playful Kid-Friendly Most Friendly To Other Dogs Good,"The Italian Greyhound is a small breed of dog, with a maximum weight of 14 pounds for males. It is very friendly to strangers, never drools and is very playful. It is also kid-friendly and most friendly to other dogs, making it a good choice for families.",inform,dogs,8,1
dogs name Nova Scotia Duck Tolling Retriever. Nova Scotia Duck Tolling Retriever grooming lots of grooming. Nova Scotia Duck Tolling Retriever max weight male 50.0. Nova Scotia Duck Tolling Retriever max height male 21.0. Nova Scotia Duck Tolling Retriever ratings excellent.,Nova Scotia Duck Tolling Retriever Lots Of Grooming 50.0 21.0 Excellent,The Nova Scotia Duck Tolling Retriever is an excellent breed that requires lots of grooming. The males are usually 50 pounds and 21 inches tall.,inform,dogs,5,1
dogs name Border Terrier. Border Terrier max weight female 14.0. Border Terrier protectiveness alert. Border Terrier trainability easy trainable. Border Terrier max height male 15.0. Border Terrier max life expectancy 15. Border Terrier good with children most kid-friendly.,Border Terrier 14.0 Alert Easy Trainable 15.0 15 Most Kid-Friendly,"The Border Terrier is a small, alert and easy to train breed, with a maximum weight of 14.0 for females and 15.0 for males. It has a maximum life expectancy of 15 years and is most kid-friendly.",inform,dogs,7,1
dogs name Japanese Chin. Japanese Chin energy energetic. Japanese Chin protectiveness alert. Japanese Chin max height male 11.0. Japanese Chin coat length short coat. Japanese Chin max life expectancy 12. Japanese Chin max weight male 11.0. Japanese Chin grooming lots of grooming.,Japanese Chin Energetic Alert 11.0 Short Coat 12 11.0 Lots Of Grooming,"The Japanese Chin is an energetic, alert animal that typically stands 11 inches tall and weighs 11 pounds. It has a short coat that requires lots of grooming, and they usually live for 12 years.",inform,dogs,8,1
dogs name Chihuahua. Chihuahua good with strangers semi friendly to strangers. Chihuahua max height male 8.0. Chihuahua max height female 8.0. Chihuahua energy more energy. Chihuahua shedding minimal shedding.,Chihuahua Semi Friendly To Strangers 8.0 8.0 More Energy Minimal Shedding,"The Chihuahua is a small, friendly dog that is semi-friendly to strangers. It typically stands at eight inches tall, and has more energy than other breeds. It also sheds minimally.",inform,dogs,6,1
dogs name Small Munsterlander. Small Munsterlander drooling sometimes drool. Small Munsterlander max height female 21.0. Small Munsterlander coat length short coat. Small Munsterlander playfulness playful.,Small Munsterlander Sometimes Drool 21.0 Short Coat Playful,The Small Munsterlander is a playful and sometimes drooling breed of dog with a short coat and a maximum height for females of 21.0.,inform,dogs,5,1
dogs name French Bulldog. French Bulldog shedding average shedding. French Bulldog max weight female 26.0. French Bulldog protectiveness alert.,French Bulldog Average Shedding 26.0 Alert,"The French Bulldog has an average shedding level, and it is quite alert. The maximum weight of a female French Bulldog is 26 pounds.",inform,dogs,4,1
dogs name Swedish Vallhund. Swedish Vallhund ratings excellent. Swedish Vallhund max weight female 35.0. Swedish Vallhund grooming lots of grooming. Swedish Vallhund good with children most kid-friendly. Swedish Vallhund playfulness very playful.,Swedish Vallhund Excellent 35.0 Lots Of Grooming Most Kid-Friendly Very Playful,"The Swedish Vallhund has excellent ratings, with a maximum weight of 35.0 (for females). They require lots of grooming and are very kid friendly and playful.",inform,dogs,6,1
dogs name Mountain Cur. Mountain Cur grooming most grooming. Mountain Cur good with strangers friendly to strangers. Mountain Cur good with other dogs friendly to other dogs. Mountain Cur max weight female 60.0. Mountain Cur good with children kid-friendly. Mountain Cur drooling sometimes drool.,Mountain Cur Most Grooming Friendly To Strangers Friendly To Other Dogs 60.0 Kid-Friendly Sometimes Drool,"The Mountain Cur is an easy to groom dog, and is friendly to strangers and other dogs. The maximum weight for female Mountain Curs is 60.0 lbs, and it is kid-friendly, although it may sometimes drool.",inform,dogs,7,1
dogs name Ibizan Hound. Ibizan Hound good with other dogs most friendly to other dogs. Ibizan Hound max weight male 50.0. Ibizan Hound max weight female 45.0. Ibizan Hound ratings okay.,Ibizan Hound Most Friendly To Other Dogs 50.0 45.0 Okay,The Ibizan Hound is known for being very friendly to other dogs. The males can weigh up to 50.0 pounds and the females can weigh up to 45.0 pounds. They have generally okay ratings.,inform,dogs,5,1
dogs name Kai Ken. Kai Ken max weight female 40.0. Kai Ken grooming lots of grooming. Kai Ken trainability easy trainable. Kai Ken playfulness playful. Kai Ken shedding average shedding.,Kai Ken 40.0 Lots Of Grooming Easy Trainable Playful Average Shedding,"The Kai Ken is a playful, easy to train breed of dog with an average shedding rate and lots of grooming needed. The female Kai Ken max weight is 40.0.",inform,dogs,6,1
dogs name Ibizan Hound. Ibizan Hound good with children kid-friendly. Ibizan Hound drooling never drools. Ibizan Hound max height female 27.5. Ibizan Hound barking sometimes barks. Ibizan Hound max height male 27.5. Ibizan Hound playfulness very playful. Ibizan Hound trainability trainable.,Ibizan Hound Kid-Friendly Never Drools 27.5 Sometimes Barks 27.5 Very Playful Trainable,"The Ibizan Hound is a kid-friendly, never drooling dog. It stands around 27.5 inches tall and can be very playful and trainable. It sometimes barks.",inform,dogs,8,1
dogs name Estrela Mountain Dog.,Estrela Mountain Dog,The Estrela Mountain Dog is an animal.,inform,dogs,1,1
dogs name Portuguese Pointer. Portuguese Pointer max life expectancy 14. Portuguese Pointer max height female 22.0. Portuguese Pointer barking sometimes barks.,Portuguese Pointer 14 22.0 Sometimes Barks,"The Portuguese Pointer typically lives up to 14 years, and can be up to 22 inches tall for females. It sometimes barks.",inform,dogs,4,1
dogs name Parson Russell Terrier. Parson Russell Terrier energy high energy. Parson Russell Terrier max life expectancy 15.,Parson Russell Terrier High Energy 15,The Parson Russell Terrier is a high energy animal that can live up to 15 years.,inform,dogs,3,1
dogs name Irish Red and White Setter. Irish Red and White Setter coat length short coat. Irish Red and White Setter max life expectancy 15. Irish Red and White Setter max weight female 50.0. Irish Red and White Setter good with other dogs most friendly to other dogs. Irish Red and White Setter playfulness playful.,Irish Red And White Setter Short Coat 15 50.0 Most Friendly To Other Dogs Playful,The Irish Red and White Setter has a short coat and a maximum lifespan of 15 years. The maximum weight for a female Irish Red and White Setter is 50 pounds. They are known for being very friendly to other dogs and are very playful.,inform,dogs,6,1
dogs name Greyhound. Greyhound max weight female 65.0. Greyhound good with children kid-friendly. Greyhound grooming most grooming. Greyhound max height female 30.0. Greyhound protectiveness alert. Greyhound max weight male 70.0.,Greyhound 65.0 Kid-Friendly Most Grooming 30.0 Alert 70.0,"The Greyhound is an alert and kid-friendly animal that requires a lot of grooming. Their maximum height for females is 30.0 inches and for males is 70.0 inches, while the maximum weight for females is 65.0 and for males is 70.0.",inform,dogs,7,1
dogs name Russell Terrier. Russell Terrier energy high energy. Russell Terrier max height male 12.0. Russell Terrier good with children kid-friendly. Russell Terrier coat length short coat. Russell Terrier playfulness most playful.,Russell Terrier High Energy 12.0 Kid-Friendly Short Coat Most Playful,The Russell Terrier is a high energy dog with a maximum height of 12.0 for males. It is kid-friendly and has a short coat. It is also one of the most playful breeds.,inform,dogs,6,1
dogs name Miniature Pinscher. Miniature Pinscher drooling never drools. Miniature Pinscher barking always barks. Miniature Pinscher grooming most grooming. Miniature Pinscher energy high energy. Miniature Pinscher max height male 12.5. Miniature Pinscher shedding average shedding. Miniature Pinscher max life expectancy 16.,Miniature Pinscher Never Drools Always Barks Most Grooming High Energy 12.5 Average Shedding 16,"The Miniature Pinscher is a high energy dog that requires most grooming, it never drools, and it always barks. It typically stands at 12.5 inches tall and has an average shedding rate with a life expectancy of up to 16 years.",inform,dogs,8,1
dogs name Norwich Terrier. Norwich Terrier max life expectancy 15. Norwich Terrier good with children most kid-friendly. Norwich Terrier energy more energy. Norwich Terrier grooming lots of grooming. Norwich Terrier good with other dogs friendly to other dogs. Norwich Terrier ratings okay. Norwich Terrier max height male 10.0.,Norwich Terrier 15 Most Kid-Friendly More Energy Lots Of Grooming Friendly To Other Dogs Okay 10.0,"The Norwich Terrier is a friendly and kid-friendly dog, with a maximum life expectancy of 15 years. It has lots of energy and requires lots of grooming. It is also friendly to other dogs and is rated as okay. The maximum height for males is 10.0 inches.",inform,dogs,8,1
dogs name Norwegian Buhund. Norwegian Buhund protectiveness mainly alert. Norwegian Buhund energy more energy.,Norwegian Buhund Mainly Alert More Energy,The Norwegian Buhund is mainly alert and has more energy than other breeds.,inform,dogs,3,1
dogs name Collie. Collie max life expectancy 14. Collie ratings excellent. Collie coat length long coat. Collie energy energetic. Collie drooling sometimes drool.,Collie 14 Excellent Long Coat Energetic Sometimes Drool,"The Collie is an excellent and energetic animal, with a long coat and a maximum life expectancy of 14 years. They sometimes drool.",inform,dogs,6,1
dogs name Japanese Akitainu. Japanese Akitainu drooling never drools.,Japanese Akitainu Never Drools,The Japanese Akitainu is a dog breed that never drools.,inform,dogs,2,1
dogs name Puli. Puli protectiveness very alert. Puli max height male 17.0. Puli coat length short coat. Puli ratings good. Puli trainability very easy to train. Puli shedding no shedding. Puli max weight male 35.0.,Puli Very Alert 17.0 Short Coat Good Very Easy To Train No Shedding 35.0,"The Puli is a very alert and protective breed, measuring up to 17.0 inches at the shoulder for males and up to 35.0 pounds in weight. It has a short coat and no shedding, and is rated highly and is very easy to train.",inform,dogs,8,1
dogs name Bluetick Coonhound. Bluetick Coonhound max height male 27.0. Bluetick Coonhound playfulness playful.,Bluetick Coonhound 27.0 Playful,"The Bluetick Coonhound is a playful dog, with a maximum height of 27.0 inches for males.",inform,dogs,3,1
dogs name Hamiltonstovare. Hamiltonstovare good with strangers most friendly to strangers. Hamiltonstovare max weight male 75.0.,Hamiltonstovare Most Friendly To Strangers 75.0,"The Hamiltonstovare is a friendly breed, and they are most friendly to strangers. The maximum weight for a male Hamiltonstovare is 75 pounds.",inform,dogs,3,1
dogs name German Pinscher. German Pinscher coat length short coat. German Pinscher max weight female 45.0. German Pinscher grooming most grooming. German Pinscher playfulness very playful. German Pinscher good with children kid-friendly. German Pinscher protectiveness mainly alert.,German Pinscher Short Coat 45.0 Most Grooming Very Playful Kid-Friendly Mainly Alert,"The German Pinscher has a short coat and a maximum weight of 45.0 for females. It requires a lot of grooming and is very playful, making it an excellent choice for a kid-friendly pet. It is mainly alert and protective.",inform,dogs,7,1
dogs name Cirneco dell’Etna. Cirneco dell’Etna energy energetic. Cirneco dell’Etna playfulness very playful. Cirneco dell’Etna ratings good. Cirneco dell’Etna max weight female 22.0. Cirneco dell’Etna good with strangers friendly to strangers. Cirneco dell’Etna drooling never drools.,Cirneco Dell’Etna Energetic Very Playful Good 22.0 Friendly To Strangers Never Drools,"The Cirneco dell'Etna is an energetic and very playful breed of dog, rated as good. The female max weight is 22.0 and they are friendly to strangers. They never drool.",inform,dogs,7,1
dogs name Pharaoh Hound. Pharaoh Hound good with children kid-friendly. Pharaoh Hound good with strangers friendly to strangers. Pharaoh Hound grooming lots of grooming. Pharaoh Hound protectiveness alert. Pharaoh Hound trainability easy trainable. Pharaoh Hound max weight female 55.0.,Pharaoh Hound Kid-Friendly Friendly To Strangers Lots Of Grooming Alert Easy Trainable 55.0,"The Pharaoh Hound is a kid-friendly, friendly to strangers and alert dog that is easy to train. It requires lots of grooming and the maximum weight for a female is 55.0.",inform,dogs,7,1
dogs name Scottish Deerhound. Scottish Deerhound shedding average shedding. Scottish Deerhound ratings alright. Scottish Deerhound max weight female 95.0. Scottish Deerhound energy energetic.,Scottish Deerhound Average Shedding Alright 95.0 Energetic,The Scottish Deerhound is an energetic breed with an average shedding rate and an overall rating of 'alright'. A female Scottish Deerhound can weigh up to 95.0.,inform,dogs,5,1
dogs name Central Asian Shepherd Dog. Central Asian Shepherd Dog ratings okay. Central Asian Shepherd Dog max life expectancy 15. Central Asian Shepherd Dog max weight female 140.0. Central Asian Shepherd Dog trainability easy trainable. Central Asian Shepherd Dog coat length short coat. Central Asian Shepherd Dog protectiveness very alert.,Central Asian Shepherd Dog Okay 15 140.0 Easy Trainable Short Coat Very Alert,"The Central Asian Shepherd Dog is an okay rated dog, with a life expectancy of 15 years and a max weight of 140.0 for females. It is easy to train and has a short coat. It is very alert and protective.",inform,dogs,7,1
dogs name Portuguese Sheepdog. Portuguese Sheepdog max height female 21.5. Portuguese Sheepdog max height male 21.5.,Portuguese Sheepdog 21.5 21.5,The Portuguese Sheepdog usually ranges between 20.5 and 21.5 inches in height for both males and females.,inform,dogs,3,1
dogs name Pudelpointer. Pudelpointer max life expectancy 14. Pudelpointer good with strangers friendly to strangers. Pudelpointer barking sometimes barks. Pudelpointer grooming most grooming. Pudelpointer max height male 26.0. Pudelpointer good with other dogs friendly to other dogs.,Pudelpointer 14 Friendly To Strangers Sometimes Barks Most Grooming 26.0 Friendly To Other Dogs,"The Pudelpointer is friendly to both strangers and other dogs, and it sometimes barks. They have an average life expectancy of 14 years and can grow to a maximum height of 26.0 for male dogs. They require moderate grooming.",inform,dogs,7,1
dogs name Bouvier des Flandres. Bouvier des Flandres max height female 27.5. Bouvier des Flandres grooming little grooming. Bouvier des Flandres max height male 27.5. Bouvier des Flandres energy more energy. Bouvier des Flandres good with children kid-friendly.,Bouvier Des Flandres 27.5 Little Grooming 27.5 More Energy Kid-Friendly,"The Bouvier des Flandres is a friendly, kid-friendly dog breed with an average height of 27.5 inches for males and females. They have quite a bit of energy and require little grooming.",inform,dogs,6,1
dogs name Doberman Pinscher. Doberman Pinscher coat length short coat. Doberman Pinscher barking sometimes barks. Doberman Pinscher good with strangers very friendly to strangers. Doberman Pinscher max weight male 100.0. Doberman Pinscher max height female 28.0.,Doberman Pinscher Short Coat Sometimes Barks Very Friendly To Strangers 100.0 28.0,The Doberman Pinscher has a short coat and sometimes barks. It is very friendly to strangers and can weigh up to 100 pounds for males and 28 inches for females.,inform,dogs,6,1
dogs name Miniature American Shepherd. Miniature American Shepherd shedding average shedding. Miniature American Shepherd good with other dogs most friendly to other dogs. Miniature American Shepherd max life expectancy 13. Miniature American Shepherd drooling sometimes drool.,Miniature American Shepherd Average Shedding Most Friendly To Other Dogs 13 Sometimes Drool,The Miniature American Shepherd is an average shedding breed that is friendly to other dogs. It has a maximum life expectancy of 13 years and sometimes drools.,inform,dogs,5,1
dogs name Bulldog. Bulldog good with strangers very friendly to strangers. Bulldog barking bark occasionally. Bulldog max weight male 50.0. Bulldog trainability easy trainable. Bulldog protectiveness alert.,Bulldog Very Friendly To Strangers Bark Occasionally 50.0 Easy Trainable Alert,The Bulldog is a very friendly dog that is easy to train and  it barks occasionally. It is quite protective and alert but good with strangers. The maximum weight for a male Bulldog is 50.0 pounds.,inform,dogs,6,1
dogs name Golden Retriever. Golden Retriever coat length short coat. Golden Retriever max weight female 65.0. Golden Retriever max life expectancy 12. Golden Retriever barking silient. Golden Retriever max height female 24.0. Golden Retriever shedding more than average shedding. Golden Retriever protectiveness alert.,Golden Retriever Short Coat 65.0 12 Silient 24.0 More Than Average Shedding Alert,"The Golden Retriever  is a short-coated dog that can reach a maximum weight of 65.0 lbs for females and 24.0 inches for height. They live up to 12 years on average, and they have more than average shedding. They are alert and protective, but they are relatively quiet when it comes to barking.",inform,dogs,8,1
dogs name Jindo. Jindo protectiveness very alert. Jindo good with strangers friendly to strangers. Jindo good with children kid-friendly. Jindo trainability easy trainable.,Jindo Very Alert Friendly To Strangers Kid-Friendly Easy Trainable,The Jindo is a very alert and friendly dog that is kid-friendly and easy to train. It is welcoming to strangers.,inform,dogs,5,1
dogs name Kishu Ken. Kishu Ken grooming most grooming.,Kishu Ken Most Grooming,The Kishu Ken is a breed that requires the most grooming.,inform,dogs,2,1
dogs name English Springer Spaniel. English Springer Spaniel max weight female 40.0. English Springer Spaniel energy more energy. English Springer Spaniel max height male 20.0. English Springer Spaniel grooming lots of grooming.,English Springer Spaniel 40.0 More Energy 20.0 Lots Of Grooming,The English Springer Spaniel has a maximum weight of 40.0 pounds for females and a maximum height of 20.0 inches for males. It is a high energy breed that requires lots of grooming.,inform,dogs,5,1
dogs name Shikoku. Shikoku playfulness playful. Shikoku shedding average shedding. Shikoku max life expectancy 12. Shikoku ratings alright. Shikoku protectiveness alert. Shikoku max height female 22.0.,Shikoku Playful Average Shedding 12 Alright Alert 22.0,The Shikoku is a playful and alert dog with average shedding and an alright rating. It has a maximum life expectancy of 12 years and a maximum height of 22.0 inches for females.,inform,dogs,7,1
dogs name Shiba Inu. Shiba Inu energy energetic. Shiba Inu ratings alright. Shiba Inu good with children kid-friendly. Shiba Inu trainability semi difficult to train. Shiba Inu max height female 16.5. Shiba Inu protectiveness very alert. Shiba Inu barking sometimes barks.,Shiba Inu Energetic Alright Kid-Friendly Semi Difficult To Train 16.5 Very Alert Sometimes Barks,"The Shiba Inu is an energetic dog with a rating of alright with children, making it kid-friendly. It is semi difficult to train and has a maximum height for females of 16.5. It is very alert and sometimes barks.",inform,dogs,8,1
dogs name Irish Water Spaniel. Irish Water Spaniel drooling sometimes drool. Irish Water Spaniel max height female 24.0. Irish Water Spaniel max life expectancy 13. Irish Water Spaniel shedding no shedding. Irish Water Spaniel playfulness most playful.,Irish Water Spaniel Sometimes Drool 24.0 13 No Shedding Most Playful,"The Irish Water Spaniel is a playful breed that sometimes drools, with a maximum height for females of 24.0 inches. It does not shed and has a maximum life expectancy of 13 years.",inform,dogs,6,1
dogs name Russell Terrier. Russell Terrier coat length short coat. Russell Terrier grooming lots of grooming. Russell Terrier drooling never drools. Russell Terrier max height male 12.0. Russell Terrier good with children kid-friendly.,Russell Terrier Short Coat Lots Of Grooming Never Drools 12.0 Kid-Friendly,"The Russell Terrier has a short coat, and requires lots of grooming, but does not drool. The maximum height for a male Russell Terrier is 12.0 and they are known to be kid-friendly.",inform,dogs,6,1
dogs name Basenji. Basenji max weight male 24.0. Basenji energy more energy. Basenji max weight female 22.0.,Basenji 24.0 More Energy 22.0,"The Basenji has more energy than other breeds, with a maximum weight of 24.0 for males and 22.0 for females.",inform,dogs,4,1
dogs name Japanese Terrier. Japanese Terrier coat length short coat. Japanese Terrier max weight male 10.0.,Japanese Terrier Short Coat 10.0,The Japanese Terrier has a short coat and can weigh up to 10.0kg for males.,inform,dogs,3,1
dogs name Dalmatian. Dalmatian max weight male 70.0.,Dalmatian 70.0,The male Dalmatian has a maximum weight of 70.0.,inform,dogs,2,1
dogs name Staffordshire Bull Terrier. Staffordshire Bull Terrier trainability very easy to train. Staffordshire Bull Terrier grooming lots of grooming.,Staffordshire Bull Terrier Very Easy To Train Lots Of Grooming,The Staffordshire Bull Terrier is very easy to train and requires lots of grooming.,inform,dogs,3,1
dogs name Parson Russell Terrier. Parson Russell Terrier energy high energy. Parson Russell Terrier grooming lots of grooming.,Parson Russell Terrier High Energy Lots Of Grooming,The Parson Russell Terrier is a high energy breed of dog that requires lots of grooming.,inform,dogs,3,1
dogs name Grand Basset Griffon Vendéen. Grand Basset Griffon Vendéen good with other dogs very friendly to other dogs. Grand Basset Griffon Vendéen drooling sometimes drool.,Grand Basset Griffon Vendéen Very Friendly To Other Dogs Sometimes Drool,The Grand Basset Griffon Vendéen is very friendly to other dogs and may sometimes drool.,inform,dogs,3,1
dogs name Harrier. Harrier max weight female 60.0. Harrier grooming most grooming. Harrier coat length short coat. Harrier max height female 21.0. Harrier drooling sometimes drool. Harrier playfulness very playful.,Harrier 60.0 Most Grooming Short Coat 21.0 Sometimes Drool Very Playful,The Harrier is a very playful animal with a short coat that is known for needing a lot of grooming and sometimes drooling. The females of the species can reach a maximum weight of 60.0 and a maximum height of 21.0.,inform,dogs,7,1
dogs name Airedale Terrier. Airedale Terrier good with strangers friendly to strangers. Airedale Terrier good with children kid-friendly. Airedale Terrier max height male 23.0. Airedale Terrier playfulness playful. Airedale Terrier max height female 23.0. Airedale Terrier energy energetic. Airedale Terrier trainability trainable.,Airedale Terrier Friendly To Strangers Kid-Friendly 23.0 Playful 23.0 Energetic Trainable,"The Airedale Terrier is a friendly and playful dog, with a maximum height of 23 inches for both males and females. It is kid-friendly, friendly to strangers, very energetic, and trainable.",inform,dogs,8,1
dogs name Braque du Bourbonnais. Braque du Bourbonnais coat length short coat. Braque du Bourbonnais shedding minimal shedding.,Braque Du Bourbonnais Short Coat Minimal Shedding,The Braque du Bourbonnais has a short coat and minimal shedding.,inform,dogs,3,1
dogs name Drever. Drever good with children most kid-friendly. Drever barking often barks. Drever max weight female 40.0. Drever max height male 15.0.,Drever Most Kid-Friendly Often Barks 40.0 15.0,The Drever is known for being most kid-friendly and it often barks. It has a maximum weight of 40.0 for females and a maximum height of 15.0 for males.,inform,dogs,5,1
dogs name Basset Fauve de Bretagne. Basset Fauve de Bretagne barking often barks. Basset Fauve de Bretagne coat length short coat. Basset Fauve de Bretagne max weight male 35.0. Basset Fauve de Bretagne good with other dogs very friendly to other dogs. Basset Fauve de Bretagne protectiveness alert.,Basset Fauve De Bretagne Often Barks Short Coat 35.0 Very Friendly To Other Dogs Alert,"The Basset Fauve de Bretagne has a short coat, and it often barks. It is very friendly to other dogs, alert and protective. Male Basset Fauve de Bretagnes can weigh up to 35.0 kg.",inform,dogs,6,1
dogs name Boerboel. Boerboel good with strangers friendly to strangers. Boerboel energy energetic. Boerboel trainability easy trainable. Boerboel drooling average drool. Boerboel max weight male 200.0. Boerboel protectiveness very alert.,Boerboel Friendly To Strangers Energetic Easy Trainable Average Drool 200.0 Very Alert,"The Boerboel is a large dog breed that is friendly to strangers, energetic, easy to train and very alert. It has an average level of drooling and the males can weigh up to 200 pounds.",inform,dogs,7,1
dogs name Komondor.,Komondor,The Komondor is an animal.,inform,dogs,1,1
dogs name Basenji. Basenji max height male 17.0. Basenji coat length short coat.,Basenji 17.0 Short Coat,The Basenji is a dog breed that has a max height of 17.0 inches for males and a short coat.,inform,dogs,3,1
dogs name Cavalier King Charles Spaniel. Cavalier King Charles Spaniel max life expectancy 15. Cavalier King Charles Spaniel shedding minimal shedding.,Cavalier King Charles Spaniel 15 Minimal Shedding,The Cavalier King Charles Spaniel has a life expectancy of up to 15 years and minimal shedding.,inform,dogs,3,1
dogs name Great Dane. Great Dane drooling often drools. Great Dane coat length short coat. Great Dane trainability trainable. Great Dane max height female 32.0. Great Dane barking sometimes barks.,Great Dane Often Drools Short Coat Trainable 32.0 Sometimes Barks,The Great Dane often drools and has a short coat. It is trainable and can reach up to 32.0 inches tall for females. It sometimes barks.,inform,dogs,6,1
dogs name Finnish Lapphund. Finnish Lapphund max weight female 53.0. Finnish Lapphund shedding more than average shedding. Finnish Lapphund protectiveness alert. Finnish Lapphund barking always barks. Finnish Lapphund grooming lots of grooming. Finnish Lapphund max height female 21.0.,Finnish Lapphund 53.0 More Than Average Shedding Alert Always Barks Lots Of Grooming 21.0,The Finnish Lapphund is an alert breed that always barks. It is known to shed more than average and requires lots of grooming. The female Finnish Lapphund can reach a maximum height of 21.0 and a maximum weight of 53.0.,inform,dogs,7,1
dogs name Chinese Shar-Pei. Chinese Shar-Pei protectiveness mainly alert. Chinese Shar-Pei coat length short coat. Chinese Shar-Pei drooling average drool. Chinese Shar-Pei max height male 20.0.,Chinese Shar-Pei Mainly Alert Short Coat Average Drool 20.0,"The Chinese Shar-Pei is mainly alertly protective, with a short coat and average drooling. The maximum height of a male is 20.0.",inform,dogs,5,1
dogs name Azawakh. Azawakh good with children kid-friendly. Azawakh max weight male 55.0.,Azawakh Kid-Friendly 55.0,The Azawakh is kid-friendly and has a maximum weight of 55 kilograms for males.,inform,dogs,3,1
dogs name Shiba Inu. Shiba Inu protectiveness very alert. Shiba Inu grooming lots of grooming. Shiba Inu drooling never drools. Shiba Inu shedding average shedding.,Shiba Inu Very Alert Lots Of Grooming Never Drools Average Shedding,The Shiba Inu is a very alert and protective dog that requires lots of grooming but never drools. It has an average amount of shedding.,inform,dogs,5,1
